city,run,n_epochs,actual_fix_epochs,window_tp,window_fp,window_fn,window_accuracy_pct,window_precision_pct,window_recall_pct,hybrid_tp,hybrid_fp,hybrid_fn,hybrid_accuracy_pct,hybrid_precision_pct,hybrid_recall_pct
nagoya,run1,7494,853,0,0,853,88.61756071523885,0.0,0.0,104,418,749,84.4275420336269,19.92337164750958,12.192262602579133
nagoya,run2,9410,1489,450,0,1039,88.9585547290117,100.0,30.221625251846877,422,561,1067,82.69925611052072,42.92980671414038,28.341168569509737
nagoya,run3,5201,418,0,0,418,91.9630840223034,0.0,0.0,8,172,410,88.80984426071909,4.444444444444445,1.9138755980861244
tokyo,run1,11636,1202,0,0,1202,89.66998968717772,0.0,0.0,198,505,1004,87.03162598831213,28.165007112375534,16.472545757071547
tokyo,run2,9077,2576,15,435,2561,66.99350005508428,3.3333333333333335,0.5822981366459627,159,771,2417,64.8782637435276,17.096774193548388,6.172360248447205
tokyo,run3,15238,3637,108,342,3529,74.5964037275233,24.0,2.9694803409403354,466,1431,3171,69.79918624491403,24.56510279388508,12.812757767390707
