city,run,window_index,sim_matched_epochs,actual_fix_rate_pct,base_pred_fix_rate_pct,adopted_pred_fix_rate_pct,abs_error_pp,focus_case_tag,focus_case_note,window_action,window_action_note,path1_pred_fix_rate_pct,path1_abs_error_pp
nagoya,run1,0,300.0,0.0,24.617164529721272,11.875852153022889,11.875852153022889,,,use,usable for route aggregation and normal diagnostics,0.322675941527795,0.322675941527795
nagoya,run1,1,300.0,80.0,55.905672307484735,20.0,60.0,hidden_high,actual 80.0% but corrected only 20.0%; under-predicted by 60.0 pp,review,prediction likely underestimates a high-FIX window; review before window-level action,60.87316981539055,19.126830184609453
nagoya,run1,2,300.0,100.0,34.8199323122003,20.0,80.0,hidden_high,actual 100.0% but corrected only 20.0%; under-predicted by 80.0 pp,review,prediction likely underestimates a high-FIX window; review before window-level action,93.55130760729854,6.44869239270146
nagoya,run1,3,214.0,77.10280373831776,10.39769871785966,15.552921476206876,61.549882262110884,hidden_high,actual 77.1% but corrected only 15.6%; under-predicted by 61.5 pp,review,prediction likely underestimates a high-FIX window; review before window-level action,54.71764529398358,22.38515844433418
nagoya,run1,4,280.0,0.0,3.394979130878922,9.857003624450709,9.857003624450709,,,use,usable for route aggregation and normal diagnostics,1.098204372079684,1.098204372079684
nagoya,run1,5,300.0,3.333333333333333,18.75825076811805,9.78481346393587,6.451480130602538,,,use,usable for route aggregation and normal diagnostics,1.5973109654137747,1.7360223679195583
nagoya,run1,6,300.0,0.3333333333333333,11.315940710314669,11.518532544314736,11.185199210981402,,,use,usable for route aggregation and normal diagnostics,1.638299942979945,1.3049666096466117
nagoya,run1,7,300.0,0.0,33.68373091684834,18.883722718774266,18.883722718774266,,,use,usable for route aggregation and normal diagnostics,0.3824169437764589,0.3824169437764589
nagoya,run1,8,300.0,12.333333333333334,10.180194035397934,7.040547161067461,5.292786172265873,,,use,usable for route aggregation and normal diagnostics,12.156858288553948,0.17647504477938547
nagoya,run1,9,269.0,1.1152416356877324,2.535206058167393,5.821989528795812,4.70674789310808,,,use,usable for route aggregation and normal diagnostics,1.711160736049714,0.5959191003619817
nagoya,run1,10,300.0,3.333333333333333,14.9670817286306,5.821989528795812,2.488656195462479,,,use,usable for route aggregation and normal diagnostics,2.179205916525781,1.154127416807552
