model,threshold_pct,n,match_rate_pct
epoch_classifier,10.0,58056.0,65.88810803362271
epoch_classifier,20.0,58056.0,74.3075651095494
epoch_classifier,30.0,58056.0,77.62505167424555
epoch_classifier,40.0,58056.0,79.4009232465206
epoch_classifier,50.0,58056.0,80.22598870056497
epoch_classifier,60.0,58056.0,81.01488218272013
epoch_classifier,70.0,58056.0,81.39038170042717
epoch_classifier,80.0,58056.0,81.94157365302466
epoch_classifier,90.0,58056.0,82.46176105828854
window_adopted_7p16,10.0,58056.0,65.44198704698911
window_adopted_7p16,20.0,58056.0,74.21455146754857
window_adopted_7p16,30.0,58056.0,78.3416012126223
window_adopted_7p16,40.0,58056.0,80.48952735290065
window_adopted_7p16,50.0,58056.0,82.12243351247072
window_adopted_7p16,60.0,58056.0,82.47381838225162
window_adopted_7p16,70.0,58056.0,82.21544715447155
window_adopted_7p16,80.0,58056.0,82.47381838225162
window_adopted_7p16,90.0,58056.0,82.47381838225162
