name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup,canyon_n_scored,canyon_all_rms_m,canyon_fix_rms_m,canyon_fix_pct,canyon_lt50cm_full_pct,stdout_tail
z0_baseline_no_wp10,"WP7/dead-knob baseline, for SHA-256 comparison",--max-pos-jump-rate 2.3,239.1,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
z1_lapsegated_hugegate,gate far larger than any real lapse -- must be byte-identical to z0,--max-pos-jump-rate 2.3 --float-trust-policy lapse-gated --trust-lapse-gate-s 1000000 --trust-lapse-qpos 0.1,252.5,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.4711,0.3128,15.097,42.458,26.643,23.653,1130,320,0.2832,18,125.6065,,0.0,0.0,
