source_csv,name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup
results/wp6/sweep\sweep_table.csv,c2_glonass_autocal_ratio28_nonfixreset10,,--glonass-ar autocal --ratio 2.8 --max-consec-nonfix-reset 10,75.5,0,1508.0,1508.0,7.0,0.46,1508,11928,12.643,26.7535,12.613,0.464,5.836,0.738,20.339,7,7,1.0
results/wp6/sweep\sweep_table.csv,c3_bare_preset_slice2,,,68.1,0,2708.0,2708.0,2.0,0.07,2708,11928,22.703,24.2804,6.351,0.074,29.801,6.766,21.306,2,2,1.0
results/wp6/sweep\sweep_table.csv,c3_winner_slice2,,--glonass-ar autocal --ratio 2.8,88.9,0,2828.0,2828.0,3.0,0.11,2828,11928,23.709,26.2125,6.3231,0.106,6.966,1.652,0.927,3,3,1.0
results/wp6/sweep\sweep_table_full.csv,c4_glonass_autocal,,--glonass-ar autocal,256.8,0,7647.0,7647.0,278.0,3.64,7647,11928,64.11,19.2729,0.1644,3.635,22.806,14.621,8.945,278,0,0.0
results/wp6/sweep\sweep_table_full.csv,c4_glonass_autocal_ratio28,,--glonass-ar autocal --ratio 2.8,254.3,0,7647.0,7647.0,278.0,3.64,7647,11928,64.11,19.2729,0.1645,3.635,22.806,14.621,8.945,278,0,0.0
results/wp6/sweep\sweep_table_full_5a.csv,c5_ratio_2.4_full,,--ratio 2.4,225.6,0,7397.0,7397.0,777.0,10.5,7397,11928,62.014,19.8612,0.0837,10.504,40.936,25.386,22.883,777,0,0.0
results/wp6/sweep\sweep_table_full_5a.csv,c5_ratio_2.6_full,,--ratio 2.6,213.5,0,7397.0,7397.0,776.0,10.49,7397,11928,62.014,19.8612,0.0836,10.491,40.936,25.386,22.883,776,0,0.0
results/wp6/sweep\sweep_table_full_5b.csv,c5_floatreset10_full,,--max-consec-float-reset 10,230.4,0,5969.0,5969.0,775.0,12.98,5969,11928,50.042,19.6026,0.0837,12.984,26.755,13.389,11.814,775,0,0.0
results/wp6/sweep\sweep_table_full_5b.csv,c5_nonfixreset10_full,,--max-consec-nonfix-reset 10,217.5,0,6030.0,6030.0,775.0,12.85,6030,11928,50.553,18.9896,0.0837,12.852,26.551,13.422,13.014,775,0,0.0
results/wp6/sweep\sweep_table_full_5c.csv,c5_elev10_full,,--elevation-mask-deg 10,229.9,0,7398.0,7398.0,775.0,10.48,7398,11928,62.022,19.8249,0.0835,10.476,40.254,24.966,22.47,775,0,0.0
results/wp6/sweep\sweep_table_full_6.csv,c6_maxposjump_0_full,disable the jump gate entirely,--max-pos-jump 0,200.8,0,7474.0,7474.0,4200.0,56.19,7474,11928,62.659,18.3617,14.3838,56.195,50.656,31.74,32.881,4200,2932,0.6981
results/wp6/sweep\sweep_table_full_6.csv,c6_maxposjump_15_full,,--max-pos-jump 15,200.6,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
results/wp6/sweep\sweep_table_full_6.csv,c6_maxposjump_30_full,,--max-pos-jump 30,199.1,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
results/wp6/sweep\sweep_table_full_7a.csv,c7_jump0_demotepostrms_0.02,,--max-pos-jump 0 --demote-fixed-status-post-rms 0.02,226.5,0,7491.0,7491.0,20.0,0.27,7491,11928,62.802,18.3398,125.1999,0.267,50.487,31.707,32.378,20,20,1.0
results/wp6/sweep\sweep_table_full_7a.csv,c7_jump0_demotepostrms_0.03,,--max-pos-jump 0 --demote-fixed-status-post-rms 0.03,216.1,0,7491.0,7491.0,20.0,0.27,7491,11928,62.802,18.3398,125.1999,0.267,50.487,31.707,32.378,20,20,1.0
results/wp6/sweep\sweep_table_full_7b.csv,c7_jump0_demotepostrms_0.05,,--max-pos-jump 0 --demote-fixed-status-post-rms 0.05,225.3,0,7491.0,7491.0,20.0,0.27,7491,11928,62.802,18.3398,125.1999,0.267,50.487,31.707,32.378,20,20,1.0
results/wp6/sweep\sweep_table_full_7b.csv,c7_jump0_demotenis_5,,--max-pos-jump 0 --demote-fixed-status-nis-per-obs 5,216.3,0,7474.0,7474.0,3803.0,50.88,7474,11928,62.659,18.3617,12.9314,50.883,50.656,31.74,32.881,3803,2623,0.6897
results/wp6/sweep\sweep_table_full_7c.csv,c7_jump0_demotemaxratio_5,,--max-pos-jump 0 --demote-fixed-status-max-ratio 5,226.0,0,7464.0,7464.0,3005.0,40.26,7464,11928,62.575,18.3678,13.8077,40.26,50.723,31.74,32.881,3005,2163,0.7198
results/wp6/sweep\sweep_table_full_7d.csv,c7b_jump0_demotepostrms_0.5,,--max-pos-jump 0 --demote-fixed-status-post-rms 0.5,281.1,0,7447.0,7447.0,1185.0,15.91,7447,11928,62.433,18.3887,19.585,15.912,50.611,31.598,32.881,1185,772,0.6515
results/wp6/sweep\sweep_table_full_7d.csv,c7b_jump0_demotepostrms_1.0,,--max-pos-jump 0 --demote-fixed-status-post-rms 1.0,233.5,0,7433.0,7433.0,3965.0,53.34,7433,11928,62.316,17.9581,14.5283,53.343,50.935,31.74,32.881,3965,2697,0.6802
