epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill,n_dd_carrier,n_cross_window_prior,ar_accepted,epoch_fixed
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True,0,0,False,False
1,187470.2,0.4292918384835114,14,1.1956487234309667,1.0710934404688681,3,False,True,0,0,False,False,12,0,False,False
2,187470.4,0.6854268170432881,20,0.5831249607047292,0.5831249607047292,4,False,True,0,0,False,False,18,0,False,False
3,187470.6,0.8336186611710747,27,0.4474866073991578,0.4474866073991578,7,True,True,0,0,False,False,24,0,False,False
4,187470.8,0.19935007492957638,34,0.6122992234061654,0.6122992234061654,5,True,True,3,78,False,False,30,0,False,False
5,187471.0,73.02449642776156,34,39.725736488034435,7.372863159957667,5,True,True,6,78,False,False,30,0,False,False
6,187471.2,51.76689022720785,34,27.680199880439112,6.200383960681667,5,True,True,9,78,False,False,30,0,False,False
7,187471.4,1.3131575343445936,35,24.013639896085408,5.795206553760252,6,True,True,12,0,True,False,30,0,False,False
8,187471.6,0.07575435519168283,35,0.7297832470287131,0.7297832470287131,5,True,True,15,78,False,False,30,0,False,False
9,187471.8,72.40245185602906,35,39.61192036152164,7.343789953245335,5,True,True,15,78,False,False,30,0,False,False
10,187472.0,51.43193528967595,35,27.675975172836747,6.195812494186826,5,True,True,15,78,False,False,30,0,False,False
11,187472.2,1.2830659961621709,35,24.068333463710665,5.816000858179012,6,True,True,15,0,True,False,30,0,False,False
12,187472.4,0.09167851449726773,35,0.9760153822476512,0.9760153822476512,5,True,True,15,78,False,False,30,0,False,False
13,187472.6,72.40291861502173,35,39.64254238855341,7.373717707649197,5,True,True,15,78,False,False,30,0,False,False
14,187472.8,51.42969746767331,35,27.667014550329554,6.204228541987071,5,True,True,15,78,False,False,30,0,False,False
15,187473.0,1.0163716171247987,35,23.99845808556869,5.794821029198792,6,True,True,15,0,True,False,30,0,False,False
16,187473.2,0.09618586068798478,35,0.9748265586363855,0.9748265586363855,6,True,True,15,78,False,False,30,0,False,False
17,187473.4,72.40308869863186,35,39.611687274140806,7.334821685919081,5,True,True,15,78,False,False,30,0,False,False
18,187473.6,51.41305207335448,35,27.708666994969,6.1956924255809644,5,True,True,15,78,False,False,30,0,False,False
19,187473.8,1.4349664284803958,35,24.111163324938463,5.798956339678251,6,True,True,15,0,True,False,30,0,False,False
20,187474.0,0.09519599339025155,35,1.0751512585850453,1.0751512585850453,5,True,True,15,78,False,False,30,0,False,False
21,187474.2,72.40221180226804,35,39.71266451518141,7.354112654084168,5,True,True,15,78,False,False,30,0,False,False
22,187474.4,51.41686392818667,35,27.775484556672378,6.216803190498349,5,True,True,15,78,False,False,30,0,False,False
23,187474.6,1.336673908422256,35,24.15530951181933,5.8248773560226805,6,True,True,15,0,True,False,30,0,False,False
24,187474.8,0.09778562529954943,35,1.3421747469670902,1.2434732186983875,6,True,True,15,78,False,False,30,0,False,False
25,187475.0,72.40078746177923,35,39.70469549349835,7.362058619380448,5,True,True,15,78,False,False,30,0,False,False
26,187475.2,51.41534463136855,35,27.784809402634313,6.224601184740707,5,True,True,15,78,False,False,30,0,False,False
27,187475.4,1.3306639647169385,35,24.212763445048168,5.847884274723332,6,True,True,15,0,True,False,30,0,False,False
28,187475.6,0.09658470231049023,35,1.5935727002416407,1.3812321076108607,6,True,True,15,78,False,False,30,0,False,False
29,187475.8,72.40267559153283,35,39.80004920239691,7.41017088795858,5,True,True,15,78,False,False,30,0,False,False
30,187476.0,51.416879692949756,35,27.91516404756354,6.260828545488201,5,True,True,15,78,False,False,30,0,False,False
31,187476.2,1.476479906804913,35,24.280261152763423,5.844439493116701,6,True,True,15,0,True,False,30,0,False,False
32,187476.4,0.10694100492505017,35,1.5294740313685207,1.3423308796910336,6,True,True,15,78,False,False,30,0,False,False
33,187476.6,72.40326052912053,35,39.77556699527609,7.398059874552159,5,True,True,15,78,False,False,30,0,False,False
34,187476.8,51.45761965373179,35,27.858528661456962,6.282492043507847,5,True,True,15,78,False,False,30,0,False,False
35,187477.0,1.2482972617584374,35,24.229196215232335,5.825206540869756,6,True,True,15,0,True,False,30,0,False,False
36,187477.2,0.09745961844468803,35,1.322125032454548,1.2370513842834867,6,True,True,15,78,False,False,30,0,False,False
37,187477.4,72.4044834008574,35,39.776561554709254,7.3627678464589295,5,True,True,15,78,False,False,30,0,False,False
38,187477.6,51.41103483942483,35,27.836859192245637,6.219106558383773,5,True,True,15,78,False,False,30,0,False,False
39,187477.8,1.0383591051971899,35,24.189018883730835,5.795733373921518,6,True,True,15,0,True,False,30,0,False,False
40,187478.0,0.08684124870183288,35,1.2739485404136366,1.1963579885485878,6,True,True,15,78,False,False,30,0,False,False
41,187478.2,72.40471111037616,35,39.77293296795218,7.386623299594342,5,True,True,15,78,False,False,30,0,False,False
42,187478.4,51.446234675223664,35,27.88975061065659,6.263161084789816,5,True,True,15,78,False,False,30,0,False,False
43,187478.6,1.0849297964293154,35,24.231581217834584,5.857236029816976,6,True,True,15,0,True,False,30,0,False,False
44,187478.8,0.08922585757846745,35,1.1985806150526825,1.1850120757587639,6,True,True,15,78,False,False,30,0,False,False
45,187479.0,72.40339551902625,35,39.809693002832155,7.4109776264996245,5,True,True,15,78,False,False,30,0,False,False
46,187479.2,51.44308644087558,35,27.88765871988326,6.251891012908033,5,True,True,15,78,False,False,30,0,False,False
47,187479.4,0.895902913896002,35,24.24123923537805,5.842592368635008,6,True,True,15,0,True,False,30,0,False,False
48,187479.6,0.0875789605739193,35,1.1543695720716796,1.1179469496194778,6,True,True,15,78,False,False,30,0,False,False
