config,imu,run,AllRMS,lt50cm_pct,ppc_official_pct,mean_ess_ratio,resample_rate,epoch_tempering,epoch_tempering_mean_alpha,epoch_tempering_mean_post_ratio,cn0_gmm,cn0_gmm_mean_w_los,particle_nlos
baseline,off,run1,50.94347249091128,0.0,0.0,7.430294124597266e-05,1.0,0,nan,nan,0,nan,0
baseline,off,run2,30.641378324349887,0.0,0.0,6.62180915484008e-05,1.0,0,nan,nan,0,nan,0
baseline,off,run3,32.69242144038484,0.0,0.0,8.852653890907008e-05,1.0,0,nan,nan,0,nan,0
baseline,preint,run1,53.543476306950105,0.0,0.0,0.00040735238117529346,1.0,0,nan,nan,0,nan,0
baseline,preint,run2,28.000342453089825,0.0,0.0,0.0002677266077955255,1.0,0,nan,nan,0,nan,0
baseline,preint,run3,31.39076987223074,0.0,0.0,0.0004849789058682176,1.0,0,nan,nan,0,nan,0
temper,off,run1,51.95012100678444,0.0,0.0,0.10000826827254654,1.0,1,0.004644471804300944,0.10000826827254654,0,nan,0
temper,off,run2,29.219959237517074,0.0,0.0,0.10001025922721041,1.0,1,0.004151138464609782,0.10001025922721041,0,nan,0
temper,off,run3,31.74764789378116,0.0,0.0,0.10000873812325568,1.0,1,0.004596970876057943,0.10000873812325568,0,nan,0
temper,preint,run1,53.63266474042078,0.0,0.0,0.10000501534732908,1.0,1,0.00605960210164388,0.1000050153473291,0,nan,0
temper,preint,run2,27.97942670268041,0.0,0.0,0.10000618963009392,1.0,1,0.00555118719736735,0.10000618963009392,0,nan,0
temper,preint,run3,30.6563154354108,0.0,0.0,0.10000520076161608,1.0,1,0.006015959580739339,0.10000520076161608,0,nan,0
gmm,off,run1,53.37846099925401,0.0,0.0,0.0008832444599392531,1.0,0,nan,nan,1,0.9006881805741398,0
gmm,off,run2,34.70839910131847,0.0,0.0,0.0006484413293615626,1.0,0,nan,nan,1,0.8717452809037028,0
gmm,off,run3,40.949926809535455,0.0,0.0,0.000365353655028918,1.0,0,nan,nan,1,0.8692635650996374,0
gmm,preint,run1,57.374315006737085,0.0,0.0,0.0020350792889708338,1.0,0,nan,nan,1,0.900688188336309,0
gmm,preint,run2,28.318738568760196,0.0,0.0,0.0017210266055278645,1.0,0,nan,nan,1,0.8717451836904108,0
gmm,preint,run3,36.63974784689219,0.0,0.0,0.0016450676203490758,1.0,0,nan,nan,1,0.8692635332106171,0
nlos,off,run1,185.03628056023132,0.0,0.0,0.001048231536784513,1.0,0,nan,nan,0,nan,1
nlos,off,run2,297.39532676036424,0.0,0.0,0.0015748258130421247,1.0,0,nan,nan,0,nan,1
nlos,off,run3,218.543912034627,0.0,0.0,0.0023673656934113056,1.0,0,nan,nan,0,nan,1
nlos,preint,run1,104.3065060807085,0.0,0.0,0.0020425795948575782,1.0,0,nan,nan,0,nan,1
nlos,preint,run2,98.3824080101717,0.0,0.0,0.0036059705691410164,1.0,0,nan,nan,0,nan,1
nlos,preint,run3,140.2285113247018,0.0,0.0,0.003590406877585569,1.0,0,nan,nan,0,nan,1
allon,off,run1,53.31507316572167,0.0,0.0,0.10000131421937572,1.0,1,0.058479591210683184,0.10000131421937572,1,0.9006881820971349,1
allon,off,run2,31.89805412650222,0.0,0.0,0.10000172835189987,1.0,1,0.04763913869857788,0.10000172835189988,1,0.8717452478474081,1
allon,off,run3,40.9141931861753,0.0,0.0,0.10000185840510696,1.0,1,0.04370177904764811,0.10000185840510696,1,0.8692635546025488,1
allon,preint,run1,56.268822917104615,0.0,0.0,0.10000122037293091,1.0,1,0.07498511870702108,0.10000122037293091,1,0.900688186783032,1
allon,preint,run2,27.851736245308928,0.0,0.0,0.10000141933402777,1.0,1,0.05856000741322835,0.10000141933402777,1,0.8717451825481648,1
allon,preint,run3,36.35955955598835,0.0,0.0,0.10000165601462743,1.0,1,0.04862143039703369,0.10000165601462742,1,0.8692635399371356,1
