run_id,tow,risk_bucket,gpu_urban_shadow_risk_score,baseline_label,gpu_label,selection_changed,baseline_selector_score,baseline_gpu_score,gpu_selector_score,gpu_gpu_score,n_candidates,baseline_truth_cost,gpu_truth_cost,oracle_truth_cost,gpu_minus_baseline_truth_cost,baseline_regret,gpu_regret
tokyo_run1_nav,188353.6,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188373.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188393.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188414.0,0.10-0.20,0.13738074852447843,nominal_gnss,shadow_robust,1.0,0.0,0.13738074852447843,0.06,-0.04990459881958276,2,0.13738074852447843,0.07434518713111961,0.07434518713111961,-0.06303556139335882,0.06303556139335882,0.0
tokyo_run1_nav,188434.0,0.20+,0.20422077929229882,nominal_gnss,shadow_robust,1.0,0.0,0.20422077929229882,0.06,-0.10337662343383908,2,0.20422077929229882,0.0910551948230747,0.0910551948230747,-0.11316558446922412,0.11316558446922412,0.0
tokyo_run1_nav,188454.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188474.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188494.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188514.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188534.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188554.6,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188574.6,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188594.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188614.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188634.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188655.0,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188675.0,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188695.2,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188715.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188735.2,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188755.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188775.4,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188795.6,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188815.6,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188835.8,0.05-0.10,0.06,nominal_gnss,shadow_robust,1.0,0.0,0.06,0.06,0.011999999999999997,2,0.06,0.055,0.055,-0.0049999999999999975,0.0049999999999999975,0.0
tokyo_run1_nav,188855.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188875.8,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188896.0,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188916.0,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188936.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188956.2,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188976.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,188996.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,189016.4,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,189036.6,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,189056.6,0.00-0.02,0.0,nominal_gnss,nominal_gnss,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
