penalty_weight,rescue_weight,epochs,changed_epochs,change_rate,mean_risk,mean_changed_risk,mean_baseline_truth_cost,mean_gpu_truth_cost,mean_gpu_minus_baseline_truth_cost,improved_epochs,worse_epochs,mean_baseline_regret,mean_gpu_regret
0.0,0.0,120,0,0.0,0.01794064255774215,0.0,0.8022594330472474,0.8022594330472474,0.0,0,0,0.2939927963947659,0.2939927963947659
0.0,0.25,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.0,0.5,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.0,1.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.0,2.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.0,4.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
0.25,0.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.25,0.25,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.25,0.5,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.25,1.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.25,2.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.25,4.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
0.5,0.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.5,0.25,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.5,0.5,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.5,1.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.5,2.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
0.5,4.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
1.0,0.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
1.0,0.25,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
1.0,0.5,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
1.0,1.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
1.0,2.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
1.0,4.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
2.0,0.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
2.0,0.25,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
2.0,0.5,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
2.0,1.0,120,3,0.025,0.01794064255774215,0.11761739257454089,0.8022594330472474,0.8022533879385052,-6.04510874226497e-06,1,2,0.2939927963947659,0.29398675128602364
2.0,2.0,120,4,0.03333333333333333,0.01794064255774215,0.12646034756542812,0.8022594330472474,0.8116873824617713,0.009427949414523826,1,3,0.2939927963947659,0.30342074580928974
