jammer_jnr_db,spoof_delay_samples,building_height_scale,particles_per_epoch,acquisition_backend,interference_backend,route_backend,particle_backend,target_acquired,target_snr,code_phase_error_samples,doppler_error_hz,false_lock,acquisition_miss,interference_detected,interference_kind,max_false_prn_snr,mean_blocked_ratio,max_blocked_ratio,mean_particle_shadow_contrast,worst_epoch,acquisition_ms,interference_ms,route_los_ms,particle_los_ms,total_risk_score,failure_label
0.0,0,0.7,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7305555555555555,0.8,0.11492757172124264,2,135.2448120014742,8.167791995219886,0.22242899285629392,0.25630800519138575,0.3736449381830394,nominal
0.0,0,0.7,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7305555555555555,0.8,0.10929046946364741,2,135.2448120014742,8.167791995219886,0.21546200150623918,0.43337501119822264,0.37195380750576085,nominal
0.0,0,1.0,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7527777777777778,0.8,0.08708753011889239,2,135.2448120014742,8.167791995219886,0.26230799267068505,0.26076199719682336,0.37195959236900106,nominal
0.0,0,1.0,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7527777777777778,0.8,0.09481572433217998,2,135.2448120014742,8.167791995219886,0.2222750335931778,0.4403709899634123,0.3742780506329873,nominal
0.0,0,1.4,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7527777777777778,0.8,0.09620246995402681,2,135.2448120014742,8.167791995219886,0.22369303042069077,0.25331502547487617,0.3746940743195414,nominal
0.0,0,1.4,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,72.38302612304688,0.0,0.0,False,False,False,none,1.5694499015808105,0.7527777777777778,0.8,0.10118978316502016,2,135.2448120014742,8.167791995219886,0.21967000793665648,0.4131590249016881,0.37619026828283936,nominal
0.0,48,0.7,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7305555555555555,0.8,0.11492757172124264,2,14.284768025390804,1.214532006997615,0.22242899285629392,0.25630800519138575,0.7836449381830395,false_lock
0.0,48,0.7,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7305555555555555,0.8,0.10929046946364741,2,14.284768025390804,1.214532006997615,0.21546200150623918,0.43337501119822264,0.7819538075057608,false_lock
0.0,48,1.0,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7527777777777778,0.8,0.08708753011889239,2,14.284768025390804,1.214532006997615,0.26230799267068505,0.26076199719682336,0.781959592369001,false_lock
0.0,48,1.0,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7527777777777778,0.8,0.09481572433217998,2,14.284768025390804,1.214532006997615,0.2222750335931778,0.4403709899634123,0.7842780506329874,false_lock
0.0,48,1.4,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7527777777777778,0.8,0.09620246995402681,2,14.284768025390804,1.214532006997615,0.22369303042069077,0.25331502547487617,0.7846940743195414,false_lock
0.0,48,1.4,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,8.643754005432129,48.0,500.0,True,False,False,none,1.522033929824829,0.7527777777777778,0.8,0.10118978316502016,2,14.284768025390804,1.214532006997615,0.21967000793665648,0.4131590249016881,0.7861902682828394,false_lock
0.0,112,0.7,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7305555555555555,0.8,0.11492757172124264,2,17.944980994798243,1.2766059953719378,0.22242899285629392,0.25630800519138575,0.8284624716760813,false_lock
0.0,112,0.7,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7305555555555555,0.8,0.10929046946364741,2,17.944980994798243,1.2766059953719378,0.21546200150623918,0.43337501119822264,0.8267713409988029,false_lock
0.0,112,1.0,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7527777777777778,0.8,0.08708753011889239,2,17.944980994798243,1.2766059953719378,0.26230799267068505,0.26076199719682336,0.8267771258620431,false_lock
0.0,112,1.0,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7527777777777778,0.8,0.09481572433217998,2,17.944980994798243,1.2766059953719378,0.2222750335931778,0.4403709899634123,0.8290955841260292,false_lock
0.0,112,1.4,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7527777777777778,0.8,0.09620246995402681,2,17.944980994798243,1.2766059953719378,0.22369303042069077,0.25331502547487617,0.8295116078125834,false_lock
0.0,112,1.4,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,7.743064880371094,112.0,500.0,True,False,False,none,1.4109610319137573,0.7527777777777778,0.8,0.10118978316502016,2,17.944980994798243,1.2766059953719378,0.21967000793665648,0.4131590249016881,0.8310078017758813,false_lock
0.0,192,0.7,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7305555555555555,0.8,0.11492757172124264,2,14.475716976448894,1.264815975446254,0.22242899285629392,0.25630800519138575,0.8536449381830393,false_lock
0.0,192,0.7,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7305555555555555,0.8,0.10929046946364741,2,14.475716976448894,1.264815975446254,0.21546200150623918,0.43337501119822264,0.8519538075057609,false_lock
0.0,192,1.0,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7527777777777778,0.8,0.08708753011889239,2,14.475716976448894,1.264815975446254,0.26230799267068505,0.26076199719682336,0.8519595923690011,false_lock
0.0,192,1.0,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7527777777777778,0.8,0.09481572433217998,2,14.475716976448894,1.264815975446254,0.2222750335931778,0.4403709899634123,0.8542780506329872,false_lock
0.0,192,1.4,16,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7527777777777778,0.8,0.09620246995402681,2,14.475716976448894,1.264815975446254,0.22369303042069077,0.25331502547487617,0.8546940743195414,false_lock
0.0,192,1.4,64,cuda_acquisition,cuda_stft_detector,cuda_bvh_batch,cuda_bvh_batch,True,9.77961254119873,192.0,500.0,True,False,False,none,1.3589611053466797,0.7527777777777778,0.8,0.10118978316502016,2,14.475716976448894,1.264815975446254,0.21967000793665648,0.4131590249016881,0.8561902682828393,false_lock
8.0,0,0.7,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7305555555555555,0.8,0.11492757172124264,2,14.462971012108028,1.1540779960341752,0.22242899285629392,0.25630800519138575,0.4536449381830394,nominal
8.0,0,0.7,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7305555555555555,0.8,0.10929046946364741,2,14.462971012108028,1.1540779960341752,0.21546200150623918,0.43337501119822264,0.45195380750576086,nominal
8.0,0,1.0,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7527777777777778,0.8,0.08708753011889239,2,14.462971012108028,1.1540779960341752,0.26230799267068505,0.26076199719682336,0.4519595923690011,nominal
8.0,0,1.0,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7527777777777778,0.8,0.09481572433217998,2,14.462971012108028,1.1540779960341752,0.2222750335931778,0.4403709899634123,0.4542780506329873,nominal
8.0,0,1.4,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7527777777777778,0.8,0.09620246995402681,2,14.462971012108028,1.1540779960341752,0.22369303042069077,0.25331502547487617,0.4546940743195414,nominal
8.0,0,1.4,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,30.971860885620117,0.0,0.0,False,False,True,narrowband,1.575601577758789,0.7527777777777778,0.8,0.10118978316502016,2,14.462971012108028,1.1540779960341752,0.21967000793665648,0.4131590249016881,0.4561902682828394,nominal
8.0,48,0.7,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7305555555555555,0.8,0.11492757172124264,2,14.298530004452914,1.22618000023067,0.22242899285629392,0.25630800519138575,0.8695906087877452,false_lock
8.0,48,0.7,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7305555555555555,0.8,0.10929046946364741,2,14.298530004452914,1.22618000023067,0.21546200150623918,0.43337501119822264,0.8678994781104666,false_lock
8.0,48,1.0,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7527777777777778,0.8,0.08708753011889239,2,14.298530004452914,1.22618000023067,0.26230799267068505,0.26076199719682336,0.8679052629737068,false_lock
