epoch,y_m,x_m,n_sat,n_los,n_nlos,blocked_ratio,low_elevation_blocked_ratio,mean_elevation_los_deg,mean_elevation_nlos_deg,expected_nlos_bias_m,route_weight_delta_log,particle_blocked_mean,particle_blocked_std,particle_shadow_contrast,route_backend,particle_backend
33,-16.901408450704224,-0.7707239707328193,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7708333333333334,0.06757197808427859,0.08766094454176682,cuda_bvh_batch,cuda_bvh_batch
34,-10.140845070422529,-0.47228211115556307,10,3,7,0.7,1.0,56.666666666666664,28.571428571428573,34.1,-2.925,0.74375,0.09769478406411132,0.13135433151477152,cuda_bvh_batch,cuda_bvh_batch
35,-3.380281690140862,-0.15908418827521645,10,3,7,0.7,0.8,50.666666666666664,31.142857142857142,26.400000000000002,-2.7787500000000005,0.69375,0.07747647492411273,0.11167780169241476,cuda_bvh_batch,cuda_bvh_batch
36,3.3802816901408335,0.15908418827521556,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.71875,0.10135796712641786,0.14101978034979876,cuda_bvh_batch,cuda_bvh_batch
37,10.140845070422529,0.4722821111555622,10,4,6,0.6,0.6,46.5,30.666666666666668,27.5,-2.4050000000000002,0.725,0.07500000000000004,0.10344827586206902,cuda_bvh_batch,cuda_bvh_batch
38,16.901408450704196,0.7707239707328184,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.75,0.0790569415042095,0.105409255338946,cuda_bvh_batch,cuda_bvh_batch
39,23.66197183098592,1.0450851983472969,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.8041666666666667,0.04545296714431547,0.056521824428164315,cuda_bvh_batch,cuda_bvh_batch
40,30.422535211267586,1.2867936047354915,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7999999999999999,0.020412414523193156,0.025515518153991446,cuda_bvh_batch,cuda_bvh_batch
41,37.18309859154931,1.4882972109820354,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.8020833333333334,0.03813126087025652,0.047540273292787344,cuda_bvh_batch,cuda_bvh_batch
42,43.94366197183098,1.6433002038444997,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.775,0.08779711460710618,0.11328659949304024,cuda_bvh_batch,cuda_bvh_batch
43,50.704225352112644,1.746959643222421,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7437499999999999,0.08141009867741637,0.1094589562049296,cuda_bvh_batch,cuda_bvh_batch
44,57.46478873239437,1.796036775808628,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.7229166666666665,0.06843361544023688,0.09466321444182625,cuda_bvh_batch,cuda_bvh_batch
45,64.22535211267603,1.7889982272531915,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7166666666666667,0.0687184270936277,0.09588617733994563,cuda_bvh_batch,cuda_bvh_batch
46,70.98591549295776,1.7260639111746723,10,4,6,0.6,0.6,46.5,30.666666666666668,27.5,-2.4050000000000002,0.7229166666666668,0.06531839752746203,0.09035397928870828,cuda_bvh_batch,cuda_bvh_batch
47,77.74647887323943,1.609200158141297,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7729166666666666,0.06993920971497719,0.09048738723231552,cuda_bvh_batch,cuda_bvh_batch
48,84.50704225352115,1.4420582793013461,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7979166666666666,0.03813126087025653,0.04778852537264526,cuda_bvh_batch,cuda_bvh_batch
49,91.26760563380282,1.2298604841912482,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7937500000000001,0.055551215108222446,0.06998578281350859,cuda_bvh_batch,cuda_bvh_batch
50,98.02816901408448,0.9792367171249188,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7708333333333334,0.08154327412825388,0.10578586913935638,cuda_bvh_batch,cuda_bvh_batch
51,104.7887323943662,0.6980175100762255,10,3,7,0.7,1.0,62.666666666666664,26.0,34.1,-3.07125,0.7354166666666666,0.07770023416238135,0.10565470934261488,cuda_bvh_batch,cuda_bvh_batch
52,111.54929577464787,0.39498932419462857,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7270833333333333,0.10750888206200561,0.14786321888184153,cuda_bvh_batch,cuda_bvh_batch
53,118.3098591549296,0.07962002410568238,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.6916666666666668,0.09537935951883,0.13789786918385058,cuda_bvh_batch,cuda_bvh_batch
54,125.07042253521126,-0.23823693767559906,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7166666666666668,0.0920446751432272,0.12843443043241,cuda_bvh_batch,cuda_bvh_batch
55,131.83098591549293,-0.5486503837055138,10,4,6,0.6,0.6,46.5,30.666666666666668,27.5,-2.4050000000000002,0.7291666666666666,0.0865022478834446,0.1186316542401526,cuda_bvh_batch,cuda_bvh_batch
56,138.59154929577466,-0.8419217030234672,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7791666666666667,0.0840593375076334,0.10788364172102682,cuda_bvh_batch,cuda_bvh_batch
57,145.35211267605632,-1.1088878762166547,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7999999999999999,0.05000000000000002,0.06250000000000003,cuda_bvh_batch,cuda_bvh_batch
58,152.11267605633805,-1.3412077663705702,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7937499999999998,0.051664986531821874,0.0650897468117441,cuda_bvh_batch,cuda_bvh_batch
59,158.8732394366197,-1.531622730981712,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7729166666666667,0.048902894142939635,0.06327059080488147,cuda_bvh_batch,cuda_bvh_batch
60,165.63380281690138,-1.6741834122292132,10,3,7,0.7,1.0,62.666666666666664,26.0,34.1,-3.07125,0.7645833333333334,0.051999933226452896,0.06801081184931168,cuda_bvh_batch,cuda_bvh_batch
61,172.3943661971831,-1.7644356197312447,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.725,0.07772815877574016,0.10721125348377954,cuda_bvh_batch,cuda_bvh_batch
62,179.15492957746477,-1.7995594980334375,10,4,6,0.6,0.8,47.0,30.333333333333332,26.400000000000002,-2.4212499999999997,0.69375,0.09220956656804472,0.13291469054853292,cuda_bvh_batch,cuda_bvh_batch
63,185.9154929577465,-1.7784576306564552,10,2,8,0.8,1.0,67.0,29.5,34.1,-3.2824999999999998,0.7083333333333334,0.09090593428863099,0.12833778958394962,cuda_bvh_batch,cuda_bvh_batch
64,192.67605633802816,-1.701789327964747,10,4,6,0.6,0.6,46.5,30.666666666666668,27.5,-2.4050000000000002,0.6875,0.07806247497997999,0.11354541815269817,cuda_bvh_batch,cuda_bvh_batch
65,199.43661971830983,-1.5719500275604077,10,3,7,0.7,1.0,60.666666666666664,26.857142857142858,34.1,-3.0225,0.6979166666666666,0.08536583853561618,0.12231523133461422,cuda_bvh_batch,cuda_bvh_batch
66,206.19718309859155,-1.392996450819792,10,3,7,0.7,1.0,60.666666666666664,26.857142857142858,34.1,-3.0225,0.6999999999999998,0.07359800721939874,0.1051400103134268,cuda_bvh_batch,cuda_bvh_batch
67,212.95774647887322,-1.170519853994887,10,3,7,0.7,0.8,50.0,31.428571428571427,25.300000000000004,-2.7625,0.725,0.07216878364870324,0.09954314986028034,cuda_bvh_batch,cuda_bvh_batch
68,219.71830985915494,-0.9114713340437601,10,3,7,0.7,0.8,50.0,31.428571428571427,25.300000000000004,-2.7625,0.7020833333333334,0.08288944276699069,0.118062114326871,cuda_bvh_batch,cuda_bvh_batch
69,226.4788732394366,-0.623944647364717,10,4,6,0.6,0.8,51.0,27.666666666666668,25.300000000000004,-2.55125,0.6229166666666667,0.10049789245993614,0.16133440930023193,cuda_bvh_batch,cuda_bvh_batch
70,233.23943661971828,-0.3169233270828651,10,4,6,0.6,0.8,51.0,27.666666666666668,25.300000000000004,-2.55125,0.5583333333333333,0.11696390706348499,0.20948759474057013,cuda_bvh_batch,cuda_bvh_batch
71,240.0,-8.817456953860943e-16,10,6,4,0.4,0.6,43.0,28.0,17.6,-1.6900000000000002,0.46249999999999997,0.12520816001097262,0.27072034596967054,cuda_bvh_batch,cuda_bvh_batch
