name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup,canyon_n_scored,canyon_all_rms_m,canyon_fix_rms_m,canyon_fix_pct,canyon_lt50cm_full_pct,stdout_tail
b0_baseline_no_wp10,WP7/dead-knob baseline for this run,--max-pos-jump-rate 2.3,437.9,0,12875.0,12875.0,666.0,5.17,12875,15301,84.145,5.6372,0.0811,5.173,51.946,43.71,40.673,666,2,0.003,0,,,,,
b1_lapsegated_gate2_qpos0.1,"run1-selected winning gate, applied verbatim",--max-pos-jump-rate 2.3 --float-trust-policy lapse-gated --trust-lapse-gate-s 2 --trust-lapse-qpos 0.1,425.6,0,12958.0,12958.0,666.0,5.14,12958,15301,84.687,5.6503,0.0808,5.14,50.903,43.108,40.564,666,2,0.003,0,,,,,
