epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,n_dd_pr,n_dd_cp
10,553802.0,-3811467.108242471,3566805.588651914,3652667.7996094953,0,0,0,0,0,1,1,2.739253184616296,1.7551254221946102,2.752803433053683,18,0,0.046176996803574594,2.787643238761087,2.5390837926515517,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.43063960998669387,1,2.554414403954021,0.08512756163256188,0.1097554006414821,3,2.7569924915467303,1.771154656148343,2.787643238761087,3.871270358899591,0.046176996803574594,9.477003009138702,0,0.08215648125827328,0,e66bb176ec095c56,512,40.65702642003678,8,12,1,480,11,4,128,0.8398892832115367,18,0,nan,18,17
11,553802.2000000477,-3811467.1168671288,3566805.5932573597,3652667.807037842,0,0,0,0,1,1,1,2.73168186216977,1.7438890517434271,2.7568795700474764,18,1,0.046176996803574594,2.7992336434849636,2.549972004514897,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.4149895058086295,1,2.564711747077218,0.08903486027496538,0.1090174382521983,3,2.7490662684237583,1.7597436044452657,2.7992336434849636,3.872751816434111,nan,nan,0,0.08606380975013785,0,e66bb176ec095c56,512,37.346618704711354,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
12,553802.3999989033,-3811467.1156772557,3566805.5935875596,3652667.8073552107,0,0,0,0,1,1,1,2.7299885196397056,1.7407103487520104,2.75279174445856,18,2,0.046176996803574594,2.7984202360446475,2.5494354238938763,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.4142522912167362,1,2.56414912927988,0.08924685463730005,0.10899626399843161,3,2.747367872438066,1.7565882358020797,2.7984202360446475,3.875946808143127,nan,nan,0,0.08627314955743583,0,e66bb176ec095c56,512,37.18945803338772,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
13,553802.5999999046,-3811467.1215451485,3566805.594223698,3652667.8148330706,0,0,0,0,1,1,1,2.7294142021518124,1.7398746095615463,2.761835492704452,18,3,0.046176996803574594,2.806213529699768,2.559036028739226,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.4065349116500192,1,2.5737329263275077,0.08927256271053517,0.10899443741065884,3,2.746794601938813,1.7557579903178775,2.806213529699768,3.879610208024698,nan,nan,0,0.08629854640241079,0,e66bb176ec095c56,512,37.17056966154238,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
14,553802.7999989986,-3811467.116370178,3566805.592753338,3652667.8157646162,0,0,0,0,1,1,1,2.7292643168609008,1.7395915245655356,2.75928551563088,18,4,0.046176996803574594,2.8025256514549035,2.559168948988776,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.40716834376623484,1,2.5738763257528605,0.08927350966743916,0.1089941724508539,3,2.7466452956004854,1.7554779711376898,2.8025256514549035,3.883410359678399,nan,nan,0,0.08629947356493156,0,e66bb176ec095c56,512,37.169869382084464,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
15,553803.0,-3811467.4750908157,3566806.067215958,3652666.8251926755,0,0,0,0,1,1,1,3.6267042309925923,1.4569718891403527,2.6867900666417883,18,0,0.052747126368075915,3.105797010015602,2.8973720106359293,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.5048108692855724,0,2.903866562560667,0.050354573417791204,0.05990618877462606,3,3.6334266924524554,1.462695750254364,3.105797010015602,3.446529888958384,0.052747126368075915,19.23047039825005,0,0.049408655823432936,0,e66bb176ec095c56,512,53.59001105431966,8,12,1,480,11,4,128,0.5048108687679128,19,0,nan,18,17
16,553803.2000000477,-3811467.48701839,3566806.0741598764,3652666.835594138,0,0,0,0,1,1,1,3.620463236135679,1.448025324570176,2.6932109336103984,18,1,0.052747126368075915,3.119802368110178,2.918993406568309,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.5034984799446502,0,2.9237459411608913,0.05009795859156035,0.04938306647688418,3,3.626299112803317,1.4532531335873753,3.119802368110178,3.4481955702239153,nan,nan,0,0.04925807873464653,0,e66bb176ec095c56,512,50.664414658310754,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
17,553803.3999989033,-3811467.4909215695,3566806.077141064,3652666.8399957465,0,0,0,0,1,1,1,3.6189353153249635,1.4456758302508026,2.6974381539937564,18,2,0.052747126368075915,3.125009995011446,2.926689532231245,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.5037190899405127,0,2.9313595275461983,0.04998175455905794,0.04893891582214512,3,3.624757186003444,1.450913244842072,3.125009995011446,3.451783951486298,nan,nan,0,0.04914546951045147,0,e66bb176ec095c56,512,50.56252198370021,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
18,553803.5999999046,-3811467.4922913876,3566806.0785539644,3652666.8408402093,0,0,0,0,1,1,1,3.6184861882161967,1.4450364860545364,2.6986596699223018,18,3,0.052747126368075915,3.127045929572931,2.9286092169551354,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.5029489152430477,0,2.933264615138754,0.049963656601742505,0.04888431399411943,3,3.624309123257036,1.4502797364000144,3.127045929572931,3.4558971212947447,nan,nan,0,0.04912766734387648,0,e66bb176ec095c56,512,50.554760267972604,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
19,553803.7999989986,-3811467.493717931,3566806.0821427926,3652666.841862358,0,0,0,0,1,1,1,3.618344817850536,1.4448447709414567,2.70156110159452,18,4,0.052747126368075915,3.1307497522122483,2.9302851467824125,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.5009354587647404,0,2.9349325003516062,0.04996435031287747,0.04887149224942627,3,3.6241678253639686,1.4500894137624505,3.1307497522122483,3.4601626839851276,nan,nan,0,0.049128410472090156,0,e66bb176ec095c56,512,50.55312512263544,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
