epoch,tow,position_error_m,n_dd_pr,n_dd_cp,n_float_ambiguities,doppler_rms_mps,dd_pr_nis,dd_cp_nis,ambiguities_reset,covariance_min_eig,lambda_n,lambda_best_ratio,top12_min_error_m,top16_min_error_m,top12_has_sub50cm,top16_has_sub50cm,subset4_top16_min_error_m,subset4_top16_has_sub50cm,subset6_top16_min_error_m,subset6_top16_has_sub50cm,subset8_top16_min_error_m,subset8_top16_has_sub50cm,subset10_top16_min_error_m,subset10_top16_has_sub50cm,subset12_top16_min_error_m,subset12_top16_has_sub50cm,subset16_top16_min_error_m,subset16_top16_has_sub50cm
0,177000.0,0.28610230190234714,30,29,29,0.020750275453988918,0.013099417336066985,0.0037780928343312203,0,6.109496763821358e-05,29,1.035267187530326,0.17547294053929618,0.17547294053929618,1,1,0.6468768609082746,0,0.1895730684298726,1,0.19226075423084932,1,1.5125395837026032,0,0.5779514161488827,0,0.8742659501431599,0
1,177000.20000004768,0.28332494266862157,0,0,29,0.026104652777852896,nan,nan,0,0.0014996662512024273,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
2,177000.40000009537,0.2807473638439896,0,0,29,0.03507013721346058,nan,nan,0,0.008124276893974696,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
3,177000.59999990463,0.27632345088507837,0,0,29,0.058233760027620235,nan,nan,0,0.010418907268357135,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
4,177000.79999995232,0.2725446665482871,0,0,29,0.05691708517611942,nan,nan,0,0.010419794849156108,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
5,177001.0,0.3693651223878057,30,29,29,0.01864782008511081,0.010525283928269118,0.004614324904751482,0,6.0995462060383764e-05,29,1.005569023191822,1.7241660402482584,1.7241660402482584,0,0,0.6546463672588123,0,0.19078587055998675,1,0.1939823052698765,1,1.5141295721472015,0,0.5777670421645328,0,1.5045304925558858,0
6,177001.199999094,0.3677175748141455,0,0,29,0.046430463755043096,nan,nan,0,0.0010796037374110517,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
7,177001.39999890327,0.36380375284760175,0,0,29,0.03228875906120866,nan,nan,0,0.005210821372748447,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
8,177001.59999990463,0.36199261865793314,0,0,29,0.04776617189041765,nan,nan,0,0.005211740771508119,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
9,177001.79999995232,0.3600255702996937,0,0,29,0.016512903045251385,nan,nan,0,0.0052125522104995835,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
10,177002.0,0.3923290710975758,29,29,29,0.021526881122445597,0.005698474987023572,0.005023355230376275,0,6.09910308737841e-05,29,1.0084604039394085,2.692049680781406,2.692049680781406,0,0,0.6593419989567448,0,0.19116432681180576,1,0.1945640556273787,1,1.5145163317065966,0,1.5521068377154585,0,1.504602852320909,0
11,177002.20000004768,0.3928492648145469,0,0,29,0.01608423863176272,nan,nan,0,0.0010740756867180226,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
