epoch,tow,position_error_m,n_dd_pr,n_dd_cp,n_float_ambiguities,doppler_rms_mps,dd_pr_nis,dd_cp_nis,ambiguities_reset,covariance_min_eig,lambda_n,lambda_best_ratio,top12_min_error_m,top16_min_error_m,top12_has_sub50cm,top16_has_sub50cm,subset4_top16_min_error_m,subset4_top16_has_sub50cm,subset6_top16_min_error_m,subset6_top16_has_sub50cm,subset8_top16_min_error_m,subset8_top16_has_sub50cm,subset10_top16_min_error_m,subset10_top16_has_sub50cm,subset12_top16_min_error_m,subset12_top16_has_sub50cm,subset16_top16_min_error_m,subset16_top16_has_sub50cm
12,177002.39999890327,0.39086831591259,0,0,29,0.021793544324746384,nan,nan,0,0.0034760504430144897,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
13,177002.59999990463,0.39402399583569736,0,0,29,0.016409311654685635,nan,nan,0,0.0034768724873931746,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
14,177002.79999899864,0.3934745463141427,0,0,29,0.01637143327647809,nan,nan,0,0.003477676455414175,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
15,177003.0,0.436813373905198,30,29,29,0.017363987097031627,0.0076061547505964265,0.005512399110511435,0,6.099239724542117e-05,29,1.3381189086607261,2.8215198466221123,2.8215198466221123,0,0,0.654243511805728,0,0.19108219973685264,1,0.19480024218988815,1,1.5127435475932036,0,1.5507810740968688,0,1.9777881796910994,0
16,177003.20000004768,0.4379181491906412,0,0,29,0.02060202520476569,nan,nan,0,0.0010739666807984096,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
17,177003.39999890327,0.44092095122116987,0,0,29,0.03852319567753682,nan,nan,0,0.002609290314502215,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
18,177003.59999990463,0.44427320136225157,0,0,29,0.05036837677278361,nan,nan,0,0.0026100994993983107,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
19,177003.79999899864,0.44851292932717574,0,0,29,0.021313306139462862,nan,nan,0,0.0026109014928344812,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
20,177004.0,0.49073159403642186,30,29,29,0.018912915439829404,0.009091133235989457,0.0038433475888416373,0,6.099386925551241e-05,29,1.0071008047696857,2.821305591711427,1.722537465547375,0,0,0.6514084377077162,0,0.19109243299977188,1,0.19487277988180357,1,1.5132051760775458,0,1.5518696166396821,0,1.9778127906109997,0
21,177004.20000004768,0.4914851221678795,0,0,29,0.013818846931052545,nan,nan,0,0.001073922074673868,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
22,177004.40000009537,0.4906665577520593,0,0,29,0.016597024159766362,nan,nan,0,0.002089761477344776,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
23,177004.59999895096,0.48998972567414695,0,0,29,0.03296074056131415,nan,nan,0,0.002090566505351408,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
24,177004.79999899864,0.49110615749514186,0,0,29,0.019887177739961053,nan,nan,0,0.002091367705666547,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
25,177005.0,0.5190624918249209,30,29,29,0.019078746983131483,0.009259057043382568,0.004533866401179011,0,6.0995340184794405e-05,29,1.3428732356921969,2.8228065788470373,2.8228065788470373,0,0,0.6531191184807951,0,0.1911993901708242,1,0.194529945558079,1,1.5148000286526533,0,1.5535428048288273,0,1.9779116886654253,0
26,177005.20000004768,0.5214714936823254,0,0,29,0.026387168492268916,nan,nan,0,0.0010738672291997447,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
27,177005.40000009537,0.5253545220240544,0,0,29,0.06695970658970475,nan,nan,0,0.0017438502864222656,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
28,177005.59999895096,0.5306467851806058,0,0,29,0.03748257976365444,nan,nan,0,0.0017446534625140315,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
29,177005.79999899864,0.5366469246754051,0,0,29,0.025993501031816996,nan,nan,0,0.0017454542638457042,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
30,177006.0,0.4686163024915451,29,29,29,0.018482869067635743,0.008669178683565322,0.006518871095127575,0,6.099683734394637e-05,29,1.0010399584634297,1.7573491173712115,1.7573491173712115,0,0,0.6581338196214584,0,0.1940728452424422,1,0.19742125039214498,1,1.7083304842180984,0,2.099446576496841,0,1.9758096672503804,0
31,177006.20000004768,0.4694470221905618,0,0,29,0.017909382517927664,nan,nan,0,0.0010737939565412479,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
32,177006.40000009537,0.47193185813256106,0,0,29,0.030425951709483808,nan,nan,0,0.0014971491768077932,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
33,177006.59999895096,0.4722349135183486,0,0,29,0.011551824524845357,nan,nan,0,0.0014979513670555164,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
34,177006.79999899864,0.474218507397794,0,0,29,0.016546496112639756,nan,nan,0,0.0014987519404621582,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
35,177007.0,0.43256212050250414,29,29,29,0.016965072706905927,0.008998550649127296,0.006742591878277379,0,6.0998305133304475e-05,29,1.334322893273192,2.823672635250152,2.823672635250152,0,0,0.6566492354638869,0,0.19280831232448212,1,0.19593630605612758,1,1.5158952735823819,0,2.101702581636966,0,1.9764294315795365,0
36,177007.20000004768,0.433633076600615,0,0,29,0.011265366119008885,nan,nan,0,0.001073683887318502,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
37,177007.40000009537,0.43578577138858465,0,0,29,0.015537965018888137,nan,nan,0,0.0013124539278990982,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
38,177007.59999895096,0.43856451435768407,0,0,29,0.033512118470122775,nan,nan,0,0.0013132555312930661,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
39,177007.79999899864,0.44313811796240815,0,0,29,0.0425697711972427,nan,nan,0,0.0013140559624127072,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
40,177008.0,0.42852053879416774,30,29,29,0.024677271715991485,0.016885950822831428,0.006291938291504257,0,6.099974317758531e-05,29,1.0016059380040172,1.7598392369030973,1.7598392369030973,0,0,0.6572211329648161,0,0.1936885351723859,1,0.1966984031950228,1,1.5167788180183146,0,2.1018275074033417,0,1.9757035999563979,0
41,177008.199999094,0.42758609718059726,0,0,29,0.018858786000281295,nan,nan,0,0.0010734453256507103,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
42,177008.40000009537,0.42909269352786167,0,0,29,0.01393747263936289,nan,nan,0,0.0011690953385642213,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
43,177008.59999895096,0.4292014043186029,0,0,29,0.01761986004660014,nan,nan,0,0.0011698965644451195,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
44,177008.79999995232,0.426847872768765,0,0,29,0.032301911881327965,nan,nan,0,0.0011706969046501134,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
45,177009.0,0.3929362227179695,29,29,29,0.029670234919000393,0.00664563249326421,0.005355574841873859,0,6.10012356189261e-05,29,1.3368021299408375,3.2226476601861833,3.2226476601861833,0,0,0.6561769589185604,0,0.1933591649210813,1,0.1969211527161165,1,1.5137787184406726,0,2.10045034350011,0,1.9767224176674276,0
46,177009.199999094,0.39364129576136525,0,0,29,0.01775761571764498,nan,nan,0,0.001053549055515866,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
47,177009.40000009537,0.3945206422682654,0,0,29,0.023148975676456345,nan,nan,0,0.0010546717709713023,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
48,177009.59999895096,0.3908854975371554,0,0,29,0.035008685130991236,nan,nan,0,0.0010554727396663586,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
49,177009.79999995232,0.3909191671679271,0,0,29,0.029097803590543404,nan,nan,0,0.0010562730136083572,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
50,177010.0,0.39986322985952144,29,29,29,0.026107355529826196,0.0071935347781133824,0.003526263474355071,0,6.100269846049085e-05,29,1.3332382521021933,3.2336073279613378,3.225735585713777,0,0,0.6568224630416387,0,0.19522487500993405,1,0.19798042441771582,1,1.5171829209463352,0,2.102932958222876,0,1.9744817252863038,0
51,177010.199999094,0.39949989912228767,0,0,29,0.016511393722876053,nan,nan,0,0.0009604302823131899,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
52,177010.40000009537,0.40158576541815877,0,0,29,0.0177846098093207,nan,nan,0,0.0009612911850140941,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
53,177010.59999895096,0.40331697435899305,0,0,29,0.01490748950630132,nan,nan,0,0.0009620919706510335,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
54,177010.79999995232,0.4019978455925458,0,0,29,0.018551286438728342,nan,nan,0,0.0009628921964649583,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
55,177011.0,0.3557556210443481,29,29,29,0.02648650788329528,0.008063899597361143,0.006490816387364139,0,6.100415970369653e-05,29,1.33183632465721,2.8247274033523904,2.8247274033523904,0,0,0.6545762516846122,0,0.1946533701341616,1,0.19758907857817534,1,1.5173032611069572,0,2.1026811654963957,0,1.974597435451863,0
56,177011.199999094,0.3552266217880689,0,0,29,0.018016444777327844,nan,nan,0,0.0008828606866863639,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
57,177011.40000009537,0.3617119636020215,0,0,29,0.07232300138557252,nan,nan,0,0.0008836921481528541,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
58,177011.59999895096,0.3646664691805186,0,0,29,0.02882959167753869,nan,nan,0,0.0008844927988660206,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
59,177011.79999995232,0.3699617499270858,0,0,29,0.031473355943874896,nan,nan,0,0.0008852929886200925,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
60,177012.0,0.30680349301671306,29,29,29,0.03645501418352866,0.007241970885437213,0.008928749918967787,0,6.100561945522054e-05,29,1.010002032862932,2.823963418292954,1.7578305323970131,0,0,0.6534750333739132,0,0.19265797616904307,1,0.1963105701347177,1,1.51455032321086,0,2.1017626073436353,0,1.9770613654321716,0
61,177012.199999094,0.3044119480879537,0,0,29,0.018894645379595967,nan,nan,0,0.000817411833858012,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
62,177012.40000009537,0.3045024336126088,0,0,29,0.027488084499326108,nan,nan,0,0.0008182320668439165,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
63,177012.59999895096,0.3031372196014274,0,0,29,0.01909601766250242,nan,nan,0,0.0008190326152429827,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
64,177012.79999995232,0.3032956642090053,0,0,29,0.019111356256781446,nan,nan,0,0.0008198327772605621,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
65,177013.0,0.2797053350082253,29,29,29,0.01962266892447585,0.006400630222581585,0.01181317815637865,0,6.100707760081555e-05,29,1.0103722398328574,2.8260309010943927,1.760462458399239,0,0,0.6570224620568449,0,0.1946497208974617,1,0.19769203305808491,1,1.5169396865805393,0,2.103962534786335,0,1.9747641089859538,0
66,177013.199999094,0.28228663267583076,0,0,29,0.021091957169879983,nan,nan,0,0.0007614946010199393,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
67,177013.40000009537,0.28207464510296343,0,0,29,0.023506954940900656,nan,nan,0,0.0007623090319838263,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
68,177013.59999895096,0.2835882355974534,0,0,29,0.015866310575924976,nan,nan,0,0.0007631095009563274,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
69,177013.79999995232,0.28215773445052533,0,0,29,0.014523601624055573,nan,nan,0,0.0007639096412225118,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
70,177014.0,0.24583419487336952,29,29,29,0.019256477242229293,0.00702712297898407,0.009624014129349448,0,6.1008534408069144e-05,29,1.329755869990461,2.823432799193206,2.823432799193206,0,0,0.6553696671901954,0,0.19337340265317485,1,0.19707803833747214,1,1.5140683556295194,0,1.9658453428966862,0,1.9766013323186558,0
71,177014.199999094,0.2450934631373999,0,0,29,0.024174639585666548,nan,nan,0,0.0007132039762706041,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
72,177014.40000009537,0.24659398375803648,0,0,29,0.02910820526762412,nan,nan,0,0.0007140149259060909,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
73,177014.59999895096,0.24890478064605995,0,0,29,0.025161208669254843,nan,nan,0,0.0007148153319939154,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
74,177014.79999995232,0.2501436713681568,0,0,29,0.014088559877797545,nan,nan,0,0.0007156154548560011,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
75,177015.0,0.25448283431639457,30,29,29,0.015644738382818907,0.008936731410191188,0.008048203494823535,0,6.100996168505833e-05,29,1.0947165273702235,2.344881104645032,0.1764361012017716,0,1,0.6578131499940036,0,0.19588942752528465,1,0.19874080918092887,1,1.5172124148053057,0,1.9628023460968536,0,1.9736772156417859,0
76,177015.199999094,0.2527358915807499,0,0,29,0.03370413816978128,nan,nan,0,0.0006711099507058578,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
77,177015.40000009537,0.25223860270782994,0,0,29,0.021610689866547038,nan,nan,0,0.0006719186134373728,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
78,177015.59999895096,0.25620042183734065,0,0,29,0.03489076213319645,nan,nan,0,0.0006727189688866911,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
79,177015.79999995232,0.2600832215130015,0,0,29,0.051053284679903894,nan,nan,0,0.0006735190776147949,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
80,177016.0,0.222074067515801,29,29,29,0.033743037063503116,0.006382452432287015,0.008473857723717011,0,6.101144401972672e-05,29,1.328461857216556,2.824977697052035,1.758257637908328,0,0,0.6550280821631497,0,0.19418534122374548,1,0.1976286706192727,1,1.514985545467127,0,1.9648294424862995,0,1.975819837502747,0
81,177016.199999094,0.22275293929340365,0,0,29,0.015215008991754446,nan,nan,0,0.0006341185888290565,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
82,177016.39999890327,0.2234513055747342,0,0,29,0.020589103757453733,nan,nan,0,0.0006349256494299759,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
83,177016.59999990463,0.22383712381318355,0,0,29,0.02076109268788515,nan,nan,0,0.0006357259720848187,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
84,177016.79999995232,0.22287321409226524,0,0,29,0.016320237017645265,nan,nan,0,0.0006365260653675566,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
85,177017.0,0.19061817694917405,29,29,29,0.016261270421094848,0.005577212166277995,0.009423606027762791,0,6.101289689020256e-05,29,1.3277399990425707,1.7587755249450914,1.7587755249450914,0,0,0.6569451088855147,0,0.19473146562986696,1,0.19799223072789945,1,1.5157381801359542,0,1.9644330085677493,0,1.9756067114069653,0
86,177017.199999094,0.18985852166831257,0,0,29,0.014455332526158826,nan,nan,0,0.0006013788781327026,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
87,177017.39999890327,0.18918184101942428,0,0,29,0.020094516076016578,nan,nan,0,0.0006021847720714293,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
88,177017.59999990463,0.18684588374580513,0,0,29,0.014358939697327492,nan,nan,0,0.0006029850604810097,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
89,177017.79999995232,0.18856417947747808,0,0,29,0.023690589845251058,nan,nan,0,0.0006037851440701,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
90,177018.0,0.17897641783771018,30,29,29,0.051200666369693906,0.003830897150616472,0.0075798411373170895,0,6.1014320138144735e-05,29,1.3263133928798343,2.825127025531942,1.759676651514661,0,0,0.6555504623889351,0,0.1960986259727373,1,0.19925068641932686,1,1.5161541914060819,0,1.9625515350253127,0,1.9738404142007318,0
91,177018.199999094,0.18077874732113766,0,0,29,0.025630316644536067,nan,nan,0,0.0005722188711360856,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
92,177018.39999890327,0.18104491096592992,0,0,29,0.011105577783288537,nan,nan,0,0.0005730238834491077,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
93,177018.59999990463,0.18037060939523863,0,0,29,0.01843311721904695,nan,nan,0,0.0005738241431662224,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
94,177018.79999995232,0.18313303525398075,0,0,29,0.03581941211302421,nan,nan,0,0.0005746242186118393,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
95,177019.0,0.1851557622107517,30,29,29,0.09130890617180516,0.0071973866562736,0.01148794238367422,0,6.101577044509939e-05,29,1.3225614732179598,2.825727127838414,1.7585417134237094,0,0,0.6540759354265432,0,0.19538119903227763,1,0.19873232942930327,1,1.5153130878277201,0,1.9634799126127789,0,1.9748206137567181,0
96,177019.199999094,0.19051570768386666,0,0,29,0.06927423300914341,nan,nan,0,0.0005461009469485639,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
97,177019.39999890327,0.19550415533681814,0,0,29,0.053332692661448064,nan,nan,0,0.0005469052748184539,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
98,177019.59999990463,0.19934315247734175,0,0,29,0.0417844942584341,nan,nan,0,0.0005477055103029231,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
99,177019.79999995232,0.2027186911199007,0,0,29,0.03302925935261951,nan,nan,0,0.0005485055788194254,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
100,177020.0,0.185940965919371,30,29,29,0.011772356246424455,0.007001362060490574,0.010918700441728737,0,6.101721964714943e-05,29,1.3098508371061852,2.825201092206437,2.825201092206437,0,0,0.6536297074705949,0,0.19561211001547088,1,0.1989811875082842,1,1.515319547827377,0,1.9629676419657516,0,1.974441129122251,0
101,177020.199999094,0.1843083828176265,0,0,29,0.013895172700877603,nan,nan,0,0.000522589841536164,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
102,177020.39999890327,0.1840202331999379,0,0,29,0.015208183452485174,nan,nan,0,0.0005233936262403538,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
103,177020.59999990463,0.18303134855849237,0,0,29,0.031448820310237324,nan,nan,0,0.0005241938410383279,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
104,177020.79999995232,0.17874737865870183,0,0,29,0.040306858881572344,nan,nan,0,0.0005249939036247991,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
105,177021.0,0.18514223919386377,30,29,29,0.050140317720338244,0.008320007209259789,0.024749490394746672,0,6.1018667842418754e-05,29,1.3034807594807156,2.8206857059342383,2.8206857059342383,0,0,0.649258112393298,0,0.19433118042722577,1,0.1985399512656065,1,1.5124073756363394,0,1.9640887437153995,0,1.9755286437109771,0
106,177021.199999094,0.18037574501981818,0,0,29,0.06237624282174514,nan,nan,0,0.0005013293913857195,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
107,177021.39999890327,0.1762066224041794,0,0,29,0.055445559334639315,nan,nan,0,0.000502132737111838,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
108,177021.59999990463,0.17092159895900327,0,0,29,0.044411456958448566,nan,nan,0,0.0005029329341505001,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
109,177021.79999995232,0.17014482339483877,0,0,29,0.038278175482224785,nan,nan,0,0.0005037329916170659,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
110,177022.0,0.19390289375211478,30,29,29,0.040361000295877074,0.004178474073828385,0.02808148246513561,0,6.1020115958198734e-05,29,1.2898392529206846,2.8202916553699175,2.8202916553699175,0,0,0.63789158904819,0,0.18791352466673528,1,0.19109760516937416,1,1.521480062655308,0,1.9677941206838394,0,1.9793939928431228,0
111,177022.199999094,0.19234158014846517,0,0,29,0.04791973269965508,nan,nan,0,0.0004820253418983511,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
112,177022.39999890327,0.18766994960252087,0,0,29,0.04536304197107552,nan,nan,0,0.0004828283273419494,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
113,177022.59999990463,0.18367031517455887,0,0,29,0.0413808533474102,nan,nan,0,0.0004836285089850595,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
114,177022.79999995232,0.17926285413842177,0,0,29,0.04096517504425689,nan,nan,0,0.0004844285620027757,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
115,177023.0,0.19865022898753115,30,29,29,0.05129729072774858,0.00560944162250831,0.03708953020728461,0,6.1021564629717165e-05,29,1.2804539430631054,2.8171740398578957,2.8171740398578957,0,0,0.6221902498760471,0,0.17887571327151608,1,0.1817641673635289,1,1.5288299215342025,0,1.9748486524410904,0,1.4946977749623822,0
116,177023.199999094,0.19800288050227155,0,0,29,0.07256772930683532,nan,nan,0,0.000464432451860049,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
117,177023.39999890327,0.19435699051992716,0,0,29,0.06667409386700544,nan,nan,0,0.00046523513766462063,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
118,177023.59999990463,0.19323188086808854,0,0,29,0.06437917243839196,nan,nan,0,0.0004660353058865196,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
119,177023.79999995232,0.19656200763070103,0,0,29,0.07224969178958095,nan,nan,0,0.0004668353550101412,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
120,177024.0,0.2513050033280158,30,29,29,0.03818588099898823,0.0070353934943396266,0.14737026912651496,0,6.102301603910467e-05,29,1.280356017785593,2.8119566306826353,2.8119566306826353,0,0,0.5929275349307345,0,0.16100304868983065,1,0.1637303214803379,1,1.5417843244392295,0,1.9915293558478273,0,1.4869156959786523,0
121,177024.199999094,0.24983861584882053,0,0,29,0.06263987959546415,nan,nan,0,0.00044834469261831767,0,nan,nan,nan,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
