run,epochs,gamma_fix_epochs,declared_fix_epochs,correct_fix_epochs,false_fix_epochs,false_fix_pct,max_gamma,fix_rms_m,all_rms_m,lt50cm_full_pct,ppc_official_pct
tokyo/run1,11924,592,10,10,0,0.0,0.9972644469015006,0.21096331792899023,26.647668041526074,1.6515761234071094,0.9792847650869552
tokyo/run2,9151,398,14,14,0,0.0,0.9972376944470513,0.18062849585299057,10.91298083875206,1.6500928860233854,0.3038264890947329
tokyo/run3,15301,626,0,0,0,0.0,0.997267658483526,,8.497154480009364,2.0652244951310372,1.6934243694234237
