fold,held_out_city,held_out_run,n_train_epochs,n_test_epochs,test_log_likelihood,test_log_likelihood_per_epoch,max_test_state_share,state_to_fix,train_state_usage,test_state_usage
1,nagoya,run1,51055,7651,184825.43309462388,24.157029550989918,0.895046399163508,"[0.1419, 0.1895, 0.139]","[0.0722, 0.8595, 0.0683]","[0.0495, 0.895, 0.0554]"
2,nagoya,run2,49255,9451,212838.4481198151,22.52020401225427,0.8552534123370016,"[0.1811, 0.1584, 0.1395]","[0.8657, 0.0454, 0.0889]","[0.8553, 0.036, 0.1087]"
3,nagoya,run3,53505,5201,113055.47423865694,21.737257111835596,0.7623369837753389,"[0.2111, 0.1427, 0.0588]","[0.7399, 0.1298, 0.1303]","[0.7623, 0.199, 0.0387]"
4,tokyo,run1,46755,11951,261537.76898957574,21.884174461515833,0.8774997908122188,"[0.2001, 0.1379, 0.1451]","[0.8607, 0.0711, 0.0683]","[0.8775, 0.0621, 0.0604]"
5,tokyo,run2,49555,9151,202018.55371055976,22.07611776970383,0.5619058017538386,"[0.1184, 0.182, 0.1085]","[0.0949, 0.5972, 0.3079]","[0.0872, 0.5619, 0.3509]"
6,tokyo,run3,43405,15301,382628.9881768172,25.006796168669837,0.6705867476925598,"[0.13, 0.1962, 0.0923]","[0.1138, 0.52, 0.3662]","[0.1201, 0.6706, 0.2093]"
