city,run,start_epoch,segment,config,n_epochs,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_pass_epochs,rms_2d,p50,p95,max_2d,wls_ppc_score_pct,wls_rms_2d,tdcp_used_epochs,dd_pr_anchor_epochs,dd_anchor_blend_alpha,dd_anchor_high_blend_alpha,dd_anchor_high_min_shift_m,dd_anchor_high_max_robust_rms_m,dd_anchor_high_blend_epochs,widelane_anchor_epochs,rsp_correction_epochs,height_hold_release_min_dd_shift_m,last_velocity_max_age_s
nagoya,run1,0,nagoya/run1@0,dd0.3_ddhi1_hishift2_hirms0.7_height_release_0.4m_age15s,200,12.773959924139753,0.0010000001639127731,0.007828427283719672,3.5,7,0.6323259347012335,0.6454805168356423,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,0.3,1.0,2.0,0.7,20,196,0,0.4,15.0
nagoya,run1,0,nagoya/run1@0,dd0.3_ddhi1_hishift3_hirms0.7_height_release_0.4m_age15s,200,0.0,0.0,0.007828427283719672,0.5,1,0.6412466212401511,0.64561522241035,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,0.3,1.0,3.0,0.7,1,196,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd0.3_ddhi1_hishift0_hirms0.7_height_release_0.4m_age15s,200,7.34813916847603,12.163069297656458,165.5258429213858,6.0,12,0.5527723914259256,0.361248085971556,1.5619268439872962,1.6449410348306228,0.0,71.17289177277253,152,200,0.3,1.0,0.0,0.7,196,193,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd0.3_ddhi1_hishift1_hirms0.7_height_release_0.4m_age15s,200,8.050574966784403,13.325782073787957,165.5258429213858,6.5,13,0.55184020293755,0.3610918378249958,1.5619268391054186,1.6449410345394477,0.0,71.17289177277253,152,200,0.3,1.0,1.0,0.7,160,193,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd0.3_ddhi1_hishift2_hirms0.7_height_release_0.4m_age15s,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.5455515961525856,0.3606957964358868,1.5619268393093753,1.6449410345394477,0.0,71.17289177277253,152,200,0.3,1.0,2.0,0.7,84,192,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd0.3_ddhi1_hishift3_hirms0.7_height_release_0.4m_age15s,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.5298376792227023,0.35753801716166955,1.5265574189158135,1.6449410310886294,0.0,71.17289177277253,152,200,0.3,1.0,3.0,0.7,18,189,0,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd0.3_ddhi1_hishift0_hirms0.7_height_release_0.4m_age15s,200,1.1750134507689218,3.9750491287505274,338.29818085480457,1.0,2,2.2018298748061476,2.3355234141530756,3.4160502967876436,3.790510069758795,0.0,59.791073504314824,56,199,0.3,1.0,0.0,0.7,186,118,0,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd0.3_ddhi1_hishift1_hirms0.7_height_release_0.4m_age15s,200,1.1750134507689218,3.9750491287505274,338.29818085480457,1.0,2,2.1895583972282435,2.335523413700521,3.416050297805583,3.7905100793529116,0.0,59.791073504314824,56,199,0.3,1.0,1.0,0.7,153,115,0,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd0.3_ddhi1_hishift2_hirms0.7_height_release_0.4m_age15s,200,0.5859964095611395,1.982415193419805,338.29818085480457,0.5,1,2.219011698112366,2.152660606779178,3.4160502979625007,3.790510069758795,0.0,59.791073504314824,56,199,0.3,1.0,2.0,0.7,109,113,0,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd0.3_ddhi1_hishift3_hirms0.7_height_release_0.4m_age15s,200,0.0,0.0,338.29818085480457,0.0,0,2.2560857817427915,2.2372162293580895,3.4160502977741074,3.7905100780234187,0.0,59.791073504314824,56,199,0.3,1.0,3.0,0.7,71,112,0,0.4,15.0
