city,run,n_windows,route_actual_pct,route_pred_pct,route_abs_error_pp,window_mae_pp,window_pearson_r
nagoya,run1,26,11.511770308885563,18.62887131380327,7.117101004917707,21.85882375039083,0.12092548581257156
nagoya,run2,32,16.172947070355043,17.402825916212674,1.2298788458576304,18.449331748430634,0.2990006049018237
nagoya,run3,18,7.8656049718391925,18.553573586067785,10.687968614228591,14.748112110463822,-0.21148943119302097
tokyo,run1,39,10.918385977725032,18.263048415379327,7.344662437654295,16.496899581911805,0.4557659572898499
tokyo,run2,31,29.018058690744923,15.00265288041143,14.015405810333492,27.94309053053975,0.2863358376870074
tokyo,run3,51,24.011112581029238,15.529468427570935,8.481644153458303,23.925074306408753,0.21718692725513056
_AGGREGATE_,,197,17.899032007348264,16.957184232901074,,21.125598505575184,0.034719420373672226
