phase,run,min_dd_pairs,min_ess_ratio,max_doppler_residual,forward_p50,forward_rms_2d,smoothed_p50,smoothed_rms_2d,n_epochs,n_doppler_kf_used,n_doppler_kf_skip,n_doppler_kf_gate_skip,elapsed_s
phase1_dd_pairs,Odaiba,0,0.0,inf,1.268197522445159,4.979668303487978,1.2087906650830638,4.292273329169735,12228,12252,0,0,971.1754556330852
phase1_dd_pairs,Odaiba,5,0.0,inf,1.2142615920377353,5.428276554841333,1.326476494851601,4.657153533669622,12228,10524,1728,1728,802.3356809411198
phase1_dd_pairs,Odaiba,10,0.0,inf,1.4021694886061997,5.792344832681478,1.3621649867381693,5.10520571848762,12228,6968,5284,5284,883.3359445401002
phase1_dd_pairs,Odaiba,15,0.0,inf,1.3227623456009105,5.310865425842023,1.3283385438143556,5.165984239539857,12228,1293,10959,10959,871.8459205538966
phase1_dd_pairs,Odaiba,17,0.0,inf,1.4189748273839817,5.608506641159294,1.3765171207596034,5.462043837295869,12228,257,11995,11995,791.7937295439187
phase1_dd_pairs,Odaiba,20,0.0,inf,1.4132444634892516,5.964398084851745,1.35745586728979,5.8118865319432516,12228,0,12252,12252,578.5346139990725
