backend,blocked_epoch_frac,catastrophic_rate_pct,city,gate_threshold,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_gate_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
EKF,nan,0.000000,nagoya,nan,0.000000,0.000000,98.432172,81.748282,nan,EKF,100,0.066667,0.000000,78.299264,92.300831,98.026481,82.588305,105.126927,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,0.027911
GPU,nan,0.000000,nagoya,nan,0.000000,0.000000,88.878760,78.627056,nan,PF,100,0.066667,0.000000,76.132321,78.989827,88.084681,78.759039,83.942259,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,1.453445
GPU-3D,nan,0.000000,nagoya,nan,0.000000,0.000000,83.852531,73.947469,nan,PF+RobustClear,100,0.066667,0.000000,75.074592,76.288202,80.392926,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-3D-BVH,nan,0.000000,nagoya,nan,0.000000,0.000000,96.934216,90.945990,nan,PF3D-BVH+BlockedOnly,100,0.066667,0.000000,91.072217,92.471764,96.437146,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,1.000000,0.000000,nagoya,0.000000,0.000000,0.000000,96.934216,90.945990,0.003486,PF-Gated(th=0),100,0.066667,0.000000,91.072217,92.471764,96.437146,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.190000,0.000000,nagoya,0.001000,0.000000,0.000000,96.843405,77.022721,0.003486,PF-Gated(th=0.001),100,0.066667,0.000000,75.248460,78.328105,95.464543,77.467152,81.177838,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.100000,0.000000,nagoya,0.005000,0.000000,0.000000,96.309228,75.354239,0.003486,PF-Gated(th=0.005),100,0.066667,0.000000,75.103069,77.089616,92.144652,75.645860,79.022419,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.080000,0.000000,nagoya,0.010000,0.000000,0.000000,95.531339,74.921434,0.003486,PF-Gated(th=0.01),100,0.066667,0.000000,75.074592,76.850244,85.078392,75.168008,78.456528,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.060000,0.000000,nagoya,0.020000,0.000000,0.000000,95.461028,74.561754,0.003486,PF-Gated(th=0.02),100,0.066667,0.000000,75.074592,76.351721,82.289883,74.758660,78.002228,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.010000,0.000000,nagoya,0.050000,0.000000,0.000000,84.049956,73.949443,0.003486,PF-Gated(th=0.05),100,0.066667,0.000000,75.074592,76.288202,80.392926,74.065014,77.342142,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
