span_id,evaluation_role,provenance,recurrence_mode,recurrence_min_selected_probability,recurrence_max_source_error_m,recurrence_allow_boundary,requested_epochs,evaluated_epochs,skipped_epochs,coverage,recurrence_abstained_epochs,recurrence_acceptance_rate,baseline_p50_m,selected_p50_m,baseline_p95_m,selected_p95_m,baseline_p99_m,selected_p99_m,improved_epochs,worsened_epochs,baseline_honest_ppc_score_pct,honest_ppc_score_pct,pass_distance_m,total_distance_m,runtime_s,runtime_ms_per_evaluated_epoch
nagoya_run1_seg0,development,preexisting_ppc_pf3dbvh_nagoya_run1_seg0,safe_gated,0.05,20.0,False,100,100,0,1.0,100,0.0,0.10890645295052387,0.10890645295052387,0.11323543916030959,0.11323543916030959,0.48901627583239204,0.48901627583239204,0,0,100.0,100.0,0.0058284269558941245,0.0058284269558941245,31.04062689980492,310.4062689980492
nagoya_run2_seg983,holdout,preexisting_ppc_pf3dbvh_nagoya_run2_seg983,safe_gated,0.05,20.0,False,100,100,0,1.0,100,0.0,0.10399062405906498,0.10399062405906498,0.17497492914534998,0.17497492914534998,0.7127563848548151,0.7127563848548151,0,0,88.00354595241956,88.00354595241956,26.18985181509569,29.75999606794893,40.500970599707216,405.00970599707216
nagoya_run3_seg235,holdout,preexisting_ppc_pf3dbvh_nagoya_run3_seg235,safe_gated,0.05,20.0,False,100,96,4,0.96,96,0.0,0.5354569527189426,0.5354569527189426,2.2288553576254526,2.2288553576254526,2.913592349186085,2.913592349186085,0,0,41.692018292705725,41.692018292705725,97.11545156186027,232.93535678710762,28.332461699843407,295.1298093733688
tokyo_run1_seg1463,development,preexisting_ppc_pf3dbvh_tokyo_run1_seg1463,safe_gated,0.05,20.0,False,100,100,0,1.0,100,0.0,0.9477537758544123,0.9477537758544123,1.0066332231628696,1.0066332231628696,1.0900700045823153,1.0900700045823153,0,0,7.30354727686007,7.30354727686007,17.367979979611448,237.8019792469703,77.79939020005986,777.9939020005986
tokyo_run2_seg808,holdout,preexisting_ppc_pf3dbvh_tokyo_run2_seg808,safe_gated,0.05,20.0,False,100,100,0,1.0,100,0.0,0.03838221267302146,0.03838221267302146,0.09981426612711616,0.09981426612711616,0.12720820208559683,0.12720820208559683,0,0,100.00000000000001,100.00000000000001,156.87385452065752,156.8738545206575,57.5506184999831,575.506184999831
tokyo_run3_seg774,holdout,preexisting_ppc_pf3dbvh_tokyo_run3_seg774,safe_gated,0.05,20.0,False,100,99,1,0.99,99,0.0,0.04138538402823749,0.04138538402823749,0.1730151111173765,0.1730151111173765,0.218536312625227,0.218536312625227,0,0,99.89429669814042,99.89429669814042,173.03344537820877,173.21654098139305,72.25270160008222,729.8252686876991
