config,n_segments,aggregate_ppc_score_pct,mean_ppc_score_pct,median_ppc_score_pct,min_ppc_score_pct,aggregate_epoch_pass_pct,mean_rms_2d,mean_p95,total_pass_distance_m,total_distance_m,total_pass_epochs,total_epochs,rsp_correction_epochs,height_hold_release_min_dd_shift_m,dd_anchor_blend_alpha,last_velocity_max_age_s
dd0.3_height_release_0.4m_age15s,6,2.746354801925545,2.389700122922118,0.0,0.0,8.833333333333334,4.329211837705348,9.317899485121123,37.95367275168489,1381.9653864487766,106,1200,7,0.4,0.3,15.0
dd0.3_height_release_0.4m_age8s,6,2.746354801925545,2.389700122922118,0.0,0.0,7.5,5.1586515291107995,11.836313805666732,37.95367275168489,1381.9653864487766,90,1200,7,0.4,0.3,8.0
dd1_height_release_0.4m_age15s,6,3.8364048824008155,5.908721265498939,6.167524404455426,0.0,10.833333333333334,2.77067482095565,5.347874885810751,53.017787558810156,1381.9653864487766,130,1200,7,0.4,1.0,15.0
dd1_height_release_0.4m_age8s,6,3.8364048824008155,5.908721265498939,6.167524404455426,0.0,9.5,3.011977297048876,6.021390398846759,53.017787558810156,1381.9653864487766,114,1200,7,0.4,1.0,8.0
