method,rms_2d,mean_2d,p50,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,time_ms,backend,building_source,n_epochs
WLS,67.171907,65.725778,70.992777,74.323698,78.275046,0.000000,0.000000,0.000000,0.000000,0.010844,-,PLATEAU:/tmp/plateau_segment_cache/436910dd3dca5c2a,100
EKF,67.402946,66.229815,70.982406,72.896156,76.095943,0.000000,0.000000,0.000000,0.000000,0.031018,-,PLATEAU:/tmp/plateau_segment_cache/436910dd3dca5c2a,100
PF-10K,98.051466,97.247886,101.162524,109.398766,110.197739,54.000000,0.000000,54.000000,10.600001,1.314551,GPU,PLATEAU:/tmp/plateau_segment_cache/436910dd3dca5c2a,100
PF3D-BVH-10K,98.151943,97.252024,100.102695,114.899220,116.746501,50.000000,0.000000,50.000000,9.800000,388.461740,GPU-3D-BVH,PLATEAU:/tmp/plateau_segment_cache/436910dd3dca5c2a,100
