fold,held_out_city,held_out_run,n_train_epochs,n_test_epochs,test_log_likelihood,test_log_likelihood_per_epoch,max_test_state_share,state_to_fix,train_state_usage,test_state_usage
1,nagoya,run1,51055,7651,215715.9784250098,28.194481561235104,0.587746940504669,"[0.1275, 0.0, 0.2242, 0.1405]","[0.3089, 0.0001, 0.5505, 0.1405]","[0.3073, 0.0001, 0.5877, 0.1048]"
2,nagoya,run2,49255,9451,223685.79536238345,23.667949990729387,0.7165417664731865,"[0.0637, 0.1997, 0.0, 0.1461]","[0.1187, 0.7471, 0.0001, 0.1341]","[0.1387, 0.7165, 0.0, 0.1447]"
3,nagoya,run3,53505,5201,136374.59826605656,26.220841812354656,0.5659591378797533,"[0.1201, 0.2275, 0.1428, 0.0]","[0.318, 0.5522, 0.1297, 0.0001]","[0.235, 0.566, 0.199, 0.0]"
4,tokyo,run1,46755,11951,297593.5790707017,24.90114459632681,0.46810201436419274,"[0.1581, 0.219, 0.0, 0.1415]","[0.2666, 0.5941, 0.0001, 0.1393]","[0.4681, 0.4094, 0.0001, 0.1224]"
5,tokyo,run2,49555,9151,239661.8561264395,26.18969032088728,0.5244157408707432,"[0.0926, 0.1926, 0.0, 0.1272]","[0.3035, 0.5602, 0.0001, 0.1363]","[0.3419, 0.5244, 0.0001, 0.1335]"
6,tokyo,run3,43405,15301,344767.4648617432,22.532348530275357,0.8536043391281048,"[0.0986, 0.0172, 0.1611, 0.1324]","[0.0241, 0.0401, 0.8253, 0.1105]","[0.0169, 0.0105, 0.8536, 0.119]"
