config,systems,weight_scale,n_runs,mean_rms_2d,median_rms_2d,max_rms_2d,mean_p95
G,G,-,1,53.560075,53.560075,53.560075,54.386047
"G,E","G,E",-,1,73.421796,73.421796,73.421796,74.120715
"G,E,J","G,E,J",-,1,73.175589,73.175589,73.175589,74.077438
"G,E,J scaled","G,E,J","E=0.1,J=2.0",1,58.742264,58.742264,58.742264,59.621545
"G,J","G,J",-,1,55.882819,55.882819,55.882819,56.722445
