epoch,gps_tow,satellite_count,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf_100k,est_x_pf_100k,est_y_pf_100k,est_z_pf_100k
73,187484.600000,9,55.604498,-3961778.695551,3348949.974709,3698310.657670,55.426812,-3961778.194640,3348949.792504,3698310.289328,57.643754,-3961785.422070,3348952.750047,3698315.290121,55.283200,-3961783.189047,3348953.905974,3698314.021688
74,187484.799999,9,56.185412,-3961779.744435,3348950.278049,3698311.671853,55.985467,-3961778.908914,3348949.870594,3698311.094902,57.581188,-3961785.591167,3348953.063123,3698315.426070,55.322256,-3961783.066334,3348953.805239,3698313.722395
75,187485.000000,9,55.834846,-3961779.065994,3348950.458218,3698311.812752,55.839237,-3961778.779933,3348950.208594,3698311.535218,57.516914,-3961785.020360,3348952.999933,3698315.713557,55.442886,-3961782.986573,3348953.756692,3698313.827803
76,187485.200000,9,55.297739,-3961777.630215,3348950.300111,3698311.514285,55.415865,-3961777.913223,3348950.333882,3698311.565214,57.306685,-3961784.849526,3348953.276056,3698315.772057,55.688516,-3961783.055151,3348953.612686,3698313.819293
77,187485.399999,9,55.032225,-3961776.385345,3348949.743245,3698310.534275,55.158940,-3961776.952277,3348950.015748,3698310.879648,57.433359,-3961784.531421,3348953.203891,3698316.235372,55.712851,-3961782.788669,3348953.520074,3698313.662091
78,187485.600000,9,54.874598,-3961775.576816,3348949.623388,3698310.546964,54.964935,-3961775.992727,3348949.796474,3698310.703003,57.285272,-3961784.304731,3348953.399857,3698316.233490,55.913998,-3961782.521201,3348953.256843,3698313.575553
79,187485.799999,9,55.142590,-3961775.701765,3348949.864961,3698311.649245,55.098591,-3961775.570651,3348949.762776,3698311.386016,57.805753,-3961784.750188,3348953.200929,3698316.213981,55.991151,-3961782.498656,3348953.320517,3698313.562315
80,187486.000000,9,54.881380,-3961775.643535,3348950.442968,3698312.096804,54.896671,-3961775.355980,3348950.183618,3698311.832506,57.992625,-3961784.318541,3348952.840501,3698315.965258,56.193634,-3961782.244839,3348953.128094,3698313.605476
81,187486.200000,9,54.584700,-3961775.717254,3348951.228227,3698312.789807,54.601304,-3961775.278063,3348950.854352,3698312.432087,58.033101,-3961784.068554,3348952.798527,3698315.778647,56.305687,-3961781.988901,3348953.075773,3698313.708466
82,187486.399999,9,53.883395,-3961775.479325,3348951.999083,3698312.372680,53.992328,-3961775.188476,3348951.673564,3698312.264893,58.047582,-3961783.820888,3348952.771889,3698315.437910,56.253391,-3961781.592874,3348953.128455,3698313.708161
83,187486.600000,9,53.409504,-3961775.364434,3348952.623448,3698312.067290,53.500751,-3961775.116587,3348952.354350,3698312.003929,57.898455,-3961783.659327,3348952.989674,3698315.007514,56.318574,-3961781.320508,3348953.133494,3698313.730883
84,187486.799999,9,52.660003,-3961775.099770,3348953.548221,3698311.883601,52.792250,-3961774.888533,3348953.247490,3698311.811890,57.962323,-3961783.577042,3348953.236068,3698315.454494,56.153692,-3961781.073906,3348953.420590,3698313.638765
85,187487.000000,9,52.386579,-3961774.997196,3348954.274509,3698312.652083,52.423583,-3961774.673976,3348953.962238,3698312.366359,58.080662,-3961783.167265,3348953.087971,3698315.340036,56.254897,-3961780.888558,3348953.439940,3698313.553568
86,187487.200000,9,51.976728,-3961774.300332,3348954.531752,3698312.420631,52.046652,-3961774.269754,3348954.419768,3698312.381734,58.048490,-3961782.515545,3348953.005066,3698315.389882,56.205749,-3961780.537247,3348953.520195,3698313.400010
87,187487.399999,9,51.634547,-3961772.994788,3348954.324506,3698312.034003,51.728642,-3961773.377630,3348954.482701,3698312.196885,57.805699,-3961782.503661,3348953.493232,3698314.971239,56.230447,-3961780.343288,3348953.680077,3698313.450913
88,187487.600000,9,51.199977,-3961773.362952,3348955.486782,3698312.550664,51.269561,-3961773.123979,3348955.218788,3698312.391852,57.329963,-3961782.234914,3348954.242269,3698315.036319,56.302233,-3961780.165142,3348953.834895,3698313.560735
89,187487.799999,9,51.148112,-3961772.185526,3348955.136262,3698312.487632,51.179555,-3961772.406204,3348955.240374,3698312.522800,57.204277,-3961781.403055,3348954.153429,3698314.738842,56.312644,-3961779.715185,3348953.920954,3698313.707733
90,187488.000000,9,51.218343,-3961771.821058,3348955.394532,3698313.388792,51.200592,-3961771.820255,3348955.369373,3698313.214808,57.138156,-3961781.013101,3348954.354602,3698314.695223,56.300818,-3961779.123845,3348953.938919,3698313.749002
91,187488.200000,8,45.939556,-3961798.201851,3348983.010427,3698318.379437,46.265403,-3961781.897148,3348968.724230,3698313.697646,57.040626,-3961780.976490,3348954.979780,3698315.205227,56.152865,-3961779.175097,3348954.601306,3698313.849416
92,187488.399999,8,46.076623,-3961797.486634,3348982.871240,3698318.712654,45.631643,-3961788.852592,3348975.846672,3698315.754734,56.490786,-3961780.605050,3348955.743897,3698314.581107,55.982670,-3961779.001907,3348955.160108,3698313.935004
93,187488.600000,8,46.199492,-3961796.006346,3348982.094393,3698318.432920,45.912461,-3961792.357607,3348979.211161,3698317.105514,56.173751,-3961780.129002,3348956.239570,3698314.354223,55.874366,-3961778.791710,3348955.597235,3698313.842028
94,187488.799999,8,46.171552,-3961793.990537,3348981.086485,3698317.446785,46.120840,-3961793.423596,3348980.635853,3698317.284534,55.992564,-3961779.942373,3348956.801910,3698314.312092,55.666880,-3961778.687473,3348956.240720,3698313.793218
95,187489.000000,8,46.163615,-3961793.091402,3348980.954170,3698317.844170,46.183997,-3961793.503958,3348981.319128,3698317.848860,56.467177,-3961780.523773,3348957.192988,3698314.839951,55.619559,-3961778.715819,3348956.830234,3698313.990615
96,187489.200000,8,46.012836,-3961792.514418,3348981.350805,3698318.038896,46.098283,-3961793.236131,3348981.908821,3698318.188926,56.765934,-3961780.422784,3348957.168913,3698314.166753,55.433768,-3961778.687434,3348957.570360,3698314.266906
97,187489.399999,9,52.335784,-3961764.689683,3348952.557186,3698314.289700,52.068717,-3961775.781236,3348960.831547,3698318.540902,56.927720,-3961780.249500,3348957.394954,3698314.498798,55.515634,-3961778.271497,3348957.684452,3698314.379333
98,187489.600000,9,52.401466,-3961764.270641,3348952.663769,3698314.563271,52.740110,-3961769.137413,3348955.782277,3698316.790379,57.867677,-3961780.595118,3348957.056041,3698314.938819,55.813140,-3961777.904856,3348957.579169,3698314.509675
99,187489.799999,9,52.782290,-3961764.033585,3348952.650694,3698315.352110,52.948780,-3961766.003172,3348953.863373,3698316.229952,58.236749,-3961780.379266,3348957.008104,3698315.203461,55.889552,-3961777.071227,3348957.408064,3698314.549941
100,187490.000000,9,52.383052,-3961763.277118,3348953.162537,3698315.735647,52.565227,-3961764.085266,3348953.516389,3698316.070443,58.203378,-3961779.366824,3348956.818494,3698314.878773,56.079334,-3961776.797763,3348957.550062,3698314.863419
101,187490.200000,9,52.585929,-3961763.527023,3348953.690545,3698316.615596,52.597616,-3961763.402159,3348953.567728,3698316.485594,58.556708,-3961778.998180,3348956.721838,3698315.490530,56.377539,-3961776.455385,3348957.507195,3698315.135843
102,187490.399999,8,62.151757,-3961762.872969,3348942.554328,3698317.545708,60.126638,-3961763.876114,3348945.604760,3698317.765218,58.980109,-3961778.571508,3348956.473045,3698315.780233,57.073568,-3961776.097088,3348956.963334,3698315.402487
103,187490.600000,9,52.373111,-3961764.083084,3348955.490629,3698318.070874,53.682826,-3961762.649675,3348952.907225,3698317.503108,58.869591,-3961778.249863,3348957.028988,3698316.438649,57.282793,-3961775.729457,3348957.035922,3698315.600029
104,187490.799999,8,46.728030,-3961787.614917,3348981.581702,3698321.733892,47.785257,-3961771.351181,3348966.441058,3698317.473170,59.063427,-3961778.990065,3348957.938418,3698315.870463,57.143997,-3961775.293059,3348957.487708,3698315.703384
105,187491.000000,8,46.467778,-3961786.952033,3348982.104896,3698321.924340,46.297298,-3961777.919674,3348974.331700,3698319.123423,58.247498,-3961777.723799,3348958.580880,3698315.164134,57.152183,-3961774.939126,3348957.822746,3698315.798958
106,187491.200000,8,46.651824,-3961786.243941,3348981.969436,3698322.139165,46.355339,-3961781.712143,3348978.282739,3698320.606937,58.496397,-3961777.347905,3348958.616189,3698315.123576,57.175695,-3961774.763555,3348958.286488,3698315.866981
107,187491.399999,7,54.863345,-3961771.747411,3348960.098972,3698321.144733,50.812891,-3961779.977768,3348971.568013,3698322.302175,59.320790,-3961777.694836,3348958.503034,3698315.332342,57.514664,-3961774.529438,3348958.321296,3698316.232223
108,187491.600000,8,46.280250,-3961784.694160,3348982.510384,3698322.975584,46.924709,-3961781.571099,3348978.776688,3698322.260684,59.034173,-3961778.276027,3348960.024656,3698315.811230,57.523152,-3961774.465865,3348958.893942,3698316.536719
109,187491.799999,8,46.142427,-3961783.424217,3348982.224588,3698323.236495,46.235882,-3961782.322435,3348981.092850,3698322.870981,59.445298,-3961778.419627,3348960.261207,3698316.263027,57.375061,-3961774.182743,3348959.469655,3698316.656144
110,187492.000000,8,46.003869,-3961782.172572,3348982.012744,3698322.731666,46.063965,-3961782.325659,3348982.061677,3698322.849694,59.406684,-3961778.380372,3348960.904187,3698316.764749,57.257363,-3961773.876224,3348959.963671,3698316.741769
111,187492.200000,7,55.698191,-3961767.500357,3348958.105092,3698321.339269,50.695356,-3961779.047804,3348973.472193,3698323.452015,58.669543,-3961777.127863,3348961.408051,3698317.572956,57.536052,-3961773.393302,3348959.788085,3698317.026596
112,187492.399999,8,46.124591,-3961780.664058,3348981.732941,3698322.990379,46.892508,-3961779.129911,3348979.249068,3698322.841867,58.290949,-3961776.835665,3348962.220952,3698318.427962,57.275915,-3961773.041583,3348960.375609,3698317.134936
113,187492.600000,8,46.195462,-3961780.437802,3348982.003895,3698323.454104,46.280979,-3961779.610851,3348981.123863,3698323.217049,57.840917,-3961776.932617,3348963.437579,3698319.019245,56.986941,-3961772.783983,3348961.069073,3698317.341190
114,187492.799999,8,46.504179,-3961779.809680,3348981.543404,3698323.663849,46.436901,-3961779.790808,3348981.623831,3698323.620303,57.281959,-3961775.925686,3348963.824329,3698319.060219,56.688143,-3961772.638941,3348961.833848,3698317.668105
