blocked_epoch_frac,catastrophic_rate_pct,outlier_rate_pct,p95,rms_2d,segment_label,strategy,style
0.100000,0.000000,57.000000,127.096363,100.146332,tokyo_run2_seg808,hysteresis_quality_veto_regime_gate,stateful-hysteresis
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,hysteresis_quality_veto_regime_gate,stateful-hysteresis
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,hysteresis_quality_veto_regime_gate,stateful-hysteresis
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,hysteresis_quality_veto_regime_gate,stateful-hysteresis
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,hysteresis_quality_veto_regime_gate,stateful-hysteresis
0.070000,0.000000,50.000000,114.656171,95.789174,tokyo_run1_seg1463,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.110000,0.000000,57.000000,127.096363,99.798414,tokyo_run2_seg808,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,mode_aware_hysteresis_quality_veto_regime_gate,stateful-branch-hysteresis
0.060000,0.000000,50.000000,114.656171,95.617242,tokyo_run1_seg1463,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.120000,0.000000,57.000000,127.096363,99.441501,tokyo_run2_seg808,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-exit-hysteresis
0.050000,0.000000,50.000000,114.656171,95.499883,tokyo_run1_seg1463,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.120000,0.000000,57.000000,127.096363,99.441501,tokyo_run2_seg808,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-hysteresis
0.030000,0.000000,50.000000,114.656171,95.181365,tokyo_run1_seg1463,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.120000,0.000000,57.000000,127.096363,99.441501,tokyo_run2_seg808,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-rescue-negative-exit
0.000000,0.000000,50.000000,114.656171,94.784062,tokyo_run1_seg1463,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.120000,0.000000,57.000000,127.096363,99.441501,tokyo_run2_seg808,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.000000,0.000000,59.000000,119.473372,102.340751,tokyo_run3_seg774,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.000000,0.000000,0.000000,81.831671,70.790615,nagoya_run1_seg0,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.000000,0.000000,0.000000,63.058374,35.017754,nagoya_run3_seg235,entry_veto_negative_exit_rescue_branch_aware_hysteresis_quality_veto_regime_gate,stateful-branch-entry-veto-rescue-negative-exit
0.010000,0.000000,50.000000,114.864491,96.691045,tokyo_run1_seg1463,rule_chain_gate,pipeline-rule-chain
0.260000,0.000000,57.000000,127.096363,98.368676,tokyo_run2_seg808,rule_chain_gate,pipeline-rule-chain
0.140000,0.000000,59.000000,119.473372,100.195704,tokyo_run3_seg774,rule_chain_gate,pipeline-rule-chain
0.030000,0.000000,0.000000,81.845544,71.006024,nagoya_run1_seg0,rule_chain_gate,pipeline-rule-chain
0.000000,0.000000,0.000000,80.392926,74.062776,nagoya_run2_seg983,rule_chain_gate,pipeline-rule-chain
0.140000,0.000000,14.000000,131.691219,58.542428,nagoya_run3_seg235,rule_chain_gate,pipeline-rule-chain
0.560000,0.000000,72.000000,148.525541,110.602534,tokyo_run1_seg1463,weighted_score_gate,functional-score
0.280000,0.000000,57.000000,127.096363,98.235344,tokyo_run2_seg808,weighted_score_gate,functional-score
0.270000,0.000000,59.000000,119.473372,96.278734,tokyo_run3_seg774,weighted_score_gate,functional-score
0.050000,0.000000,0.000000,82.610152,71.051493,nagoya_run1_seg0,weighted_score_gate,functional-score
0.130000,0.000000,0.000000,95.464543,76.332957,nagoya_run2_seg983,weighted_score_gate,functional-score
0.540000,0.000000,31.000000,140.128789,87.859161,nagoya_run3_seg235,weighted_score_gate,functional-score
