city,run,start_epoch,segment,config,n_epochs,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_pass_epochs,rms_2d,p50,p95,max_2d,wls_ppc_score_pct,wls_rms_2d,tdcp_used_epochs,dd_pr_anchor_epochs,widelane_anchor_epochs,rsp_correction_epochs,height_hold_release_min_dd_shift_m
tokyo,run1,1463,tokyo/run1@1463,height_release_0.4m,200,5.578526886414439,23.45414877245716,420.4362415026767,4.5,9,1.8991589818721553,0.7793454240999278,5.484561091014284,6.190346016215524,0.0,69.69762946005459,88,199,87,5,0.4
tokyo,run1,1463,tokyo/run1@1463,height_release_1m,200,5.578526886414439,23.45414877245716,420.4362415026767,4.5,9,1.8985965118733568,0.7560297327974588,5.484562004002919,6.1903461256007715,0.0,69.69762946005459,88,199,87,5,1.0
tokyo,run2,808,tokyo/run2@808,height_release_0.4m,200,0.0,0.0,284.14402457882227,0.0,0,14.452579931535654,4.359702124845475,34.01906853240183,45.19586487358606,0.0,54.66877976358277,35,88,9,1,0.4
tokyo,run2,808,tokyo/run2@808,height_release_1m,200,0.0,0.0,284.14402457882227,0.0,0,14.341648720571868,4.40358892119939,34.024708455007385,45.19586487358606,0.0,54.66877976358277,35,79,0,1,1.0
tokyo,run3,774,tokyo/run3@774,height_release_0.4m,200,0.0,0.0,173.55326816380352,33.0,66,10.904818260533375,2.8295874308103794,25.912748447469877,39.63734735813589,0.0,60.868728569199135,14,158,100,0,0.4
tokyo,run3,774,tokyo/run3@774,height_release_1m,200,0.0,0.0,173.55326816380352,20.5,41,10.909830119844889,2.8295874308103794,25.912748447469877,39.63734735813589,0.0,60.868728569199135,14,150,87,0,1.0
nagoya,run1,0,nagoya/run1@0,height_release_0.4m,200,0.0,0.0,0.007828427283719672,0.5,1,0.6412475800134981,0.64561522241035,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,196,0,0.4
nagoya,run1,0,nagoya/run1@0,height_release_1m,200,0.0,0.0,0.007828427283719672,0.5,1,0.6412475800134981,0.64561522241035,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,196,0,1.0
nagoya,run2,983,nagoya/run2@983,height_release_0.4m,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.5298376798971716,0.35753801645708794,1.526557416970533,1.644941039410626,0.0,71.17289177277253,152,200,189,0,0.4
nagoya,run2,983,nagoya/run2@983,height_release_1m,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.529837673091681,0.35753801645708794,1.5265574189158135,1.6449410310886294,0.0,71.17289177277253,152,200,189,0,1.0
nagoya,run3,235,nagoya/run3@235,height_release_0.4m,200,0.0,0.0,338.29818085480457,0.0,0,2.5242667408129393,2.6074647279289564,3.417083426079657,3.7905100775578795,0.0,59.791073504314824,56,199,114,1,0.4
nagoya,run3,235,nagoya/run3@235,height_release_1m,200,0.0,0.0,338.29818085480457,0.0,0,2.5242667448413214,2.6074647315168744,3.417083426079657,3.7905100775578795,0.0,59.791073504314824,56,199,114,1,1.0
