run,config,common_epochs,rms_2d,p95,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,time_ms_per_epoch_full_run
Odaiba,G,10805,96.23513193054025,165.7422861676114,13.919481721425267,0.2406293382693198,412.0,41.09999895095825,0.01057688403484717
Odaiba,"G,E,J",10805,1154.1618417652187,106.13771093488769,5.349375289217955,0.36094400740397964,216.0,21.5,0.025550605677225228
Shinjuku,G,16139,102.25756548287185,181.01696648298352,13.575810149327715,0.29741619679038356,246.0,24.5,0.010034059669241178
Shinjuku,"G,E,J",16139,1530.68509165045,98.03150207084774,4.157630584298904,0.5948323935807671,61.0,6.0,0.02489270074624013
