method,rms_2d,mean_2d,p50,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,time_ms,backend,building_source,n_epochs
WLS,29.080828,25.291632,23.078515,45.805155,66.749425,0.000000,0.000000,0.000000,0.000000,0.064647,-,synthetic,20
EKF,21.902235,19.567129,17.047167,33.037202,36.169373,0.000000,0.000000,0.000000,0.000000,0.057122,-,synthetic,20
PF-1K,20.290671,19.405918,18.161123,28.062229,34.956609,0.000000,0.000000,0.000000,0.000000,14.120600,GPU,synthetic,20
PF3D-1K,39.458373,37.715309,33.441829,55.870563,58.116828,0.000000,0.000000,0.000000,0.000000,2.604950,GPU-3D,synthetic,20
PF3D-BVH-1K,39.458373,37.715309,33.441829,55.870563,58.116828,0.000000,0.000000,0.000000,0.000000,2.955830,GPU-3D-BVH,synthetic,20
