city,run,requested_epochs,evaluated_epochs,coverage,recurrence_abstained_epochs,recurrence_acceptance_rate,baseline_p50_m,baseline_p95_m,baseline_p99_m,selected_p50_m,selected_p95_m,selected_p99_m,selected_pass_0_5m,selected_pass_1m,selected_pass_3m,improved_epochs,worsened_epochs,runtime_s,runtime_ms_per_evaluated_epoch,honest_ppc_score_pct,pass_distance_m,total_distance_m,baseline_honest_ppc_score_pct,baseline_pass_distance_m,evaluation_role,recurrence_mode,recurrence_min_selected_probability,recurrence_max_source_error_m,recurrence_allow_boundary
tokyo,run1,11951,7397,0.6189440214208016,7397,0.0,0.6039389621092675,53.072604273270386,79.60841580266657,0.6039389621092675,53.072604273270386,79.60841580266657,0.4093551439772881,0.6959578207381371,0.7807219142895768,0,0,4437.902196100913,599.9597399081943,22.042128340502405,2274.294436888324,10317.943901584624,22.042128340502405,2274.294436888324,development,safe_gated,0.05,20.0,False
tokyo,run2,9151,6466,0.7065894437766365,6466,0.0,0.49603068706597575,4.277813651457682,55.20549572256969,0.49603068706597575,4.277813651457682,55.20549572256969,0.5109805134549954,0.8119393751933189,0.9254562326012991,0,0,3651.215450699907,564.6791603309475,40.32257991194789,2884.9445828753983,7154.662695629173,40.32257991194789,2884.9445828753983,holdout,safe_gated,0.05,20.0,False
tokyo,run3,15301,12833,0.8387033527220443,12833,0.0,0.4867148347391309,13.659110264744326,23.249891545906475,0.4867148347391309,13.659110264744326,23.249891545906475,0.5210784695706382,0.7238369827787735,0.897296033663212,0,0,8663.161788300611,675.0691021819225,40.106487566433074,6546.909208066959,16323.81593432371,40.106487566433074,6546.909208066959,holdout,safe_gated,0.05,20.0,False
nagoya,run1,7651,4703,0.6146908900797281,4703,0.0,0.5383892831569104,72.76534138396183,168.5969937971226,0.5383892831569104,72.76534138396183,168.5969937971226,0.463108654050606,0.7176270465660217,0.8449925579417393,0,0,1781.0556470998563,378.70628260681616,26.13946499250569,1166.109533637692,4461.107118956035,26.13946499250569,1166.109533637692,development,safe_gated,0.05,20.0,False
nagoya,run2,9451,4853,0.5134906359115438,4853,0.0,0.5591677208349183,79.39544137795842,162.57547605992005,0.5591677208349183,79.39544137795842,162.57547605992005,0.4129404492066763,0.6674222130640841,0.7430455388419535,0,0,1967.1542791011743,405.34808965612496,13.484354643782023,639.3177924894914,4741.181979994103,13.484354643782023,639.3177924894914,holdout,safe_gated,0.05,20.0,False
nagoya,run3,5201,2497,0.48009998077292826,2497,0.0,1.9659321375038379,72.50302989792732,102.82224822206712,1.9659321375038379,72.50302989792732,102.82224822206712,0.05887064477372848,0.3319983980776932,0.6107328794553464,0,0,746.9991469001397,299.1586491390227,5.121610698478887,170.4453729054326,3327.9642467955387,5.121610698478887,170.4453729054326,holdout,safe_gated,0.05,20.0,False
