phase,run,min_dd_pairs,min_ess_ratio,max_doppler_residual,forward_p50,forward_rms_2d,smoothed_p50,smoothed_rms_2d,n_epochs,n_doppler_kf_used,n_doppler_kf_skip,n_doppler_kf_gate_skip,elapsed_s,source
phase3_residual,Odaiba,0,0.0,inf,1.268197522445159,4.979668303487978,1.2087906650830638,4.292273329169735,12228,12252,0,0,971.1754556330852,phase2_reuse
phase3_residual,Odaiba,0,0.0,5.0,1.268197522445159,4.979668303487978,1.2087906650830638,4.292273329169735,12228,12252,0,0,199.80405159317888,full_run
phase3_residual,Odaiba,0,0.0,3.0,1.2714783307222959,5.002037844197652,1.2703855385451297,4.357658685584504,12228,12250,2,2,200.39699399494566,full_run
phase3_residual,Odaiba,0,0.0,1.5,1.2801270935979203,5.087623985854142,1.4155747287921154,4.435208949459035,12228,12103,149,149,198.39887910801917,full_run
