model,windows,actual_fix_rate_pct,pred_fix_rate_pct,aggregate_error_pp,window_mae_pp,window_weighted_mae_pp,window_rmse_pp,epoch_weighted_rmse_pp,run_mae_pp,run_max_abs_pp,r2_window,corr_window,under_20pp_count,over_20pp_count,residual_model,alpha,residual_clip_pp,selection_max_run_mae_pp,selection_max_abs_aggregate_error_pp
ridge_alpha0.75_clip50pp,197,17.899032007348264,16.793417850829698,-1.1056141565185666,17.51284306617143,17.885770440038684,25.786042155795663,26.208269675975863,4.794742811069885,12.566311275772032,0.19785679952571122,0.45904879368704976,28,30,ridge,0.75,50.0,,
base,197,17.899032007348264,16.240535208462898,-1.6584967988853672,17.800650818973324,18.046394941974526,26.527112626306064,26.860834643903324,4.435719198894998,9.43566591422122,0.1510883524806308,0.40135730810657727,30,23,base,0.0,0.0,4.5,2.0
extra_trees_alpha0.75_clip50pp,197,17.899032007348264,16.961644345747377,-0.9373876616008886,18.427578560159276,18.69810188702718,26.964186363105146,27.323022560026597,5.385414443103663,10.952450132959566,0.12288372387485957,0.377705736079767,32,27,extra_trees,0.75,50.0,,
