method,n_epochs,time_ms_per_epoch,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_threshold_m,ppc_n_epochs,ppc_fallback_epoch_weighted,rms_2d,p50,p95,max_2d,tdcp_used_epochs,tdcp_use_rate_pct,tdcp_velocity_rmse_mps,tdcp_postfit_rms_median,dd_pr_anchor_epochs,dd_pr_anchor_rate_pct,dd_anchor_blend_alpha
WLS,200,0.08700175094418228,0.0,0.0,467.3072500703322,0.0,0.5,200,False,71.75651274879675,70.21844762431549,88.69452643067672,102.97263315302348,,,,,,,
TDCP + DD-PR anchors,200,,8.00300670478413,37.39863055507103,467.3072500703322,8.0,0.5,200,False,1.6016700993583242,0.7123372631882213,3.483672296460421,4.726615320324246,109,54.77386934673367,0.4758246241084087,0.0040169226391826825,200,100.0,0.4
