label,group,value,n_epochs,ppc_pass_epochs,ppc_epoch_pass_pct,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,median_dd_shift_m,median_dd_robust_rms_m
tokyo_run1_default,tdcp_used,true,109,73,66.97247706422019,0.5860390926521786,0.3797157285498212,1.6656535802407686,1.7304887314379302,0.5224546843924839
tokyo_run1_default,tdcp_used,false,91,62,68.13186813186813,0.4909093511653651,0.34835863808838047,1.174202366944376,1.3088351126020215,0.5565625931786224
tokyo_run1_default,last_velocity_used,true,87,61,70.11494252873563,0.47353144886403836,0.30704864568908335,1.076615980021296,1.296949377773088,0.5573537601065519
tokyo_run1_default,last_velocity_used,false,113,74,65.48672566371681,0.5960511150793305,0.38152645465383034,1.6441816593075844,1.6916737375322402,0.5170884803991587
tokyo_run1_default,dd_pr_anchor_used,true,200,135,67.5,0.5427550602756784,0.3731361185822114,1.49731947953852,1.4941368970590054,0.5374807823077423
tokyo_run1_default,dd_pr_anchor_used,false,0,0,0.0,nan,nan,nan,nan,nan
tokyo_run1_default,high_dd_blend,true,0,0,0.0,nan,nan,nan,nan,nan
tokyo_run1_default,high_dd_blend,false,200,135,67.5,0.5427550602756784,0.3731361185822114,1.49731947953852,1.4941368970590054,0.5374807823077423
tokyo_run1_default,widelane_anchor_used,true,77,76,98.7012987012987,0.30534005098246,0.2554874778481151,0.43055453326606924,1.9480445725083637,0.5231164294389753
tokyo_run1_default,widelane_anchor_used,false,123,59,47.96747967479675,0.6913807164998883,0.5374779418505984,1.5966158336668619,1.1875796998685035,0.553091765694463
tokyo_run1_default,rsp_correction_used,true,18,16,88.88888888888889,0.37601526153026393,0.32698345208417606,0.6352283776497691,1.180737063247876,0.5502136517351264
tokyo_run1_default,rsp_correction_used,false,182,119,65.38461538461539,0.559245809602148,0.37400173015998434,1.5207352809463268,1.6016329119084958,0.5346076022512856
tokyo_run1_default,height_released,true,86,60,69.76744186046511,0.4737075183885309,0.30543540113388257,1.0772986659296089,1.3028922451875546,0.5586759482918715
tokyo_run1_default,height_released,false,114,75,65.78947368421052,0.5948435567870353,0.3845045660574188,1.6388136790742887,1.681513204375372,0.5193406003769281
tokyo_run1_shift3_anydd,tdcp_used,true,109,47,43.11926605504587,0.7311699877153156,0.6265958659907482,1.8006350879356467,1.1277968718441524,0.5224546849027265
tokyo_run1_shift3_anydd,tdcp_used,false,91,61,67.03296703296704,0.5038861611562443,0.3483505024438349,1.5377331275726251,1.2121808025137881,0.5565625943142567
tokyo_run1_shift3_anydd,last_velocity_used,true,87,60,68.96551724137932,0.4866472051527865,0.3069812639985096,1.476886158126233,1.206453401383786,0.5573537604193164
tokyo_run1_shift3_anydd,last_velocity_used,false,113,48,42.47787610619469,0.7363970130787187,0.6281859473373844,1.7780967236572534,1.2073189473635337,0.517088479703271
tokyo_run1_shift3_anydd,dd_pr_anchor_used,true,200,108,54.0,0.6277558466309382,0.4244792430512405,1.734669932272395,1.2068861743736599,0.5374807834093194
tokyo_run1_shift3_anydd,dd_pr_anchor_used,false,0,0,0.0,nan,nan,nan,nan,nan
tokyo_run1_shift3_anydd,high_dd_blend,true,12,12,100.0,0.23679267774690574,0.23409828168992586,0.27221395058445486,3.673519630217241,0.4763300277189974
tokyo_run1_shift3_anydd,high_dd_blend,false,188,96,51.06382978723404,0.652710942517153,0.4925872369450014,1.7544691783355262,1.1272925518427253,0.5393994719551647
tokyo_run1_shift3_anydd,widelane_anchor_used,true,77,76,98.7012987012987,0.26868824878595243,0.2290565724754941,0.2945075011227585,1.9622181670444778,0.523116428103028
tokyo_run1_shift3_anydd,widelane_anchor_used,false,123,32,26.016260162601625,0.8525380013794254,0.7086668396811474,1.8800186940207437,0.8500250955758438,0.5530917677645971
tokyo_run1_shift3_anydd,rsp_correction_used,true,0,0,0.0,nan,nan,nan,nan,nan
tokyo_run1_shift3_anydd,rsp_correction_used,false,200,108,54.0,0.6277558466309382,0.4244792430512405,1.734669932272395,1.2068861743736599,0.5374807834093194
tokyo_run1_shift3_anydd,height_released,true,187,104,55.61497326203209,0.6231975864763658,0.40097133368455995,1.7561191155074531,1.25544408780109,0.5381011325737587
tokyo_run1_shift3_anydd,height_released,false,13,4,30.76923076923077,0.6933246657774803,0.6212599247977969,1.2829811871126604,0.3294235371519752,0.5253587567384139
tokyo_run2_shift3_height,tdcp_used,true,35,0,0.0,29.943554141499057,30.30584117768667,31.850889395698758,23.330596414215627,0.7099897859159257
tokyo_run2_shift3_height,tdcp_used,false,165,1,0.6060606060606061,14.644795766906398,10.12174547874623,31.78026049127226,8.510554944888042,0.7071067811865476
tokyo_run2_shift3_height,last_velocity_used,true,142,1,0.704225352112676,11.592463965032415,8.825316386951613,30.385303691913442,6.1365564041537155,0.6886426441931864
