epoch,error_2d,error_3d,est_x,est_y,est_z,gt_x,gt_y,gt_z
49,54.205985,56.346796,-3961783.782904,3348954.943252,3698314.572380,-3961767.630000,3349008.712000,3698309.780000
50,54.296506,56.063814,-3961784.713391,3348955.612318,3698315.413180,-3961767.630000,3349008.712000,3698309.780000
51,54.347625,55.892535,-3961785.285995,3348956.045587,3698315.984050,-3961767.630000,3349008.712000,3698309.780000
52,54.225159,55.854757,-3961785.053668,3348955.976216,3698315.705100,-3961767.630000,3349008.712000,3698309.780000
53,54.337816,55.915510,-3961785.180862,3348955.978448,3698315.918728,-3961767.630000,3349008.712000,3698309.780000
54,54.082372,55.669719,-3961785.247729,3348956.226053,3698315.607399,-3961767.630000,3349008.712000,3698309.780000
55,54.209590,55.746537,-3961785.293645,3348956.196394,3698315.926797,-3961767.630000,3349008.712000,3698309.780000
56,54.203546,55.890178,-3961784.903974,3348955.873127,3698315.557142,-3961767.630000,3349008.712000,3698309.780000
57,54.338309,55.914853,-3961785.143253,3348955.972873,3698315.972026,-3961767.630000,3349008.712000,3698309.780000
58,54.762179,56.178232,-3961785.568423,3348955.924643,3698316.677988,-3961767.630000,3349008.713000,3698309.779000
59,54.851170,56.247511,-3961785.558846,3348955.875021,3698316.867529,-3961767.630000,3349008.715000,3698309.777000
60,54.838612,56.313593,-3961785.337334,3348955.705911,3698316.656422,-3961767.629000,3349008.718000,3698309.775000
61,54.456171,56.372856,-3961784.295334,3348955.151880,3698315.225442,-3961767.617000,3349008.725000,3698309.780000
62,54.789011,56.515002,-3961784.640345,3348955.215749,3698316.026443,-3961767.594000,3349008.737000,3698309.794000
63,55.636864,57.003018,-3961785.437914,3348955.201410,3698317.685923,-3961767.560000,3349008.753000,3698309.815000
64,56.095975,57.748621,-3961784.875915,3348954.160193,3698316.969914,-3961767.513000,3349008.774000,3698309.845000
65,56.095005,57.985769,-3961784.420280,3348953.710705,3698316.195081,-3961767.456000,3349008.799000,3698309.883000
66,55.887705,58.822062,-3961782.388287,3348952.066029,3698313.556462,-3961767.386000,3349008.827000,3698309.929000
67,65.483644,71.564379,-3961779.218406,3348938.304321,3698311.262571,-3961767.308000,3349008.859000,3698309.982000
68,55.622576,60.402121,-3961779.145272,3348949.681476,3698310.225816,-3961767.218000,3349008.894000,3698310.043000
69,54.935200,60.236654,-3961777.987247,3348949.687511,3698309.459130,-3961767.119000,3349008.932000,3698310.112000
70,54.539219,59.780739,-3961778.080790,3348950.230816,3698309.263388,-3961767.009000,3349008.970000,3698310.191000
71,54.687462,59.827679,-3961778.107117,3348950.243318,3698309.593085,-3961766.890000,3349009.006000,3698310.282000
72,54.883613,59.876011,-3961778.162204,3348950.266501,3698310.069392,-3961766.765000,3349009.047000,3698310.375000
73,55.604498,60.332341,-3961778.695551,3348949.974709,3698310.657670,-3961766.630000,3349009.088000,3698310.477000
74,56.185412,60.341496,-3961779.744435,3348950.278049,3698311.671853,-3961766.477000,3349009.133000,3698310.592000
75,55.834846,60.102809,-3961779.065994,3348950.458218,3698311.812752,-3961766.297000,3349009.179000,3698310.731000
76,55.297739,60.040137,-3961777.630215,3348950.300111,3698311.514285,-3961766.092000,3349009.218000,3698310.906000
77,55.032225,60.455626,-3961776.385345,3348949.743245,3698310.534275,-3961765.861000,3349009.273000,3698311.108000
78,54.874598,60.546416,-3961775.576816,3348949.623388,3698310.546964,-3961765.600000,3349009.337000,3698311.332000
79,55.142590,60.436368,-3961775.701765,3348949.864961,3698311.649245,-3961765.309000,3349009.401000,3698311.578000
80,54.881380,59.984624,-3961775.643535,3348950.442968,3698312.096804,-3961764.993000,3349009.474000,3698311.855000
81,54.584700,59.368586,-3961775.717254,3348951.228227,3698312.789807,-3961764.658000,3349009.554000,3698312.137000
82,53.883395,58.718012,-3961775.479325,3348951.999083,3698312.372680,-3961764.305000,3349009.644000,3698312.427000
83,53.409504,58.252434,-3961775.364434,3348952.623448,3698312.067290,-3961763.941000,3349009.741000,3698312.728000
84,52.660003,57.477890,-3961775.099770,3348953.548221,3698311.883601,-3961763.551000,3349009.842000,3698313.043000
85,52.386579,56.924450,-3961774.997196,3348954.274509,3698312.652083,-3961763.138000,3349009.945000,3698313.393000
86,51.976728,56.721685,-3961774.300332,3348954.531752,3698312.420631,-3961762.701000,3349010.038000,3698313.785000
87,51.634547,56.881335,-3961772.994788,3348954.324506,3698312.034003,-3961762.236000,3349010.137000,3698314.202000
88,51.199977,56.018799,-3961773.362952,3348955.486782,3698312.550664,-3961761.742000,3349010.247000,3698314.643000
89,51.148112,56.367938,-3961772.185526,3348955.136262,3698312.487632,-3961761.219000,3349010.365000,3698315.108000
90,51.218343,56.248062,-3961771.821058,3348955.394532,3698313.388792,-3961760.663000,3349010.481000,3698315.585000
91,45.939556,47.125458,-3961798.201851,3348983.010427,3698318.379437,-3961760.084000,3349010.625000,3698316.083000
92,46.076623,47.186792,-3961797.486634,3348982.871240,3698318.712654,-3961759.492000,3349010.773000,3698316.593000
93,46.199492,47.007479,-3961796.006346,3348982.094393,3698318.432920,-3961758.898000,3349010.920000,3698317.107000
94,46.171552,46.602591,-3961793.990537,3348981.086485,3698317.446785,-3961758.303000,3349011.056000,3698317.618000
95,46.163615,46.542966,-3961793.091402,3348980.954170,3698317.844170,-3961757.710000,3349011.192000,3698318.123000
96,46.012836,46.388382,-3961792.514418,3348981.350805,3698318.038896,-3961757.119000,3349011.329000,3698318.634000
97,52.335784,59.669032,-3961764.689683,3348952.557186,3698314.289700,-3961756.527000,3349011.466000,3698319.139000
98,52.401466,59.749324,-3961764.270641,3348952.663769,3698314.563271,-3961755.934000,3349011.610000,3698319.645000
99,52.782290,59.936484,-3961764.033585,3348952.650694,3698315.352110,-3961755.332000,3349011.758000,3698320.147000
100,52.383052,59.574302,-3961763.277118,3348953.162537,3698315.735647,-3961754.735000,3349011.917000,3698320.639000
101,52.585929,59.310173,-3961763.527023,3348953.690545,3698316.615596,-3961754.132000,3349012.077000,3698321.138000
102,62.151757,70.427647,-3961762.872969,3348942.554328,3698317.545708,-3961753.521000,3349012.239000,3698321.625000
103,52.373111,58.162410,-3961764.083084,3348955.490629,3698318.070874,-3961752.920000,3349012.428000,3698322.119000
104,46.728030,47.007556,-3961787.614917,3348981.581702,3698321.733892,-3961752.316000,3349012.613000,3698322.603000
105,46.467778,46.746565,-3961786.952033,3348982.104896,3698321.924340,-3961751.712000,3349012.798000,3698323.071000
106,46.651824,46.889243,-3961786.243941,3348981.969436,3698322.139165,-3961751.112000,3349012.992000,3698323.535000
107,54.863345,57.240776,-3961771.747411,3348960.098972,3698321.144733,-3961750.515000,3349013.180000,3698323.990000
108,46.280250,46.501876,-3961784.694160,3348982.510384,3698322.975584,-3961749.932000,3349013.363000,3698324.436000
109,46.142427,46.294435,-3961783.424217,3348982.224588,3698323.236495,-3961749.373000,3349013.546000,3698324.867000
110,46.003869,46.075489,-3961782.172572,3348982.012744,3698322.731666,-3961748.839000,3349013.720000,3698325.276000
111,55.698191,59.142619,-3961767.500357,3348958.105092,3698321.339269,-3961748.331000,3349013.887000,3698325.671000
112,46.124591,46.153681,-3961780.664058,3348981.732941,3698322.990379,-3961747.844000,3349014.039000,3698326.044000
113,46.195462,46.235007,-3961780.437802,3348982.003895,3698323.454104,-3961747.380000,3349014.194000,3698326.396000
114,46.504179,46.525315,-3961779.809680,3348981.543404,3698323.663849,-3961746.946000,3349014.333000,3698326.734000
115,57.013587,61.246138,-3961764.342428,3348956.059976,3698322.275944,-3961746.543000,3349014.468000,3698327.048000
116,57.545152,62.053377,-3961763.593939,3348955.242405,3698322.357254,-3961746.173000,3349014.592000,3698327.333000
117,58.238194,62.854652,-3961763.251213,3348954.510021,3698322.654839,-3961745.832000,3349014.700000,3698327.599000
118,58.506058,63.132304,-3961762.924366,3348954.313593,3698323.043908,-3961745.519000,3349014.810000,3698327.832000
119,58.266909,62.733707,-3961762.815453,3348954.848631,3698323.494137,-3961745.242000,3349014.898000,3698328.051000
120,58.875918,63.659859,-3961762.014242,3348953.807960,3698323.633887,-3961744.995000,3349014.977000,3698328.246000
121,59.874891,65.237789,-3961760.903124,3348952.025500,3698323.521537,-3961744.777000,3349015.049000,3698328.416000
122,47.329364,47.353697,-3961777.968416,3348981.649111,3698325.743581,-3961744.583000,3349015.113000,3698328.564000
123,47.300607,47.300721,-3961776.350341,3348980.401798,3698325.808197,-3961744.412000,3349015.172000,3698328.695000
124,46.761933,46.786984,-3961774.752238,3348979.888823,3698325.524803,-3961744.262000,3349015.224000,3698328.810000
125,45.887149,45.889501,-3961775.022511,3348981.501589,3698325.614830,-3961744.125000,3349015.270000,3698328.914000
126,46.762123,46.770606,-3961775.122012,3348980.572630,3698325.608864,-3961743.992000,3349015.312000,3698329.013000
127,47.247070,47.247728,-3961775.854488,3348980.751990,3698325.762500,-3961743.859000,3349015.356000,3698329.109000
128,47.114430,47.158880,-3961777.645239,3348982.776188,3698325.972887,-3961743.740000,3349015.395000,3698329.199000
129,47.708177,47.723235,-3961777.183140,3348981.582009,3698326.091457,-3961743.679000,3349015.420000,3698329.249000
130,48.099947,48.103706,-3961776.879044,3348980.822575,3698326.072637,-3961743.631000,3349015.438000,3698329.283000
131,58.830420,63.400443,-3961761.493625,3348954.839392,3698324.249404,-3961743.595000,3349015.450000,3698329.310000
132,58.654551,63.190359,-3961761.676842,3348955.156807,3698323.983970,-3961743.567000,3349015.460000,3698329.330000
133,58.272099,62.534746,-3961762.251112,3348956.043542,3698323.975190,-3961743.538000,3349015.470000,3698329.352000
134,58.568499,62.978692,-3961762.039273,3348955.547026,3698323.855761,-3961743.502000,3349015.482000,3698329.377000
135,59.691514,64.466952,-3961761.589375,3348953.894895,3698323.768574,-3961743.453000,3349015.500000,3698329.414000
136,60.258039,65.263466,-3961761.192741,3348952.997161,3698323.769241,-3961743.379000,3349015.523000,3698329.471000
137,55.003346,59.899626,-3961759.300193,3348958.174018,3698323.434628,-3961743.263000,3349015.561000,3698329.559000
138,50.295430,50.583583,-3961772.819158,3348974.888683,3698325.449544,-3961743.113000,3349015.612000,3698329.675000
139,55.720323,61.178042,-3961757.896049,3348956.641779,3698323.681757,-3961742.981000,3349015.659000,3698329.786000
140,55.703060,60.918418,-3961758.261393,3348957.081770,3698323.924603,-3961742.835000,3349015.711000,3698329.899000
141,70.101898,73.325305,-3961772.040579,3348949.056600,3698321.901291,-3961742.686000,3349015.758000,3698330.015000
142,56.117106,60.751161,-3961759.218716,3348957.636041,3698324.791127,-3961742.533000,3349015.806000,3698330.134000
143,55.890409,61.008289,-3961757.637166,3348957.026604,3698324.979309,-3961742.371000,3349015.858000,3698330.254000
144,55.466939,61.171840,-3961756.012060,3348956.575482,3698324.821390,-3961742.206000,3349015.909000,3698330.382000
145,55.735450,62.092073,-3961754.697373,3348955.475832,3698324.507658,-3961742.034000,3349015.966000,3698330.508000
146,55.284038,61.754974,-3961754.320028,3348955.872136,3698324.289374,-3961741.858000,3349016.022000,3698330.643000
147,54.493730,60.317272,-3961755.347582,3348957.677804,3698324.447150,-3961741.692000,3349016.086000,3698330.786000
148,54.682424,60.335685,-3961755.850195,3348957.915329,3698324.418931,-3961741.569000,3349016.172000,3698330.946000
149,54.254261,59.882215,-3961755.588958,3348958.404246,3698324.515754,-3961741.427000,3349016.220000,3698331.047000
150,54.289363,59.652402,-3961755.968920,3348958.790297,3698324.774999,-3961741.256000,3349016.248000,3698331.143000
151,53.857935,59.147375,-3961755.923695,3348959.409341,3698324.660101,-3961741.063000,3349016.279000,3698331.249000
152,53.288122,58.329530,-3961756.014752,3348960.389165,3698324.984269,-3961740.895000,3349016.357000,3698331.413000
153,52.348686,57.245265,-3961755.642520,3348961.500134,3698325.327512,-3961740.713000,3349016.413000,3698331.549000
154,52.455563,57.279115,-3961755.589446,3348961.542504,3698325.633401,-3961740.535000,3349016.474000,3698331.699000
155,52.103327,56.561773,-3961756.162972,3348962.561100,3698325.823401,-3961740.357000,3349016.535000,3698331.842000
156,52.376223,57.043021,-3961755.591916,3348962.005519,3698325.934890,-3961740.179000,3349016.592000,3698331.990000
157,51.783942,56.186023,-3961755.788008,3348963.064613,3698326.152262,-3961740.001000,3349016.654000,3698332.137000
158,47.255406,47.255409,-3961772.256282,3348982.565581,3698328.516290,-3961739.813000,3349016.716000,3698332.292000
159,47.421463,47.423755,-3961771.700174,3348982.059301,3698328.749557,-3961739.613000,3349016.782000,3698332.459000
160,47.836811,47.842230,-3961771.449784,3348981.514862,3698329.086412,-3961739.395000,3349016.852000,3698332.644000
161,47.900381,47.900388,-3961771.738017,3348981.963354,3698329.578310,-3961739.157000,3349016.924000,3698332.846000
162,48.328607,48.332956,-3961771.113644,3348981.085008,3698329.979272,-3961738.910000,3349016.995000,3698333.057000
163,48.419539,48.430701,-3961770.544569,3348980.723097,3698330.249294,-3961738.664000,3349017.055000,3698333.275000
164,48.382025,48.388189,-3961770.534953,3348981.041524,3698330.450704,-3961738.423000,3349017.110000,3698333.501000
165,48.005432,48.009335,-3961770.301985,3348981.624868,3698330.460443,-3961738.182000,3349017.157000,3698333.727000
166,48.153140,48.171362,-3961769.562799,3348981.015076,3698330.581008,-3961737.935000,3349017.191000,3698333.967000
167,47.937583,47.962384,-3961768.932116,3348980.985365,3698330.910284,-3961737.675000,3349017.212000,3698334.229000
168,47.736964,47.756406,-3961768.536230,3348981.136474,3698331.518866,-3961737.405000,3349017.227000,3698334.518000
169,47.884860,47.908335,-3961768.152599,3348980.835293,3698331.972119,-3961737.123000,3349017.225000,3698334.829000
170,47.793318,47.806780,-3961768.121090,3348981.164284,3698332.346794,-3961736.836000,3349017.203000,3698335.165000
171,47.726801,47.735929,-3961767.913544,3348981.280360,3698332.819407,-3961736.546000,3349017.162000,3698335.522000
172,48.010302,48.037018,-3961767.179041,3348980.438003,3698333.221929,-3961736.256000,3349017.101000,3698335.895000
173,47.736781,47.739879,-3961767.586394,3348981.336781,3698333.805217,-3961735.969000,3349017.020000,3698336.284000
174,52.477495,56.844262,-3961750.771363,3348962.288959,3698332.305743,-3961735.685000,3349016.919000,3698336.691000
175,52.475153,56.666176,-3961750.821588,3348962.437841,3698332.921682,-3961735.397000,3349016.803000,3698337.113000
176,52.788809,56.895777,-3961750.923971,3348962.163512,3698333.344628,-3961735.118000,3349016.658000,3698337.546000
177,54.128026,58.895349,-3961749.789186,3348959.734579,3698333.333934,-3961734.834000,3349016.509000,3698337.989000
178,54.499098,59.825638,-3961748.410996,3348958.355693,3698333.533068,-3961734.547000,3349016.345000,3698338.446000
179,54.496269,60.056019,-3961747.761519,3348957.904221,3698333.679634,-3961734.250000,3349016.186000,3698338.914000
180,54.893600,60.526195,-3961747.677020,3348957.339249,3698333.833121,-3961733.945000,3349016.025000,3698339.386000
181,55.408303,61.408033,-3961746.629599,3348956.090739,3698334.401678,-3961733.634000,3349015.858000,3698339.873000
182,55.009890,60.791235,-3961746.471288,3348956.562477,3698335.186858,-3961733.317000,3349015.686000,3698340.378000
183,54.694832,60.431185,-3961746.089435,3348956.743542,3698335.728666,-3961732.985000,3349015.511000,3698340.885000
184,65.192650,68.489910,-3961758.946013,3348952.539101,3698333.909341,-3961732.655000,3349015.336000,3698341.406000
185,53.678592,59.730283,-3961744.541757,3348956.965425,3698336.340912,-3961732.324000,3349015.166000,3698341.920000
186,53.377762,59.465966,-3961744.019811,3348957.031101,3698336.806840,-3961731.986000,3349014.995000,3698342.426000
187,59.446286,59.928205,-3961763.463871,3348964.050800,3698341.747252,-3961731.651000,3349014.824000,3698342.936000
188,67.317708,67.817344,-3961769.700933,3348958.956244,3698338.600542,-3961731.313000,3349014.653000,3698343.441000
189,59.719457,60.163782,-3961763.427320,3348963.848585,3698342.446660,-3961730.976000,3349014.488000,3698343.944000
190,59.082797,59.595860,-3961762.113687,3348963.736789,3698343.076154,-3961730.641000,3349014.326000,3698344.443000
191,59.497822,60.074096,-3961761.730920,3348963.000764,3698343.286630,-3961730.302000,3349014.171000,3698344.938000
192,59.897818,60.522269,-3961761.529582,3348962.417516,3698343.386835,-3961729.966000,3349014.017000,3698345.431000
193,59.701002,60.258338,-3961761.538690,3348962.799972,3698343.880622,-3961729.627000,3349013.874000,3698345.919000
194,59.831137,60.445192,-3961761.028965,3348962.339898,3698344.125899,-3961729.293000,3349013.733000,3698346.406000
195,70.026786,71.802765,-3961759.719995,3348948.735582,3698345.274926,-3961728.960000,3349013.596000,3698346.883000
196,68.100629,70.013174,-3961757.782371,3348949.826334,3698345.696369,-3961728.628000,3349013.459000,3698347.355000
197,58.942264,59.799316,-3961758.044651,3348961.501991,3698345.489031,-3961728.298000,3349013.325000,3698347.828000
198,58.695836,59.547795,-3961757.443601,3348961.497244,3698346.225313,-3961727.967000,3349013.196000,3698348.301000
199,57.707512,58.409766,-3961757.144779,3348962.687776,3698347.212270,-3961727.639000,3349013.073000,3698348.774000
200,55.873022,56.382204,-3961757.045982,3348965.073174,3698347.700710,-3961727.309000,3349012.951000,3698349.243000
201,55.671382,56.089607,-3961757.259437,3348965.638630,3698348.216044,-3961726.981000,3349012.830000,3698349.711000
202,55.190991,55.565406,-3961757.021405,3348966.203479,3698348.648281,-3961726.653000,3349012.711000,3698350.173000
203,55.318124,55.665948,-3961756.815785,3348966.034015,3698349.413040,-3961726.327000,3349012.592000,3698350.632000
204,55.317324,55.655183,-3961756.563951,3348965.982020,3698349.885537,-3961726.001000,3349012.479000,3698351.084000
205,54.396183,54.644886,-3961756.669881,3348967.384674,3698350.080964,-3961725.673000,3349012.364000,3698351.536000
206,53.936505,54.138069,-3961756.505763,3348968.009532,3698350.617693,-3961725.332000,3349012.250000,3698351.999000
207,53.966084,54.078370,-3961757.073875,3348968.619776,3698351.497393,-3961724.980000,3349012.134000,3698352.480000
208,54.067559,54.125038,-3961757.590899,3348969.093215,3698352.224497,-3961724.621000,3349012.011000,3698352.979000
209,53.763295,53.814134,-3961757.117737,3348969.275212,3698352.829581,-3961724.254000,3349011.884000,3698353.483000
210,53.247498,53.286316,-3961756.692707,3348969.783785,3698353.337781,-3961723.870000,3349011.756000,3698353.997000
211,52.842141,52.873788,-3961756.242798,3348970.133741,3698353.843421,-3961723.475000,3349011.624000,3698354.527000
212,52.810830,52.821743,-3961756.547587,3348970.632500,3698354.366947,-3961723.079000,3349011.492000,3698355.068000
213,52.894051,52.901228,-3961756.376641,3348970.581144,3698354.951917,-3961722.683000,3349011.359000,3698355.619000
214,52.935305,52.941968,-3961756.150540,3348970.539931,3698355.275831,-3961722.278000,3349011.218000,3698356.169000
215,52.942634,52.947417,-3961755.802839,3348970.446741,3698355.923229,-3961721.855000,3349011.071000,3698356.725000
216,53.445458,53.476080,-3961754.759481,3348969.127160,3698356.327194,-3961721.425000,3349010.931000,3698357.298000
217,53.491152,53.505646,-3961754.994913,3348969.488691,3698356.700114,-3961720.990000,3349010.782000,3698357.876000
218,53.895938,53.898657,-3961755.200918,3348969.346428,3698357.783651,-3961720.551000,3349010.626000,3698358.451000
219,61.785426,62.028587,-3961754.887801,3348959.112401,3698358.816484,-3961720.116000,3349010.478000,3698359.023000
220,57.173726,57.183622,-3961756.019903,3348966.183349,3698358.804555,-3961719.681000,3349010.329000,3698359.587000
221,56.202034,56.203548,-3961756.037215,3348967.689030,3698359.937164,-3961719.251000,3349010.181000,3698360.151000
222,56.919233,56.948114,-3961757.256748,3348968.005322,3698360.734388,-3961718.827000,3349010.032000,3698360.713000
223,56.958118,56.974052,-3961756.484068,3348967.511432,3698361.183656,-3961718.404000,3349009.890000,3698361.273000
224,57.284146,57.304725,-3961756.523175,3348967.322301,3698361.612968,-3961717.986000,3349009.733000,3698361.837000
225,71.456187,71.456423,-3961765.926737,3348957.113169,3698358.459767,-3961717.571000,3349009.574000,3698362.410000
226,58.390465,58.391134,-3961755.480834,3348965.355338,3698362.327575,-3961717.174000,3349009.420000,3698362.973000
227,57.882131,57.882131,-3961754.697216,3348965.531105,3698362.504825,-3961716.778000,3349009.251000,3698363.527000
228,58.436105,58.437091,-3961754.831502,3348965.080675,3698363.293214,-3961716.374000,3349009.073000,3698364.061000
229,58.350350,58.357591,-3961754.778250,3348965.298282,3698364.115770,-3961715.979000,3349008.887000,3698364.616000
230,58.758971,58.778862,-3961755.169064,3348965.245284,3698364.800900,-3961715.600000,3349008.709000,3698365.187000
231,57.727799,57.784342,-3961754.937033,3348966.545553,3698365.655511,-3961715.233000,3349008.529000,3698365.756000
232,58.053063,58.083725,-3961754.471631,3348965.874847,3698365.599483,-3961714.860000,3349008.350000,3698366.306000
233,58.236774,58.261541,-3961754.208074,3348965.551271,3698365.825790,-3961714.489000,3349008.163000,3698366.847000
234,75.538985,75.556634,-3961766.896102,3348954.128614,3698362.476349,-3961714.124000,3349007.978000,3698367.391000
235,58.910533,58.910886,-3961752.881187,3348963.782847,3698366.248063,-3961713.766000,3349007.802000,3698367.924000
236,50.929441,54.861226,-3961729.984346,3348955.651409,3698362.598068,-3961713.423000,3349007.625000,3698368.448000
237,56.416781,56.422181,-3961749.532477,3348964.405625,3698367.549137,-3961713.075000,3349007.444000,3698368.968000
238,48.401544,52.639951,-3961727.289899,3348957.012686,3698363.708500,-3961712.735000,3349007.270000,3698369.481000
239,49.085740,52.946608,-3961728.366039,3348956.974141,3698364.074099,-3961712.406000,3349007.109000,3698370.000000
240,50.258468,53.196088,-3961731.030511,3348957.562914,3698364.888079,-3961712.089000,3349006.953000,3698370.515000
241,50.529160,53.384338,-3961731.308902,3348957.465195,3698365.030357,-3961711.769000,3349006.785000,3698371.000000
242,50.048921,53.088134,-3961730.424881,3348957.446636,3698365.176425,-3961711.456000,3349006.627000,3698371.487000
243,50.786683,54.110331,-3961729.918775,3348956.170335,3698365.204214,-3961711.144000,3349006.467000,3698371.963000
244,51.751866,54.862318,-3961730.537650,3348955.524322,3698365.916244,-3961710.834000,3349006.310000,3698372.432000
245,42.690503,58.437055,-3961704.987394,3348949.067828,3698361.703589,-3961710.524000,3349006.154000,3698372.902000
246,48.005545,48.077926,-3961741.489306,3348969.873696,3698368.067205,-3961710.207000,3349005.993000,3698373.387000
247,47.870910,47.920339,-3961741.545459,3348970.276487,3698368.433677,-3961709.879000,3349005.828000,3698373.882000
