method,rms_2d,mean_2d,p50,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,time_ms,backend,n_epochs
WLS,54.588227,54.334743,54.235820,65.476222,75.538985,0.000000,0.000000,0.000000,0.000000,0.023926,-,300
EKF,54.403291,54.194241,54.301625,62.343739,71.397092,0.000000,0.000000,0.000000,0.000000,0.075667,-,300
PF-10K,55.596256,55.560019,55.937865,58.085082,59.445298,0.000000,0.000000,0.000000,0.000000,1.946605,GPU,300
PF-100K,55.706363,55.672792,55.866120,58.728200,60.503715,0.000000,0.000000,0.000000,0.000000,6.454870,GPU,300
