epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
12,555919.000000,7,-3810130.732000,3567838.551000,3653033.126000,77.381922,-3810169.849675,3567782.723028,3653072.669591,77.325862,-3810169.102818,3567782.167574,3653072.106689,75.446326,-3810181.286810,3567791.247434,3653073.440843,73.927993,-3810176.071075,3567788.395147,3653068.895820
13,555919.199999,7,-3810130.308000,3567838.129000,3653033.973000,77.214966,-3810168.792794,3567782.220206,3653073.545942,77.211662,-3810168.176430,3567781.726571,3653073.113955,75.760271,-3810180.118614,3567789.749691,3653073.571842,74.345872,-3810173.395868,3567785.683816,3653068.372168
14,555919.399999,7,-3810129.890000,3567837.714000,3653034.801000,77.344511,-3810168.331035,3567781.710137,3653074.540889,77.307011,-3810167.599262,3567781.202320,3653074.104176,76.182514,-3810178.789063,3567788.134352,3653073.930174,74.799524,-3810173.160293,3567784.698886,3653068.902035
15,555919.600000,6,-3810129.483000,3567837.309000,3653035.613000,77.067822,-3810167.293051,3567781.207171,3653075.068281,76.955906,-3810166.449885,3567780.725628,3653074.605104,76.183605,-3810178.954341,3567787.992106,3653074.612948,74.492763,-3810172.342193,3567783.896259,3653068.356967
16,555919.800000,6,-3810129.094000,3567836.922000,3653036.393000,76.775291,-3810167.450270,3567781.862713,3653076.736621,76.509324,-3810165.646431,3567780.761553,3653075.532718,76.660651,-3810177.545362,3567785.880133,3653073.919912,74.409167,-3810170.448924,3567782.801434,3653069.178029
17,555920.000000,6,-3810128.722000,3567836.549000,3653037.137000,76.372975,-3810167.923619,3567783.025546,3653078.817287,75.978821,-3810165.245875,3567781.345709,3653076.933395,76.482944,-3810176.648184,3567785.473332,3653074.772297,74.861857,-3810170.291365,3567782.207217,3653070.434509
18,555920.199999,6,-3810128.366000,3567836.193000,3653037.845000,75.854438,-3810168.238830,3567784.315569,3653080.952529,75.403749,-3810165.095015,3567782.305126,3653078.682654,77.125069,-3810176.303946,3567784.442645,3653075.720103,74.468116,-3810169.246885,3567781.683486,3653070.480808
19,555920.399999,5,-3810128.026000,3567835.849000,3653038.527000,65.665503,-3810239.465497,3567868.239542,3653159.640280,66.708296,-3810172.749312,3567805.371706,3653096.697832,77.064758,-3810177.245096,3567785.694781,3653078.441523,73.738055,-3810168.752279,3567782.361254,3653071.702044
20,555920.600000,5,-3810127.705000,3567835.523000,3653039.176000,64.851823,-3810235.492631,3567867.064782,3653159.340858,63.349188,-3810184.364907,3567823.542333,3653113.856295,76.656266,-3810178.022224,3567786.827585,3653079.994289,72.925223,-3810168.940633,3567783.618361,3653073.140965
21,555920.800000,5,-3810127.397000,3567835.212000,3653039.793000,64.753464,-3810234.702753,3567866.564446,3653159.718176,62.596116,-3810196.736506,3567836.675284,3653127.653234,76.003002,-3810178.328785,3567787.793784,3653080.985997,72.910480,-3810167.742099,3567783.127552,3653074.398008
22,555921.000000,5,-3810127.107000,3567834.916000,3653040.376000,64.393016,-3810232.985754,3567865.891350,3653159.740391,62.573039,-3810207.025124,3567846.327593,3653138.467182,75.417358,-3810177.451417,3567788.426363,3653082.882855,72.607929,-3810168.060563,3567783.945024,3653075.981282
23,555921.199999,5,-3810126.834000,3567834.634000,3653040.928000,64.521467,-3810233.632370,3567865.910088,3653160.544935,62.956098,-3810215.911763,3567853.377925,3653146.722335,74.991738,-3810178.016745,3567789.863858,3653085.241830,72.186226,-3810168.719673,3567784.922229,3653077.149885
24,555921.399999,6,-3810126.576000,3567834.370000,3653041.447000,74.575614,-3810165.961383,3567784.704002,3653086.263963,77.723345,-3810203.891627,3567814.326731,3653118.740691,74.957373,-3810178.365581,3567789.741025,3653085.233117,72.365632,-3810169.827995,3567785.712318,3653078.967244
25,555921.600000,6,-3810126.334000,3567834.123000,3653041.935000,74.594606,-3810164.893035,3567783.866271,3653086.345575,79.475856,-3810193.114767,3567801.362218,3653107.530029,75.846158,-3810178.628517,3567788.889160,3653086.198621,72.470326,-3810169.140988,3567785.261926,3653079.806855
26,555921.800000,6,-3810126.105000,3567833.890000,3653042.394000,74.342643,-3810163.977769,3567783.674641,3653086.856124,78.518315,-3810184.303791,3567794.995098,3653101.252648,76.059549,-3810177.912896,3567788.072247,3653086.497682,72.228601,-3810167.527653,3567784.378098,3653079.730953
27,555922.000000,6,-3810125.891000,3567833.676000,3653042.822000,74.804672,-3810164.710682,3567783.379475,3653087.427401,77.676380,-3810178.232292,3567790.859977,3653097.136998,75.898557,-3810176.683448,3567787.851928,3653087.704154,71.757054,-3810166.942316,3567784.385403,3653079.801069
28,555922.199999,6,-3810125.693000,3567833.475000,3653043.220000,75.162426,-3810164.114422,3567782.171874,3653087.058125,77.218279,-3810173.767606,3567787.558567,3653094.099256,75.632781,-3810176.759266,3567788.554136,3653089.113039,71.825582,-3810165.788378,3567783.641650,3653080.245031
29,555922.399999,6,-3810125.512000,3567833.287000,3653043.587000,75.216164,-3810162.559385,3567780.808352,3653086.433933,76.849686,-3810170.065271,3567784.906832,3653091.833648,75.725655,-3810175.575633,3567787.412386,3653088.732708,72.111816,-3810165.165475,3567782.882360,3653080.597855
30,555922.600000,6,-3810125.346000,3567833.126000,3653043.918000,75.575509,-3810161.927050,3567779.372032,3653085.542229,76.780687,-3810167.401892,3567782.486834,3653089.746787,75.538240,-3810174.579095,3567786.612488,3653088.064093,72.674213,-3810165.336862,3567782.164061,3653080.826047
31,555922.800000,6,-3810125.197000,3567832.980000,3653044.214000,75.651297,-3810161.194142,3567778.467491,3653085.043062,76.605611,-3810165.181117,3567780.665631,3653088.147655,76.064048,-3810174.290538,3567785.525804,3653087.824841,71.889066,-3810164.957928,3567782.346348,3653080.002605
32,555923.000000,6,-3810125.063000,3567832.842000,3653044.478000,76.553627,-3810163.011727,3567778.069741,3653085.233516,76.899744,-3810164.445208,3567779.118057,3653086.863266,75.727138,-3810173.777534,3567785.636442,3653088.172233,71.639724,-3810163.631070,3567781.506821,3653079.372173
33,555923.199999,5,-3810124.943000,3567832.719000,3653044.719000,67.874401,-3810060.442267,3567751.918585,3653053.641871,70.849576,-3810141.528451,3567776.985519,3653085.250118,75.532373,-3810171.941080,3567784.732326,3653088.082391,71.849193,-3810163.399111,3567781.668200,3653080.919578
34,555923.399999,5,-3810124.834000,3567832.611000,3653044.937000,67.719793,-3810060.775544,3567751.924198,3653053.887212,68.089860,-3810121.081178,3567772.336390,3653080.078486,75.423671,-3810170.658293,3567783.923532,3653087.756354,71.220698,-3810163.202424,3567782.532844,3653081.694621
35,555923.600000,5,-3810124.738000,3567832.511000,3653045.131000,67.474735,-3810060.715205,3567751.567290,3653053.608266,66.971853,-3810104.454533,3567767.151918,3653073.918730,75.948622,-3810169.086556,3567782.162507,3653087.296169,71.336496,-3810163.560282,3567783.068920,3653083.074861
36,555923.800000,5,-3810124.654000,3567832.424000,3653045.301000,67.173858,-3810060.504868,3567750.866690,3653052.934913,66.559778,-3810091.408200,3567762.270301,3653068.007695,75.989047,-3810168.289036,3567781.951133,3653088.043944,72.057104,-3810164.296130,3567783.114842,3653084.530000
37,555924.000000,5,-3810124.579000,3567832.351000,3653045.451000,67.032156,-3810060.618706,3567751.305829,3653053.321844,66.435879,-3810081.008505,3567758.753540,3653063.410076,75.735597,-3810167.976528,3567782.372067,3653088.826450,71.447434,-3810164.471146,3567783.764157,3653084.400360
38,555924.199999,5,-3810124.516000,3567832.288000,3653045.577000,66.945689,-3810060.922588,3567751.248873,3653053.458701,66.602702,-3810073.155311,3567755.857799,3653059.801351,76.082127,-3810168.348644,3567782.355567,3653089.490915,72.024200,-3810164.891265,3567783.725862,3653085.557363
39,555924.399999,5,-3810124.465000,3567832.237000,3653045.681000,66.734372,-3810061.395112,3567751.212269,3653053.468992,66.754737,-3810067.351959,3567753.586718,3653056.938578,75.366981,-3810167.829127,3567782.910105,3653089.519354,72.219905,-3810165.523774,3567784.354333,3653086.895961
40,555924.600000,5,-3810124.425000,3567832.195000,3653045.762000,66.652451,-3810060.415202,3567751.329487,3653053.264288,66.882486,-3810062.593898,3567752.132097,3653054.793005,75.221530,-3810166.988478,3567782.508466,3653089.269094,72.504711,-3810163.804436,3567783.090937,3653086.780315
41,555924.800000,5,-3810124.395000,3567832.165000,3653045.821000,66.794444,-3810060.351591,3567751.460667,3653053.602271,67.205856,-3810059.003909,3567751.003843,3653053.368583,75.215099,-3810166.692997,3567782.311186,3653089.222381,72.411595,-3810163.201718,3567783.313291,3653087.639976
42,555925.000000,5,-3810124.377000,3567832.148000,3653045.858000,67.086791,-3810061.176768,3567751.661094,3653054.424717,67.695521,-3810056.567294,3567750.088259,3653052.601217,75.813001,-3810165.830477,3567781.774616,3653090.439668,72.597954,-3810163.726775,3567783.956719,3653088.942003
43,555925.199999,5,-3810124.373000,3567832.144000,3653045.869000,67.239319,-3810061.841796,3567751.973122,3653055.057364,68.079562,-3810054.955245,3567749.541274,3653052.173055,75.858669,-3810164.631285,3567781.267220,3653090.610046,72.590508,-3810163.252513,3567783.634174,3653088.719104
44,555925.399999,5,-3810124.374000,3567832.144000,3653045.868000,67.408199,-3810062.285384,3567752.119336,3653055.508857,68.392588,-3810053.956909,3567749.177176,3653051.968641,75.510108,-3810164.064003,3567781.015107,3653089.787143,72.819636,-3810162.984853,3567783.235434,3653088.710398
45,555925.600000,5,-3810124.376000,3567832.147000,3653045.868000,67.482309,-3810062.252599,3567752.088215,3653055.567510,68.566610,-3810053.327643,3567748.938291,3653051.800849,75.673179,-3810163.235499,3567780.866247,3653090.565296,71.898640,-3810162.042785,3567783.781296,3653088.405394
46,555925.800000,5,-3810124.376000,3567832.146000,3653045.868000,67.446510,-3810062.467826,3567752.185367,3653055.657828,68.609015,-3810053.021253,3567748.840124,3653051.679562,75.616169,-3810163.142712,3567780.936731,3653090.645147,71.627881,-3810160.546192,3567783.193408,3653087.887604
47,555926.000000,5,-3810124.376000,3567832.146000,3653045.868000,67.469573,-3810062.322912,3567752.059213,3653055.553683,68.628076,-3810052.872792,3567748.737664,3653051.583362,75.224006,-3810163.391164,3567781.383843,3653090.392464,71.858562,-3810160.269309,3567782.866729,3653088.018168
48,555926.199999,5,-3810124.376000,3567832.146000,3653045.868000,67.433932,-3810061.162420,3567751.634590,3653054.849988,68.560520,-3810052.583667,3567748.619966,3653051.318248,74.588221,-3810162.780886,3567781.758625,3653090.141129,71.102116,-3810160.032715,3567783.593492,3653087.852652
49,555926.399999,5,-3810124.376000,3567832.146000,3653045.868000,67.400939,-3810061.219998,3567751.680193,3653054.858319,68.512205,-3810052.454110,3567748.580473,3653051.185437,74.282318,-3810162.571383,3567782.171965,3653090.390867,71.408564,-3810159.272212,3567782.896100,3653087.835619
50,555926.600000,5,-3810124.376000,3567832.147000,3653045.868000,67.376861,-3810061.147517,3567751.621771,3653054.763946,68.466874,-3810052.427587,3567748.548026,3653051.098039,74.131899,-3810162.569338,3567782.221940,3653090.142452,71.504986,-3810159.134268,3567782.965223,3653088.280637
51,555926.800000,5,-3810124.376000,3567832.147000,3653045.868000,67.397681,-3810061.296986,3567751.662858,3653054.865777,68.455890,-3810052.524431,3567748.559694,3653051.127396,74.244771,-3810162.360445,3567782.586230,3653091.240292,71.156351,-3810157.533309,3567783.170439,3653089.040662
52,555927.000000,5,-3810124.376000,3567832.147000,3653045.868000,67.424902,-3810061.155497,3567751.545597,3653054.774014,68.445935,-3810052.654113,3567748.551923,3653051.157527,74.087706,-3810161.920173,3567782.708014,3653091.447382,71.383824,-3810157.297957,3567783.012922,3653089.409279
53,555927.199999,5,-3810124.376000,3567832.147000,3653045.868000,67.448378,-3810061.046428,3567751.346212,3653054.630699,68.430772,-3810052.835958,3567748.489197,3653051.164682,74.051881,-3810161.386666,3567782.567317,3653091.506672,71.696562,-3810157.818599,3567783.066190,3653089.816309
54,555927.399999,5,-3810124.376000,3567832.147000,3653045.868000,67.418679,-3810061.207343,3567751.471234,3653054.730820,68.385553,-3810053.054629,3567748.571921,3653051.240992,73.896082,-3810160.855144,3567782.462220,3653091.361894,72.123235,-3810158.320756,3567783.132369,3653090.500802
55,555927.600000,5,-3810124.376000,3567832.146000,3653045.868000,67.413414,-3810061.303952,3567751.540741,3653054.803562,68.347018,-3810053.311400,3567748.686899,3653051.360650,74.204958,-3810160.423782,3567782.146450,3653091.775544,72.338172,-3810157.229882,3567782.480295,3653090.544307
56,555927.800000,5,-3810124.376000,3567832.147000,3653045.868000,67.407941,-3810061.584097,3567751.582370,3653054.912566,68.313440,-3810053.674576,3567748.781099,3653051.509732,73.706142,-3810159.656587,3567782.264442,3653091.443254,72.256690,-3810155.906793,3567782.224248,3653090.769830
57,555928.000000,6,-3810124.376000,3567832.146000,3653045.868000,92.631963,-3810217.217884,3567798.736461,3653113.478236,80.917770,-3810171.372269,3567774.290084,3653081.228172,74.568349,-3810160.472369,3567781.235190,3653090.896897,72.683353,-3810157.988277,3567782.334443,3653090.519969
58,555928.199999,6,-3810124.376000,3567832.147000,3653045.868000,92.699344,-3810217.302228,3567798.669331,3653113.355580,88.307244,-3810196.422832,3567785.042116,3653094.930335,75.614851,-3810161.982402,3567780.508502,3653090.753277,73.564886,-3810160.065717,3567782.046011,3653090.458717
59,555928.399999,6,-3810124.376000,3567832.147000,3653045.868000,92.680194,-3810217.179734,3567798.557641,3653113.172668,90.944734,-3810207.415315,3567791.436518,3653103.417371,76.024410,-3810163.082637,3567780.354708,3653090.524100,73.979874,-3810162.339792,3567782.544676,3653090.584347
60,555928.600000,6,-3810124.376000,3567832.147000,3653045.868000,92.825846,-3810217.471630,3567798.611482,3653113.323831,92.244987,-3810213.357097,3567795.263559,3653108.690221,76.589031,-3810164.533887,3567780.177353,3653090.285290,74.913525,-3810163.557147,3567781.972131,3653090.660480
61,555928.800000,6,-3810124.376000,3567832.147000,3653045.868000,92.810907,-3810217.363837,3567798.543638,3653113.266768,92.888098,-3810216.592632,3567797.516271,3653111.849213,77.258291,-3810165.188488,3567779.213206,3653089.401940,74.969048,-3810164.646808,3567782.307553,3653090.526694
62,555929.000000,6,-3810124.376000,3567832.147000,3653045.868000,92.609404,-3810216.653432,3567798.257813,3653113.000470,93.112031,-3810218.052929,3567798.731542,3653113.650055,77.718408,-3810165.635083,3567778.928710,3653089.538063,75.232554,-3810165.764057,3567782.503988,3653090.566284
63,555929.199999,6,-3810124.376000,3567832.147000,3653045.868000,92.338728,-3810215.930458,3567798.040168,3653112.704470,93.083908,-3810218.529245,3567799.352499,3653114.555409,78.432996,-3810168.015366,3567779.152986,3653089.500388,75.229223,-3810166.773036,3567782.385521,3653089.398957
64,555929.399999,6,-3810124.376000,3567832.146000,3653045.868000,92.382889,-3810216.138307,3567798.161947,3653112.849368,93.120422,-3810218.905371,3567799.696134,3653115.035431,78.391992,-3810169.322876,3567780.144606,3653090.173675,75.640843,-3810170.205958,3567784.232504,3653090.907185
65,555929.600000,6,-3810124.376000,3567832.147000,3653045.868000,92.294936,-3810216.021991,3567798.194840,3653112.840883,93.091062,-3810219.046980,3567799.899289,3653115.277827,78.545571,-3810170.446726,3567780.133701,3653089.379106,75.584358,-3810171.879196,3567785.033024,3653090.733924
66,555929.800000,6,-3810124.376000,3567832.147000,3653045.868000,92.209526,-3810215.721035,3567798.062506,3653112.690700,93.030016,-3810218.940988,3567799.921598,3653115.322517,78.845783,-3810171.902799,3567780.355479,3653089.065348,76.032853,-3810174.308481,3567786.206953,3653091.847211
67,555930.000000,6,-3810124.376000,3567832.146000,3653045.868000,92.299057,-3810215.997928,3567798.164103,3653112.810904,93.043193,-3810218.969954,3567799.918945,3653115.310828,78.992813,-3810173.178509,3567780.900868,3653089.232723,76.415255,-3810175.843794,3567786.763116,3653092.388870
68,555930.199999,6,-3810124.376000,3567832.147000,3653045.868000,92.382917,-3810216.172920,3567798.171938,3653112.809616,93.083205,-3810219.013370,3567799.876203,3653115.241538,78.988357,-3810173.647773,3567781.408450,3653089.826447,76.489897,-3810178.121765,3567787.961776,3653092.640465
69,555930.399999,6,-3810124.376000,3567832.146000,3653045.868000,92.183043,-3810215.551769,3567797.960693,3653112.605998,92.948705,-3810218.630007,3567799.770614,3653115.152944,80.185263,-3810175.051569,3567780.959454,3653090.452569,76.703032,-3810179.635389,3567788.923609,3653093.636730
70,555930.600000,6,-3810124.376000,3567832.146000,3653045.868000,92.041242,-3810215.030479,3567797.736826,3653112.384518,92.812128,-3810218.156973,3567799.583296,3653114.972396,80.676682,-3810175.910562,3567780.722027,3653090.238813,77.090539,-3810180.057441,3567788.544738,3653093.314703
71,555930.800000,6,-3810124.376000,3567832.147000,3653045.868000,91.864120,-3810214.674001,3567797.720047,3653112.347185,92.625071,-3810217.676930,3567799.460528,3653114.809774,80.345256,-3810176.134102,3567781.341587,3653090.476031,77.253897,-3810182.366391,3567790.062898,3653094.458231
72,555931.000000,6,-3810124.376000,3567832.146000,3653045.868000,91.913232,-3810214.809153,3567797.771308,3653112.433741,92.570574,-3810217.460009,3567799.342513,3653114.660610,80.537507,-3810176.971043,3567781.520504,3653090.405050,77.145488,-3810183.387635,3567791.036335,3653095.166518
73,555931.199999,6,-3810124.376000,3567832.147000,3653045.868000,91.915131,-3810214.755681,3567797.694978,3653112.305399,92.539946,-3810217.284914,3567799.207267,3653114.461581,81.236586,-3810178.577026,3567781.634717,3653090.638203,77.416915,-3810184.120160,3567791.404457,3653095.896478
74,555931.399999,6,-3810124.376000,3567832.147000,3653045.868000,92.137519,-3810215.249530,3567797.801961,3653112.523928,92.652488,-3810217.394571,3567799.110176,3653114.374957,81.506785,-3810179.465114,3567781.796828,3653090.652190,77.435706,-3810184.529645,3567791.358544,3653095.280350
75,555931.600000,6,-3810124.376000,3567832.146000,3653045.868000,92.111152,-3810215.114004,3567797.731254,3653112.470293,92.651974,-3810217.305415,3567799.032898,3653114.309295,81.798673,-3810179.674750,3567781.508903,3653090.530766,77.950497,-3810187.186185,3567792.936035,3653097.120421
76,555931.800000,6,-3810124.376000,3567832.147000,3653045.868000,91.972220,-3810214.754124,3567797.659729,3653112.414519,92.542767,-3810217.011193,3567798.966497,3653114.256009,81.983025,-3810180.536590,3567782.077726,3653091.322098,78.192683,-3810188.586092,3567793.915106,3653098.370504
77,555932.000000,6,-3810124.376000,3567832.147000,3653045.868000,91.842290,-3810214.399768,3567797.529403,3653112.203610,92.414209,-3810216.663780,3567798.853065,3653114.089396,82.188150,-3810181.166589,3567782.126180,3653091.193726,78.581155,-3810189.026285,3567793.431918,3653097.699405
78,555932.200000,6,-3810124.376000,3567832.147000,3653045.868000,91.515842,-3810213.305547,3567797.109708,3653111.775666,92.171104,-3810215.916979,3567798.610875,3653113.858752,82.528206,-3810181.539070,3567782.077375,3653091.588247,79.111947,-3810190.067947,3567793.674717,3653098.471026
79,555932.399999,6,-3810124.376000,3567832.147000,3653045.868000,91.287534,-3810212.652737,3567796.891020,3653111.489412,91.920141,-3810215.169676,3567798.350316,3653113.540499,82.450654,-3810182.765624,3567783.250171,3653092.596160,79.798076,-3810190.281065,3567793.001476,3653098.568286
80,555932.600000,6,-3810124.376000,3567832.146000,3653045.868000,91.363129,-3810212.681493,3567796.798783,3653111.439180,91.869985,-3810214.795130,3567798.078513,3653113.235495,82.662994,-3810183.721080,3567783.521694,3653092.585166,79.603627,-3810190.614983,3567793.446868,3653098.623024
81,555932.799999,6,-3810124.376000,3567832.147000,3653045.868000,91.865926,-3810214.158981,3567797.275408,3653111.972287,92.135471,-3810215.319503,3567798.038835,3653113.110833,82.871327,-3810184.396501,3567783.426296,3653091.993536,80.368293,-3810190.992512,3567793.155155,3653099.718818
82,555933.000000,6,-3810124.376000,3567832.147000,3653045.868000,91.895764,-3810214.204496,3567797.249002,3653111.916327,92.223847,-3810215.515315,3567798.040121,3653113.072681,83.188603,-3810184.715624,3567783.263028,3653092.096547,80.978788,-3810192.701684,3567793.653121,3653100.421110
83,555933.200000,6,-3810124.376000,3567832.146000,3653045.868000,91.678640,-3810213.677804,3567797.113333,3653111.693564,92.097602,-3810215.276865,3567798.024560,3653113.009645,83.421887,-3810185.897886,3567783.713808,3653092.241075,81.158207,-3810193.126489,3567793.560227,3653100.109016
84,555933.399999,7,-3810124.376000,3567832.147000,3653045.868000,97.991617,-3810220.186633,3567791.412655,3653103.824746,97.368070,-3810221.235888,3567793.803395,3653107.381137,84.118547,-3810187.377242,3567783.622804,3653091.933760,82.257146,-3810193.261119,3567792.042253,3653099.399748
85,555933.600000,7,-3810124.376000,3567832.146000,3653045.868000,98.050847,-3810220.042067,3567791.160742,3653103.511480,98.343684,-3810221.908012,3567792.632098,3653105.681757,85.025726,-3810188.757297,3567783.225157,3653091.602603,82.941721,-3810193.191265,3567790.856536,3653098.545560
86,555933.799999,7,-3810124.376000,3567832.147000,3653045.868000,98.034762,-3810220.127547,3567791.275386,3653103.650506,98.432172,-3810221.739486,3567792.261487,3653105.090251,85.385116,-3810189.331243,3567782.959820,3653091.088185,82.862573,-3810194.472369,3567791.631515,3653098.324645
87,555934.000000,7,-3810124.376000,3567832.146000,3653045.868000,97.802583,-3810219.695891,3567791.212144,3653103.452440,98.234761,-3810221.267158,3567792.089258,3653104.738277,85.826697,-3810190.629209,3567783.072597,3653090.649507,82.894686,-3810194.704940,3567791.473012,3653097.584887
88,555934.200000,7,-3810124.376000,3567832.146000,3653045.868000,97.660802,-3810219.354789,3567791.116839,3653103.319661,98.060051,-3810220.818266,3567791.929046,3653104.481020,86.273469,-3810191.305403,3567782.957943,3653090.680558,82.967709,-3810195.938155,3567791.942927,3653097.013209
89,555934.399999,7,-3810124.376000,3567832.146000,3653045.868000,97.712855,-3810219.455597,3567791.101389,3653103.230539,98.035744,-3810220.653977,3567791.780346,3653104.217910,86.814866,-3810191.887010,3567782.678347,3653090.737283,83.122702,-3810196.690341,3567792.490398,3653097.836545
90,555934.600000,7,-3810124.376000,3567832.146000,3653045.868000,97.655064,-3810219.262016,3567790.993075,3653103.047513,97.972713,-3810220.430277,3567791.646887,3653103.991324,87.726917,-3810192.519569,3567782.069623,3653091.080785,82.969658,-3810197.371232,3567793.021523,3653097.601441
91,555934.799999,7,-3810124.376000,3567832.147000,3653045.868000,97.628471,-3810219.210553,3567790.983109,3653103.014786,97.914781,-3810220.248160,3567791.554546,3653103.836245,87.702153,-3810192.438206,3567782.104804,3653091.252203,82.862073,-3810197.547116,3567793.305888,3653097.731780
92,555935.000000,7,-3810124.376000,3567832.146000,3653045.868000,97.802097,-3810219.423659,3567790.895866,3653102.931384,98.025994,-3810220.301093,3567791.409234,3653103.656715,88.014414,-3810192.566314,3567781.640897,3653090.746660,83.684397,-3810198.049330,3567792.716558,3653098.051346
93,555935.200000,7,-3810124.375000,3567832.146000,3653045.868000,97.625272,-3810219.246995,3567791.017916,3653103.037445,97.889207,-3810220.109161,3567791.445655,3653103.659050,88.190301,-3810192.980349,3567781.486144,3653090.100899,83.877909,-3810198.576259,3567792.634466,3653097.501968
94,555935.399999,7,-3810124.375000,3567832.147000,3653045.867000,97.527651,-3810219.091445,3567791.024642,3653103.009673,97.779304,-3810219.934656,3567791.454173,3653103.630888,88.878760,-3810193.618375,3567781.115799,3653090.311601,84.255687,-3810199.277887,3567792.423346,3653096.876776
95,555935.600000,7,-3810124.371000,3567832.141000,3653045.874000,97.425844,-3810218.827592,3567790.934851,3653102.901131,97.675391,-3810219.710531,3567791.404761,3653103.563293,88.498389,-3810193.483005,3567781.412178,3653090.058111,84.884256,-3810199.831121,3567792.114734,3653097.247199
96,555935.799999,7,-3810124.359000,3567832.131000,3653045.895000,97.379761,-3810218.705473,3567790.887714,3653102.851223,97.608709,-3810219.533417,3567791.336817,3653103.481161,88.016666,-3810193.673902,3567781.984899,3653089.620755,85.532665,-3810200.682488,3567792.041691,3653097.852950
