segment_id,start_epoch,end_epoch,n_epochs,start_mesh,n_meshes,subset_key,triangle_count,n_nlos,n_total_obs,nlos_fraction
1,774,873,100,53393693,12,436910dd3dca5c2a,1728999,2,147,0.013605
0,0,99,100,53394603,9,d1839e131b11ac32,1043714,0,180,0.000000
