method,rms_2d,mean_2d,p50,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,time_ms,backend,n_epochs
WLS,55.102444,50.185060,52.675392,85.073923,86.207634,0.000000,0.000000,0.000000,0.000000,0.023568,-,300
EKF,55.141254,50.678535,52.454400,85.197345,85.925638,0.000000,0.000000,0.000000,0.000000,0.067675,-,300
PF-10K,57.268354,55.580756,50.804881,78.341884,82.695616,0.000000,0.000000,0.000000,0.000000,2.126015,GPU,300
PF-100K,58.033866,56.549838,53.034479,81.596651,83.727896,0.000000,0.000000,0.000000,0.000000,7.458444,GPU,300
