epoch,tow,dt,tdcp_used,n_prev_carrier,n_cur_carrier,tdcp_postfit_rms_m,tdcp_velocity_error_mps,wls_error_2d_m,tdcp_reset_error_2d_m
1,187730.20000004768,0.20000004768371582,False,14,15,,,87.77371694397434,87.77371694397434
2,187730.39999890327,0.1999988555908203,False,15,15,,,88.18598168104002,88.18598168104002
3,187730.59999990463,0.20000100135803223,False,15,15,,,88.30482771439668,88.30482771439668
4,187730.79999899864,0.19999909400939941,True,15,15,0.011133557476717633,0.03814396101342189,88.97764215992348,88.30937504578728
5,187731.0,0.20000100135803223,True,15,14,0.011198977687188291,0.298893741922639,90.47802325571254,88.25758880081501
6,187731.20000004768,0.20000004768371582,False,14,14,,,90.20468511609906,90.20468511609906
7,187731.39999890327,0.1999988555908203,False,14,14,,,86.84353909976814,86.84353909976814
8,187731.59999990463,0.20000100135803223,False,14,14,,,87.56338470433073,87.56338470433073
9,187731.79999899864,0.19999909400939941,False,14,15,,,87.82997725669777,87.82997725669777
10,187732.0,0.20000100135803223,False,15,13,,,102.97263315302348,102.97263315302348
11,187732.20000004768,0.20000004768371582,False,13,14,,,100.08676801345138,100.08676801345138
12,187732.39999890327,0.1999988555908203,False,14,15,,,99.56323512422662,99.56323512422662
13,187732.59999990463,0.20000100135803223,False,15,15,,,89.103413064059,89.103413064059
14,187732.79999899864,0.19999909400939941,False,15,15,,,88.67495097558756,88.67495097558756
15,187733.0,0.20000100135803223,False,15,15,,,88.20038669689627,88.20038669689627
16,187733.20000004768,0.20000004768371582,True,15,14,0.017755195090634956,0.476135723792668,77.61182750677239,88.12208135784022
17,187733.39999890327,0.1999988555908203,True,14,14,0.0043426186422394365,0.06806792419256875,63.17278090880393,88.13422915327368
18,187733.59999990463,0.20000100135803223,False,14,14,,,63.66969609122106,63.66969609122106
19,187733.79999899864,0.19999909400939941,False,14,13,,,64.75820934022566,64.75820934022566
20,187734.0,0.20000100135803223,False,13,14,,,62.022025122318276,62.022025122318276
21,187734.20000004768,0.20000004768371582,False,14,14,,,80.71109610703249,80.71109610703249
22,187734.39999890327,0.1999988555908203,False,14,14,,,71.71793113605717,71.71793113605717
23,187734.59999990463,0.20000100135803223,False,14,14,,,58.66143022373156,58.66143022373156
24,187734.79999899864,0.19999909400939941,False,14,14,,,75.32972497974633,75.32972497974633
25,187735.0,0.20000100135803223,False,14,14,,,76.1153244395597,76.1153244395597
26,187735.20000004768,0.20000004768371582,False,14,14,,,80.38558099085641,80.38558099085641
27,187735.39999890327,0.1999988555908203,False,14,14,,,81.94639267184327,81.94639267184327
28,187735.59999990463,0.20000100135803223,False,14,14,,,88.69429974555594,88.69429974555594
29,187735.79999899864,0.19999909400939941,False,14,14,,,89.14125602694494,89.14125602694494
30,187736.0,0.20000100135803223,False,14,14,,,88.7928193849489,88.7928193849489
31,187736.20000004768,0.20000004768371582,False,14,14,,,88.10843292735697,88.10843292735697
32,187736.39999890327,0.1999988555908203,True,14,14,0.0046051108607690185,0.034262192353066975,82.55707749052797,88.11214498094964
33,187736.59999990463,0.20000100135803223,True,14,14,0.0031009166879563082,0.04815609008204453,81.5088466219493,88.11595785615525
34,187736.79999899864,0.19999909400939941,False,14,14,,,80.28562502631664,80.28562502631664
35,187737.0,0.20000100135803223,False,14,14,,,79.50457824991314,79.50457824991314
36,187737.20000004768,0.20000004768371582,False,14,14,,,81.09329581713781,81.09329581713781
37,187737.39999890327,0.1999988555908203,False,14,14,,,80.32709909643431,80.32709909643431
38,187737.59999990463,0.20000100135803223,False,14,14,,,70.98238818101744,70.98238818101744
39,187737.79999899864,0.19999909400939941,True,14,14,0.0030344367915546575,0.09612618906999124,78.75010494365053,70.99696618162308
40,187738.0,0.20000100135803223,True,14,14,0.0019411146437619865,0.014856311609945659,85.62103837825231,70.99647397150795
41,187738.20000004768,0.20000004768371582,True,14,14,0.003332905753670471,0.027806163985679196,77.87708054505855,71.00036885454352
42,187738.39999890327,0.1999988555908203,True,14,14,0.004982461526468544,0.09019328452366311,78.46280872277018,70.99311821492051
43,187738.59999990463,0.20000100135803223,True,14,14,0.004571481280045108,0.12439656425583426,77.8351682906867,70.97439013667444
44,187738.79999899864,0.19999909400939941,True,14,15,0.002200111900668849,0.040341843601849815,78.25636178134653,70.97200525934358
45,187739.0,0.20000100135803223,True,15,15,0.027830925905948083,0.8522114817767645,79.88650987463872,70.85756190991913
46,187739.20000004768,0.20000004768371582,True,15,15,0.03993563142555417,0.9717967393536259,77.31292424238877,70.73347123556346
47,187739.39999890327,0.1999988555908203,True,15,15,0.06100544825175954,1.7026042581286558,80.19566355980236,70.4982470973931
48,187739.59999990463,0.20000100135803223,True,15,14,0.005618096173383386,0.08743772954377446,79.92413367322409,70.49242874848606
49,187739.79999899864,0.19999909400939941,False,14,15,,,68.82725339125432,68.82725339125432
50,187740.0,0.20000100135803223,False,15,15,,,76.4334477887655,76.4334477887655
51,187740.20000004768,0.20000004768371582,False,15,14,,,76.4012418321982,76.4012418321982
52,187740.40000009537,0.20000004768371582,False,14,15,,,73.18757643541905,73.18757643541905
53,187740.59999990463,0.19999980926513672,False,15,15,,,74.38221682407679,74.38221682407679
54,187740.79999995232,0.20000004768371582,False,15,15,,,77.07463823141656,77.07463823141656
55,187741.0,0.20000004768371582,False,15,15,,,80.47945135904429,80.47945135904429
56,187741.199999094,0.19999909400939941,True,15,14,0.0025294256272046164,0.019261707577740598,82.3661540400086,80.4828085155068
57,187741.39999890327,0.19999980926513672,True,14,15,0.030973707049449517,0.9401631799178267,82.50860321753927,80.339579336642
58,187741.59999990463,0.20000100135803223,True,15,15,0.044241487124226916,0.5982793755496345,85.87067840532345,80.24615248221741
59,187741.79999995232,0.20000004768371582,True,15,14,0.00876161018554662,0.24234413658491943,84.18576515527626,80.28421914931721
60,187742.0,0.20000004768371582,True,14,14,0.0029070560646525913,0.049011427257634625,76.0110383338641,80.27981597014798
61,187742.20000004768,0.20000004768371582,True,14,15,0.0019550298055876036,0.028428157972283454,74.75245515216177,80.2798801854281
62,187742.39999890327,0.1999988555908203,True,15,14,0.0026478052458090494,0.008270635508313834,74.42726320229366,80.27963683295205
63,187742.59999990463,0.20000100135803223,True,14,13,0.002903421294983114,0.05670384655079193,73.36625117764316,80.27481578090092
64,187742.79999899864,0.19999909400939941,True,13,14,0.00361297609790749,0.1447325144376587,72.28595992946912,80.29605454175179
65,187743.0,0.20000100135803223,False,14,15,,,79.4130228905574,79.4130228905574
66,187743.20000004768,0.20000004768371582,False,15,14,,,71.28971032078849,71.28971032078849
67,187743.39999890327,0.1999988555908203,False,14,14,,,62.16284022554681,62.16284022554681
68,187743.59999990463,0.20000100135803223,False,14,14,,,71.65836951897514,71.65836951897514
69,187743.79999899864,0.19999909400939941,False,14,14,,,69.68215003142434,69.68215003142434
70,187744.0,0.20000100135803223,False,14,14,,,60.463140066115876,60.463140066115876
71,187744.20000004768,0.20000004768371582,False,14,14,,,60.757138606796374,60.757138606796374
72,187744.40000009537,0.20000004768371582,False,14,14,,,61.704098835654314,61.704098835654314
73,187744.59999895096,0.1999988555908203,True,14,14,0.003130744461971145,0.058112452869287484,62.53298150752549,61.7008478583211
74,187744.79999899864,0.20000004768371582,True,14,15,0.0036642559139684837,0.06462965736034887,73.4678683536491,61.70182962796199
75,187745.0,0.20000100135803223,False,15,15,,,74.11400895819837,74.11400895819837
76,187745.20000004768,0.20000004768371582,False,15,15,,,74.8975212759072,74.8975212759072
77,187745.40000009537,0.20000004768371582,True,15,14,0.0013045606349648788,0.02980700941306914,74.90790341800353,74.8951478993989
78,187745.59999895096,0.1999988555908203,True,14,15,0.0037837314846802,0.03618271150596006,74.92275136248472,74.89825347764493
79,187745.79999899864,0.20000004768371582,True,15,14,0.003046448904494257,0.03985708337777171,74.69843532006037,74.89344460761481
80,187746.0,0.20000100135803223,True,14,14,0.0018147288108475083,0.04240537477757272,74.07199148543152,74.8956593388996
81,187746.20000004768,0.20000004768371582,True,14,15,0.003588191327481463,0.024619591625585094,60.89349050833433,74.89482500147427
82,187746.40000009537,0.20000004768371582,True,15,14,0.004219681461202917,0.05346780258921753,59.42794613576324,74.89995622639367
83,187746.59999895096,0.1999988555908203,True,14,14,0.009246478449333259,0.07121959243711336,58.40644336519636,74.90002726128675
84,187746.79999899864,0.20000004768371582,True,14,14,0.007979889782403316,0.07951443541232461,58.692477449772774,74.89079173088224
85,187747.0,0.20000100135803223,True,14,15,0.02247379400647895,0.14843181502159883,58.85335408765447,74.89734301187828
86,187747.20000004768,0.20000004768371582,False,15,15,,,59.472285814362664,59.472285814362664
87,187747.40000009537,0.20000004768371582,False,15,15,,,56.45498205629451,56.45498205629451
88,187747.59999895096,0.1999988555908203,False,15,13,,,75.17766555199896,75.17766555199896
89,187747.79999899864,0.20000004768371582,False,13,13,,,79.79027271323382,79.79027271323382
90,187748.0,0.20000100135803223,True,13,12,0.0279550920333734,1.1280036083606302,70.94281553456527,79.70361440563882
91,187748.199999094,0.19999909400939941,False,12,12,,,70.22459316725454,70.22459316725454
92,187748.40000009537,0.20000100135803223,False,12,12,,,68.8689803465483,68.8689803465483
93,187748.59999895096,0.1999988555908203,False,12,12,,,68.67942747424986,68.67942747424986
94,187748.79999995232,0.20000100135803223,False,12,13,,,65.53871052639492,65.53871052639492
95,187749.0,0.20000004768371582,False,13,13,,,66.99072649616855,66.99072649616855
96,187749.199999094,0.19999909400939941,False,13,13,,,67.59808220535238,67.59808220535238
97,187749.40000009537,0.20000100135803223,False,13,12,,,78.14859748091902,78.14859748091902
98,187749.59999895096,0.1999988555908203,False,12,13,,,68.75092864450897,68.75092864450897
99,187749.79999995232,0.20000100135803223,False,13,12,,,77.23390340006497,77.23390340006497
100,187750.0,0.20000004768371582,False,12,14,,,78.45949531632283,78.45949531632283
101,187750.199999094,0.19999909400939941,False,14,14,,,78.80847961146742,78.80847961146742
102,187750.40000009537,0.20000100135803223,False,14,14,,,78.74305300641373,78.74305300641373
103,187750.59999895096,0.1999988555908203,False,14,14,,,78.5093431174111,78.5093431174111
104,187750.79999995232,0.20000100135803223,False,14,13,,,78.29837069714347,78.29837069714347
105,187751.0,0.20000004768371582,False,13,13,,,73.49870244295491,73.49870244295491
106,187751.199999094,0.19999909400939941,False,13,13,,,67.40117023929399,67.40117023929399
107,187751.40000009537,0.20000100135803223,False,13,13,,,67.58955668419863,67.58955668419863
108,187751.59999895096,0.1999988555908203,False,13,13,,,57.61386136177299,57.61386136177299
109,187751.79999995232,0.20000100135803223,False,13,13,,,72.65137639431654,72.65137639431654
110,187752.0,0.20000004768371582,False,13,12,,,69.18466323441206,69.18466323441206
111,187752.199999094,0.19999909400939941,False,12,14,,,70.21230208137644,70.21230208137644
112,187752.40000009537,0.20000100135803223,False,14,14,,,69.45687151453726,69.45687151453726
113,187752.59999895096,0.1999988555908203,False,14,15,,,63.17631834459292,63.17631834459292
114,187752.79999995232,0.20000100135803223,False,15,15,,,64.56301145250168,64.56301145250168
115,187753.0,0.20000004768371582,False,15,15,,,66.36349792233148,66.36349792233148
116,187753.199999094,0.19999909400939941,False,15,15,,,72.14349510838811,72.14349510838811
117,187753.40000009537,0.20000100135803223,False,15,15,,,71.67259112994446,71.67259112994446
118,187753.59999895096,0.1999988555908203,False,15,15,,,59.31611549538272,59.31611549538272
119,187753.79999995232,0.20000100135803223,False,15,15,,,60.02403575156853,60.02403575156853
120,187754.0,0.20000004768371582,False,15,14,,,68.1370222682835,68.1370222682835
121,187754.199999094,0.19999909400939941,False,14,14,,,61.81826896351553,61.81826896351553
122,187754.40000009537,0.20000100135803223,False,14,14,,,62.41648943860976,62.41648943860976
123,187754.59999895096,0.1999988555908203,True,14,14,0.003288800127417783,0.036100239728869915,65.71650888522663,62.41805625683033
124,187754.79999995232,0.20000100135803223,True,14,14,0.006333503961220463,0.05543251360870343,67.18298159164911,62.42607522078745
125,187755.0,0.20000004768371582,True,14,15,0.005220132182487778,0.03876257873463557,68.21630759220349,62.419287551594856
126,187755.199999094,0.19999909400939941,True,15,15,0.007995573325971048,0.044932237878939164,68.79167351954572,62.41939988631877
127,187755.40000009537,0.20000100135803223,False,15,15,,,69.17311686161631,69.17311686161631
128,187755.59999895096,0.1999988555908203,False,15,15,,,69.87431458254498,69.87431458254498
129,187755.79999995232,0.20000100135803223,True,15,14,0.002745293327719808,0.026353353963766403,61.795744544812585,69.87635451708981
130,187756.0,0.20000004768371582,True,14,14,0.0033798531359465023,0.029788799352505103,61.600329977302266,69.88209445855895
131,187756.199999094,0.19999909400939941,True,14,14,0.005433269967256818,0.1830843268473028,55.93415698222387,69.85752399406819
132,187756.39999890327,0.19999980926513672,True,14,14,0.01735255233036634,0.5699986512886862,55.09422571535157,69.77994606963064
133,187756.59999990463,0.20000100135803223,True,14,14,0.0013452356947949774,0.03431864159251171,54.31287579563115,69.78170425394745
134,187756.79999995232,0.20000004768371582,True,14,14,0.02139883910330701,0.5642161377750806,58.57140997070101,69.70515828425056
135,187757.0,0.20000004768371582,True,14,14,0.004119483699662822,0.08943024096360871,58.56822989363835,69.69741740907654
136,187757.199999094,0.19999909400939941,True,14,15,0.008964719457680044,0.17183894283021542,60.24661096157287,69.72294707283547
137,187757.39999890327,0.19999980926513672,False,15,15,,,64.59559648985697,64.59559648985697
138,187757.59999990463,0.20000100135803223,False,15,15,,,65.32964514959647,65.32964514959647
139,187757.79999995232,0.20000004768371582,False,15,15,,,65.93952880833196,65.93952880833196
140,187758.0,0.20000004768371582,True,15,14,0.006734959022707437,0.23280985976068236,65.97574704578868,65.9106397199396
141,187758.199999094,0.19999909400939941,True,14,14,0.004374280816245105,0.047527810568553965,66.87775856980532,65.91514378163649
142,187758.39999890327,0.19999980926513672,True,14,14,0.004762157743359836,0.08471045845953004,66.78779795733622,65.92309435984417
143,187758.59999990463,0.20000100135803223,True,14,14,0.0073574844039604,0.23186994801242064,66.97508869915863,65.94953022996594
144,187758.79999995232,0.20000004768371582,True,14,14,0.04387840907773272,1.2906443330973705,61.68086506907674,66.11219831989469
145,187759.0,0.20000004768371582,True,14,14,0.014627759441412523,0.3442439268655929,61.50217073294868,66.06686598572134
146,187759.199999094,0.19999909400939941,True,14,14,0.030620750106667573,0.8948515970391178,60.75610532280927,65.96059482850825
147,187759.39999890327,0.19999980926513672,True,14,14,0.06470061831820384,1.8778463184985283,59.62580940651033,65.73349153793991
148,187759.59999990463,0.20000100135803223,True,14,14,0.08924771396800146,2.5382190442038426,57.75062839309131,65.42850057726746
149,187759.79999995232,0.20000004768371582,True,14,14,0.0043441643996754075,0.058167587853348725,57.208696031710765,65.43998313189324
150,187760.0,0.20000004768371582,True,14,13,0.003178030392832597,0.06497714985969057,56.96611136340358,65.43189610654144
151,187760.199999094,0.19999909400939941,True,13,13,0.0029455566078987077,0.0512139593225236,56.62820233723988,65.4347769060075
152,187760.39999890327,0.19999980926513672,True,13,13,0.002881444302575545,0.04550547107791635,56.47008803444861,65.43979680114776
153,187760.59999990463,0.20000100135803223,True,13,13,0.004112446098049756,0.033369318035748115,56.20915722300851,65.43663637597916
154,187760.79999995232,0.20000004768371582,True,13,13,0.00458993377342209,0.026459397372153085,52.55514105534173,65.441862461028
155,187761.0,0.20000004768371582,True,13,13,0.004003803186582981,0.03488588098850049,55.55475842962512,65.44109375440587
