city,run,start_epoch,segment,config,n_epochs,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_pass_epochs,rms_2d,p50,p95,max_2d,wls_ppc_score_pct,wls_rms_2d,tdcp_used_epochs,dd_pr_anchor_epochs,dd_anchor_blend_alpha,widelane_anchor_epochs,rsp_correction_epochs,height_hold_release_min_dd_shift_m,last_velocity_max_age_s
tokyo,run1,1463,tokyo/run1@1463,dd0.3_height_release_0.4m_age8s,200,5.578526886414439,23.45414877245716,420.4362415026767,4.5,9,1.8991589818721553,0.7793454240999278,5.484561091014284,6.190346016215524,0.0,69.69762946005459,88,199,0.3,87,5,0.4,8.0
tokyo,run1,1463,tokyo/run1@1463,dd0.3_height_release_0.4m_age15s,200,5.578526886414439,23.45414877245716,420.4362415026767,4.5,9,1.4123433709181474,0.7693134606924843,3.140970948586506,3.6379725974418986,0.0,69.69762946005459,88,199,0.3,87,5,0.4,15.0
tokyo,run1,1463,tokyo/run1@1463,dd1_height_release_0.4m_age8s,200,4.986909640434822,20.966775459378816,420.4362415026767,4.0,8,1.2466313250612022,0.6781035665758129,2.627030678692869,5.126665313283822,0.0,69.69762946005459,88,199,1.0,84,5,0.4,8.0
tokyo,run1,1463,tokyo/run1@1463,dd1_height_release_0.4m_age15s,200,4.986909640434822,20.966775459378816,420.4362415026767,4.0,8,1.2409606744387254,0.6781035665758129,2.6270306807689483,5.126665313283822,0.0,69.69762946005459,88,199,1.0,84,5,0.4,15.0
tokyo,run2,808,tokyo/run2@808,dd0.3_height_release_0.4m_age8s,200,0.0,0.0,284.14402457882227,0.0,0,14.452579931535654,4.359702124845475,34.01906853240183,45.19586487358606,0.0,54.66877976358277,35,88,0.3,9,1,0.4,8.0
tokyo,run2,808,tokyo/run2@808,dd0.3_height_release_0.4m_age15s,200,0.0,0.0,284.14402457882227,0.0,0,9.962757080757271,3.7006138231443355,21.252172751555975,45.19586487358606,0.0,54.66877976358277,35,82,0.3,9,1,0.4,15.0
tokyo,run2,808,tokyo/run2@808,dd1_height_release_0.4m_age8s,200,0.0,0.0,284.14402457882227,0.0,0,7.302675632755699,3.550552305563876,13.732660358762468,45.19586487358606,0.0,54.66877976358277,35,92,1.0,15,0,0.4,8.0
tokyo,run2,808,tokyo/run2@808,dd1_height_release_0.4m_age15s,200,0.0,0.0,284.14402457882227,0.0,0,5.860530871403076,3.3069998781613146,9.69156727847034,45.19586487358606,0.0,54.66877976358277,35,101,1.0,15,0,0.4,15.0
tokyo,run3,774,tokyo/run3@774,dd0.3_height_release_0.4m_age8s,200,0.0,0.0,173.55326816380352,33.0,66,10.904818260533375,2.8295874308103794,25.912748447469877,39.63734735813589,0.0,60.868728569199135,14,158,0.3,100,0,0.4,8.0
tokyo,run3,774,tokyo/run3@774,dd0.3_height_release_0.4m_age15s,200,0.0,0.0,173.55326816380352,41.0,82,10.904818573833056,2.8295874308103794,25.912748447469877,39.63734735813589,0.0,60.868728569199135,14,161,0.3,103,0,0.4,15.0
