city,run,segment_label,start_epoch,nlos_fraction,subset_key,method,backend,time_ms_per_epoch,mean_2d,rms_2d,rms_3d,p50,p67,p95,max_2d,outlier_rate_pct,catastrophic_rate_pct,longest_outlier_segment_epochs,longest_outlier_segment_s,n_epochs
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF,GPU,1.465954,78.627056,78.759039,83.942259,76.132321,78.989827,88.084681,88.878760,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF+RobustClear,GPU-3D,1.348547,73.947469,74.062776,77.412613,75.074592,76.288202,80.392926,83.852531,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF3D-BVH+BlockedOnly,GPU-3D-BVH,210.222291,90.945990,91.018079,97.499021,91.072217,92.471764,96.437146,96.934216,0.000000,0.000000,0.000000,0.000000,100
nagoya,run2,nagoya_run2_seg983,983,0.066667,63e337fab2e5f33f,PF3D-BVH+FullMix,GPU-3D-BVH,193.596481,73.891144,74.038134,77.980737,73.432225,76.157018,81.918198,84.345287,0.000000,0.000000,0.000000,0.000000,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,WLS,WLS,0.010718,64.846767,65.230378,67.941824,67.093975,67.448596,68.637017,70.428449,0.000000,0.000000,0.000000,0.000000,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,EKF,EKF,0.029760,65.429459,65.548889,66.077420,67.024267,67.319047,68.597772,69.621328,0.000000,0.000000,0.000000,0.000000,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,PF,GPU,1.393735,33.402995,36.295520,38.966015,32.942056,35.289150,60.777583,66.650052,0.000000,0.000000,0.000000,0.000000,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,PF+RobustClear,GPU-3D,1.304692,28.934910,35.017754,38.962212,23.139811,39.435511,63.058374,67.107246,0.000000,0.000000,0.000000,0.000000,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,PF3D-BVH+BlockedOnly,GPU-3D-BVH,136.859779,106.232573,107.401134,110.496043,102.787615,109.247334,140.128790,147.512511,58.000000,0.000000,32.000000,6.199999,100
nagoya,run3,nagoya_run3_seg235,235,0.019481,166238c5838382f5,PF3D-BVH+FullMix,GPU-3D-BVH,136.184050,32.076375,36.490579,37.761852,27.248518,40.693149,62.962146,67.091082,0.000000,0.000000,0.000000,0.000000,100
