label,group,value,n_epochs,ppc_pass_epochs,ppc_epoch_pass_pct,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,median_dd_shift_m,median_dd_robust_rms_m
dd1_age15_height,tdcp_used,true,35,0,0.0,29.87235363924452,30.301621822707734,31.850889379590672,23.7564169032757,0.7240638566274026
dd1_age15_height,tdcp_used,false,165,0,0.0,15.054151734584014,10.476322617683671,31.41481228708144,10.065962659538572,0.708468235558866
dd1_age15_height,last_velocity_used,true,142,0,0.0,12.647410464947436,9.105953589709506,31.143209365471904,6.699106437068698,0.7071067811865476
dd1_age15_height,last_velocity_used,false,58,0,0.0,29.888536682023876,30.301710018369878,31.85026242113552,23.543506657372745,0.750821620788442
dd1_age15_height,dd_pr_anchor_used,true,101,0,0.0,12.776788415702129,8.794682467678754,30.578215986570775,1.620386294582902,0.6436728680679938
dd1_age15_height,dd_pr_anchor_used,false,99,0,0.0,22.616280642363694,29.735676938178788,31.83309504587011,15.139387223507416,0.7559289460184544
dd1_age15_height,high_dd_blend,true,101,0,0.0,12.776788415702129,8.794682467678754,30.578215986570775,1.620386294582902,0.6436728680679938
dd1_age15_height,high_dd_blend,false,99,0,0.0,22.616280642363694,29.735676938178788,31.83309504587011,15.139387223507416,0.7559289460184544
dd1_age15_height,widelane_anchor_used,true,15,0,0.0,11.638698757534929,1.4695690024043158,27.94382025900818,2.8975543036695233,0.6183181545979141
dd1_age15_height,widelane_anchor_used,false,185,0,0.0,18.134523957929172,19.429054727064393,31.742412104356816,11.651847700944082,0.7301586124944134
dd1_age15_height,rsp_correction_used,true,0,0,0.0,nan,nan,nan,nan,nan
dd1_age15_height,rsp_correction_used,false,200,0,0.0,17.647337067899603,19.202571984169783,31.716201181872375,11.39100490367883,0.713577842211842
dd1_age15_height,height_released,true,136,0,0.0,11.911698764124141,8.744491027849161,31.043045490369252,8.253253295770541,0.7078421292593419
dd1_age15_height,height_released,false,64,0,0.0,29.83556846342246,30.301567919254822,31.847001209853737,22.232327713113968,0.7276131803423742
dd1_age15_noheight,tdcp_used,true,35,3,8.571428571428571,2.873168911916231,1.6157064878901795,10.182098093556379,0.7089532322188014,0.7240995776795937
dd1_age15_noheight,tdcp_used,false,165,1,0.6060606060606061,5.748810830967546,3.5822426071060423,14.216885252526035,2.1214992359278413,0.6941785183997962
dd1_age15_noheight,last_velocity_used,true,142,1,0.704225352112676,5.617073507195694,3.5665197949629963,14.24293321421527,1.9030129206591742,0.6950613210801773
dd1_age15_noheight,last_velocity_used,false,58,3,5.172413793103448,4.336038982843535,2.7029023562413093,10.180599359109497,1.8611014344516048,0.7037782963597337
dd1_age15_noheight,dd_pr_anchor_used,true,135,4,2.962962962962963,3.392533182556256,2.180946524362668,10.532556744025927,1.0122018016102623,0.6491299267044003
dd1_age15_noheight,dd_pr_anchor_used,false,65,0,0.0,9.094195682794131,9.23031963755738,15.760622700248117,10.121104006514878,0.7559289460184544
dd1_age15_noheight,high_dd_blend,true,135,4,2.962962962962963,3.392533182556256,2.180946524362668,10.532556744025927,1.0122018016102623,0.6491299267044003
dd1_age15_noheight,high_dd_blend,false,65,0,0.0,9.094195682794131,9.23031963755738,15.760622700248117,10.121104006514878,0.7559289460184544
dd1_age15_noheight,widelane_anchor_used,true,34,0,0.0,2.384019962245132,1.8602652671717852,3.5475421644042178,2.4333528703144447,0.6950613210801773
dd1_age15_noheight,widelane_anchor_used,false,166,4,2.4096385542168677,5.83167482114686,3.7704123846873525,14.208202598629626,1.7373524500093707,0.7071067811865476
dd1_age15_noheight,rsp_correction_used,true,0,0,0.0,nan,nan,nan,nan,nan
dd1_age15_noheight,rsp_correction_used,false,200,4,2.0,5.245573495133567,3.4856836438476737,14.033202955410964,1.9030129206591742,0.6965003930455443
dd1_age15_noheight,height_released,true,0,0,0.0,nan,nan,nan,nan,nan
dd1_age15_noheight,height_released,false,200,4,2.0,5.245573495133567,3.4856836438476737,14.033202955410964,1.9030129206591742,0.6965003930455443
shift3_age15_height,tdcp_used,true,35,0,0.0,29.943554141499057,30.30584117768667,31.850889395698758,23.330596414215627,0.7099897859159257
shift3_age15_height,tdcp_used,false,165,1,0.6060606060606061,14.644795766906398,10.12174547874623,31.78026049127226,8.510554944888042,0.7071067811865476
shift3_age15_height,last_velocity_used,true,142,1,0.704225352112676,11.592463965032415,8.825316386951613,30.385303691913442,6.1365564041537155,0.6886426441931864
shift3_age15_height,last_velocity_used,false,58,0,0.0,31.349755404438273,30.520147772121746,42.87020189791711,24.609416968460337,0.726523701073447
shift3_age15_height,dd_pr_anchor_used,true,97,1,1.0309278350515463,12.342156419794453,7.900377975342662,30.39470798038199,2.3776389342340702,0.6169067837277019
shift3_age15_height,dd_pr_anchor_used,false,103,0,0.0,22.01190799778602,24.617346051484148,31.857284820691035,15.564867674249617,0.7559289460184544
shift3_age15_height,high_dd_blend,true,29,0,0.0,16.43015501618814,16.649960444106966,30.506907381156704,26.604332958840832,0.6020310008688736
shift3_age15_height,high_dd_blend,false,171,1,0.5847953216374269,17.473340356857115,15.106667511556,31.845960979048854,8.518590994409731,0.7240638560586335
shift3_age15_height,widelane_anchor_used,true,14,0,0.0,10.61625650322145,1.4325737880414,28.00986253144939,2.0172881545098984,0.6038543635737583
shift3_age15_height,widelane_anchor_used,false,186,1,0.5376344086021505,17.826817771220014,15.569350349768808,31.83973330783536,10.638910891643178,0.7095458367103425
shift3_age15_height,rsp_correction_used,true,1,0,0.0,27.197216413173475,27.197216413173475,27.197216413173475,1.0350915126572455,0.5298430917548484
shift3_age15_height,rsp_correction_used,false,199,1,0.5025125628140703,17.27245467376306,15.106667511556,31.83309506140834,10.578483508954074,0.7071067811865476
shift3_age15_height,height_released,true,139,1,0.7194244604316546,11.209180271528437,8.65228771716686,30.319065719663325,6.2180674792307205,0.6941785180947775
shift3_age15_height,height_released,false,61,0,0.0,31.25146948769787,30.444216084700123,42.76246085378857,23.756416902867286,0.7152852501215661
shift3_age15_noheight,tdcp_used,true,35,4,11.428571428571429,2.924136892551779,1.653762422269603,10.87092448002586,1.035050061037547,0.7240997585786455
shift3_age15_noheight,tdcp_used,false,165,5,3.0303030303030303,6.746545229270228,3.5147907231219615,16.44634825771747,2.778677506041384,0.7015614678598857
shift3_age15_noheight,last_velocity_used,true,142,5,3.5211267605633805,5.251943756170539,3.4189001897435034,15.658293197258477,2.2728770439504897,0.6965003935218425
shift3_age15_noheight,last_velocity_used,false,58,4,6.896551724137931,8.099116218839367,2.9212492107984156,38.91188906152915,2.6164531201516965,0.7307304571193959
shift3_age15_noheight,dd_pr_anchor_used,true,129,9,6.976744186046512,3.2835242565113,2.3124566580734216,9.935123841921667,1.5402750691715483,0.6434354339465582
shift3_age15_noheight,dd_pr_anchor_used,false,71,0,0.0,11.154227112379465,10.18677836597533,38.38705674208036,10.75512270732633,0.7559289460184544
shift3_age15_noheight,high_dd_blend,true,17,0,0.0,5.243570481985311,3.5231741599644795,13.174245722216115,7.209560137137918,0.6344522291880577
