target,positive_windows,windows,positive_rate,prob_mean,roc_auc,average_precision,brier
ratio_mean_ge3,40,197,0.20304568527918782,0.27735557532396937,0.7657759128519226,0.43815112498673414,0.15016952288922575
ratio_mean_ge5,30,197,0.15228426395939088,0.20635718024975302,0.5627941651687627,0.2699595618400752,0.15620818787039717
ratio_p90_ge10,28,197,0.14213197969543148,0.19503366328134114,0.5854279477865845,0.2672713235630596,0.1470464282195632
ratio_p95_ge15,26,197,0.1319796954314721,0.1818934566544503,0.5791532967532929,0.1918984851305147,0.1397610850116809
ratio_rise_mean_ge2,21,197,0.1065989847715736,0.1476534044563493,0.6355465700172683,0.18535821868070115,0.11618499977569098
lock_p90p50_ge100,56,197,0.28426395939086296,0.3140174383907844,0.6103007017656517,0.36042954531238813,0.21931681889800253
lock_rise_p90p50_ge50,37,197,0.18781725888324874,0.23131775513907402,0.7713433145405751,0.39383328653791594,0.1494651221961885
lock_carry_or_rise,58,197,0.29441624365482233,0.3237757317866556,0.6197551412637703,0.3744034159722455,0.22636110388724853
ratio_or_lock_carry,68,197,0.34517766497461927,0.3887860484637126,0.601355571076653,0.43746021900512205,0.24339577841205332
