backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.330000,0.000000,0.000000,tokyo,80.000000,50.000000,9.799999,231.657074,123.848756,0.138660,59.888290,0.343838,"PF-RichGate(b=0,p=0,d=80)",100,0.023529,50.000000,99.741247,132.996797,224.382354,0.000000,138.227919,139.091144,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-hybrid,0.700000,0.000000,0.000000,tokyo,80.000000,28.000000,5.399999,128.683579,66.332353,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=80)",100,0.064935,28.000000,53.595648,77.577677,127.096363,0.000000,77.251275,83.959427,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.950000,0.000000,0.000000,tokyo,80.000000,1.000000,0.000000,104.887453,51.205930,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=80)",100,0.013605,1.000000,53.528553,63.581649,72.782221,0.000000,54.383664,60.348931,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.840000,0.000000,0.000000,nagoya,80.000000,22.000000,4.200001,102.716114,95.045693,0.001272,86.577674,0.027898,"PF-RichGate(b=0,p=0,d=80)",100,0.006711,35.000000,99.480412,100.069937,101.643470,0.000000,95.633237,102.352197,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,80.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=80)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.000000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.930000,0.000000,0.000000,nagoya,80.000000,32.000000,6.199999,147.512511,104.261067,0.038108,99.847337,0.170577,"PF-RichGate(b=0,p=0,d=80)",100,0.019481,56.000000,102.562072,109.247334,140.128790,0.000000,105.903469,108.858094,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,90.000000,50.000000,9.799999,231.657074,119.919574,0.138660,59.888290,0.343838,"PF-RichGate(b=0,p=0,d=90)",100,0.023529,50.000000,99.741247,108.317451,224.382354,0.000000,133.957269,134.898321,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-hybrid,0.520000,0.000000,0.000000,tokyo,90.000000,41.000000,8.000000,128.683579,73.204794,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=90)",100,0.064935,41.000000,57.618542,120.243701,127.096363,0.000000,84.845498,92.709060,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.810000,0.000000,0.000000,tokyo,90.000000,11.000000,2.000000,113.692293,57.757496,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=90)",100,0.013605,12.000000,56.703592,65.650043,109.508653,0.000000,63.019436,70.077376,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.420000,0.000000,0.000000,nagoya,90.000000,12.000000,2.200000,102.716114,81.704302,0.001272,86.577674,0.027898,"PF-RichGate(b=0,p=0,d=90)",100,0.006711,12.000000,74.325651,98.884984,101.643470,0.000000,83.295093,91.606755,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,90.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=90)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.000000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.910000,0.000000,0.000000,nagoya,90.000000,32.000000,6.199999,147.512511,103.310276,0.038108,99.847337,0.170577,"PF-RichGate(b=0,p=0,d=90)",100,0.019481,54.000000,101.653231,108.705606,140.128790,0.000000,105.130205,108.060675,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.170000,0.000000,0.000000,tokyo,100.000000,50.000000,9.799999,231.657074,110.224405,0.138660,59.888290,0.343838,"PF-RichGate(b=0,p=0,d=100)",100,0.023529,50.000000,99.741247,108.317451,224.382354,0.000000,122.277566,123.352744,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-hybrid,0.000000,0.000000,0.000000,tokyo,100.000000,57.000000,11.199999,128.683579,100.197013,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0,d=100)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.000000,103.108256,112.999814,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.270000,0.000000,0.000000,tokyo,100.000000,37.000000,7.200001,119.972764,91.276962,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0,d=100)",100,0.013605,52.000000,102.044393,111.997196,119.096210,0.000000,95.093684,103.173748,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,100.000000,0.000000,0.000000,83.303181,70.492390,0.001272,86.577674,0.027898,"PF-RichGate(b=0,p=0,d=100)",100,0.006711,0.000000,69.791065,72.913330,81.831671,0.000000,70.790615,84.405552,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,100.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0,d=100)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.000000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.340000,0.000000,0.000000,nagoya,100.000000,32.000000,6.199999,147.512511,66.859552,0.038108,99.847337,0.170577,"PF-RichGate(b=0,p=0,d=100)",100,0.019481,32.000000,54.204931,98.645059,140.128790,0.000000,79.411429,81.352910,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
