model,windows,actual_fix_rate_pct,pred_fix_rate_pct,aggregate_error_pp,window_mae_pp,window_weighted_mae_pp,window_rmse_pp,epoch_weighted_rmse_pp,run_mae_pp,run_max_abs_pp,r2_window,corr_window,under_20pp_count,over_20pp_count,residual_model,alpha,residual_clip_pp,selection_max_run_mae_pp,selection_max_abs_aggregate_error_pp
base,197,17.899032007348264,16.240535208462898,-1.6584967988853672,17.800650818973324,18.046394941974526,26.527112626306064,26.860834643903324,4.435719198894998,9.43566591422122,0.1510883524806308,0.40135730810657727,30,23,base,0.0,0.0,4.5,2.0
ridge_alpha0.75_clip50pp,197,17.899032007348264,18.084345686497088,0.18531367914882413,17.97063630653726,18.264100361139132,25.441277479424297,25.761277816848175,5.167764520006194,11.726956530726577,0.21916304496181904,0.4714053927294649,29,38,ridge,0.75,50.0,,
extra_trees_alpha0.75_clip50pp,197,17.899032007348264,16.431510135646437,-1.4675218717018268,18.02657020831785,18.275196355643597,26.42615429310728,26.7398950523322,5.1679791094582415,10.827682423640614,0.15753772496601837,0.403838742854784,34,27,extra_trees,0.75,50.0,,
