method,n_epochs,time_ms_per_epoch,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_threshold_m,ppc_n_epochs,ppc_fallback_epoch_weighted,rms_2d,p50,p95,max_2d,tdcp_used_epochs,tdcp_use_rate_pct,tdcp_velocity_rmse_mps,tdcp_postfit_rms_median,last_velocity_max_age_s,dd_pr_anchor_epochs,dd_pr_anchor_rate_pct,dd_anchor_blend_alpha,dd_anchor_high_blend_alpha,dd_anchor_high_min_shift_m,dd_anchor_high_max_robust_rms_m,dd_anchor_high_blend_epochs,widelane_enabled,widelane_anchor_epochs,widelane_anchor_rate_pct,widelane_anchor_blend_alpha,widelane_max_shift_m,widelane_max_robust_rms_m,widelane_veto_rms_band_min_m,widelane_veto_rms_band_max_m,widelane_veto_min_kept_pairs,height_hold_alpha,height_hold_release_on_last_velocity,height_hold_release_on_dd_shift,height_hold_release_min_dd_shift_m,height_hold_reference_max_dd_rms_m,height_hold_reference_trusted,height_hold_reference_alt_m,rsp_correction_enabled,rsp_correction_epochs,rsp_correction_rate_pct,rsp_n_particles,rsp_spread_m,rsp_sigma_m,rsp_huber_k_m,rsp_stein_steps,rsp_stein_step_size,rsp_repulsion_scale,rsp_min_dd_shift_m,rsp_max_dd_shift_m,rsp_min_dd_rms_m,rsp_max_dd_rms_m
WLS,200,0.08308882010169327,0.0,0.0,284.14402457882227,0.0,0.5,200,False,54.66877976358277,52.478107935320594,77.68085887251775,84.67517729720535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDCP + DD-PR/WL anchors,200,,5.703228718778562,16.20538361247261,284.14402457882227,4.5,0.5,200,False,7.86685134407643,1.5319375469039742,10.348848555986963,45.19586487358606,35,17.587939698492463,0.20355640521768079,0.02528151227510457,15.0,129,64.5,0.3,1.0,3.0,0.7,17,True,31,15.5,1.0,5.0,0.8,0.15,0.35,4,1.0,True,False,0.4,0.7,False,69.76495473552495,True,0,0.0,64,1.0,1.0,1.0,1,0.1,0.25,0.85,1.4,0.45,0.7
