backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,0.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=0)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.180000,0.000000,0.000000,tokyo,0.000000,59.000000,11.600000,119.972764,97.056135,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=0)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,99.898540,108.071287,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.120000,0.000000,0.000000,nagoya,0.000000,0.000000,0.000000,96.843405,75.768401,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=0)",100,0.066667,0.000000,75.103069,77.175569,95.464543,0.250000,76.131448,79.672535,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,5.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=5)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.180000,0.000000,0.000000,tokyo,5.000000,59.000000,11.600000,119.972764,97.056135,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=5)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,99.898540,108.071287,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.120000,0.000000,0.000000,nagoya,5.000000,0.000000,0.000000,96.843405,75.768401,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=5)",100,0.066667,0.000000,75.103069,77.175569,95.464543,0.250000,76.131448,79.672535,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,10.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=10)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.170000,0.000000,0.000000,tokyo,10.000000,59.000000,11.600000,119.972764,97.091047,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=10)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,99.923840,108.085688,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.120000,0.000000,0.000000,nagoya,10.000000,0.000000,0.000000,96.843405,75.768401,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=10)",100,0.066667,0.000000,75.103069,77.175569,95.464543,0.250000,76.131448,79.672535,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.270000,0.000000,0.000000,tokyo,20.000000,57.000000,11.199999,128.683579,90.072205,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=20)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.258713,107.812145,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.160000,0.000000,0.000000,tokyo,20.000000,59.000000,11.600000,119.972764,97.156611,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=20)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,99.968576,108.104693,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.110000,0.000000,0.000000,nagoya,20.000000,0.000000,0.000000,96.843405,75.766427,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=20)",100,0.066667,0.000000,75.103069,77.175569,95.464543,0.250000,76.129271,79.740947,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.270000,0.000000,0.000000,tokyo,40.000000,57.000000,11.199999,128.683579,90.072205,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=40)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.258713,107.812145,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.150000,0.000000,0.000000,tokyo,40.000000,59.000000,11.600000,119.972764,97.251375,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=40)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,100.031868,108.127118,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.110000,0.000000,0.000000,nagoya,40.000000,0.000000,0.000000,96.843405,75.766427,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=40)",100,0.066667,0.000000,75.103069,77.175569,95.464543,0.250000,76.129271,79.740947,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
