elapsed_ms,forward_p50,forward_p95,forward_rms_2d,n_epochs,position_update_sigma,predict_guide,run,sigma_pos,sigma_pos_tdcp,sigma_pos_tdcp_tight,tag,tdcp_tight_rms_max_m
10345.746157981921,1.7231671946214693,12.519784346848168,6.187769881414486,12228,3.0,spp,Odaiba,2.0,,,spp_baseline,1000000000.0
9754.679098026827,1.7220441768352799,12.673307553028542,6.267995523202137,12228,2.4,spp,Odaiba,2.0,,,spp_pu24,1000000000.0
9597.573944018222,1.7161774641417633,12.756973600196828,6.381711175423306,12228,2.2,spp,Odaiba,2.0,,,spp_pu22,1000000000.0
9568.285626999568,1.7538327991086855,12.323023074648912,6.190663395808996,12228,3.0,spp,Odaiba,1.5,,,spp_sp15_pu30,1000000000.0
17508.17702600034,1.8208877889335255,12.339245232471933,6.162641149013237,12228,3.0,tdcp,Odaiba,2.0,1.0,,tdcp_sp10,1000000000.0
17508.941191015765,1.7654502160940724,12.547495017075144,6.2705009422006555,12228,2.5,tdcp,Odaiba,2.0,1.0,,tdcp_sp10_pu25,1000000000.0
17571.595400979277,1.7401351200942843,12.722203555239764,6.35957735637424,12228,2.0,tdcp,Odaiba,2.0,1.0,,tdcp_sp10_pu20,1000000000.0
17638.292712974362,1.8865553594991582,12.434717081034746,6.206985062738257,12228,3.0,tdcp,Odaiba,2.0,1.0,0.8,tdcp_sp08_t15,15.0
17700.24164998904,1.922323863414348,14.648180852339927,6.571079173748464,12228,3.0,tdcp,Odaiba,2.0,0.6,,tdcp_sp06,1000000000.0
