epoch,error_2d,posterior_std_2d,posterior_std_x,posterior_std_y,posterior_std_z,kurtosis_2d,ess,n_sat
78,20192.8882,7.4982,9.3699,9.0135,12.6637,29.1716,10000.0,15
79,20191.1506,7.4302,9.1560,7.9455,12.6344,28.3678,10000.0,15
80,20188.6968,6.9354,8.4858,6.7839,11.1935,29.1077,10000.0,15
81,20186.6097,5.6696,7.3272,6.2055,9.0434,36.5430,10000.0,15
82,20186.1214,4.5246,6.4204,5.6224,6.9607,42.8788,10000.0,15
83,20186.6271,4.3520,5.8282,5.9093,6.6670,39.3007,10000.0,15
84,20186.4605,4.4656,5.6720,6.5146,6.7652,40.9670,10000.0,15
85,20186.0701,4.4997,5.8160,6.6546,6.8586,38.9748,10000.0,15
86,20185.3810,4.7252,6.2135,6.6786,6.6997,37.8892,10000.0,15
87,20185.2691,4.3850,5.7109,6.2040,7.3342,36.6505,10000.0,15
88,20185.9701,4.2773,5.8544,5.3482,7.7004,36.3356,10000.0,14
89,20185.8211,4.5097,6.5352,5.2419,7.3223,34.7749,10000.0,14
90,20185.1556,4.7074,7.2421,5.5143,6.8406,35.7839,10000.0,14
91,20184.7744,4.6101,7.1870,5.9658,6.8371,38.5562,10000.0,14
92,20184.2203,4.5567,7.8899,6.6175,6.8767,48.5333,10000.0,14
93,20184.3965,4.2838,7.2629,7.2692,7.2397,57.9331,10000.0,14
94,20185.0856,4.3531,8.0164,7.6211,7.7018,67.9725,10000.0,14
95,20184.7064,4.5191,9.7495,7.6930,7.1952,84.0957,10000.0,14
96,20184.7437,4.6085,10.6603,7.3876,7.0321,92.2155,10000.0,13
97,20184.2080,5.3823,10.2628,6.5832,6.5366,49.0873,10000.0,13
98,20184.1680,5.6888,9.8876,6.4058,6.3758,38.7821,10000.0,13
99,20183.4912,5.7945,9.9352,6.6935,6.1374,37.0167,10000.0,13
100,20182.7391,5.5310,10.2479,7.2430,6.0285,45.6185,10000.0,13
101,20182.2534,5.4077,10.0794,7.6195,5.7237,50.4339,10000.0,13
102,20182.4960,5.6218,10.0462,8.1562,5.8715,47.7185,10000.0,13
103,20182.9293,5.9506,10.7446,8.6272,5.8291,48.9016,10000.0,13
104,20182.3423,6.0774,11.3561,9.1551,6.0881,56.6105,10000.0,13
105,20182.1998,6.0025,12.5586,10.0847,6.4756,84.3231,10000.0,13
106,20181.0663,5.8503,13.3072,9.7766,6.3055,97.6413,10000.0,13
107,20179.9377,5.4144,13.8189,9.9400,6.5762,138.5148,10000.0,13
108,20178.5528,4.3435,13.2388,10.9420,6.8198,304.9343,10000.0,13
109,20177.0145,5.2325,12.9504,10.9091,6.6348,152.5880,10000.0,13
110,20176.0475,7.3241,12.6350,10.3987,6.0528,47.6496,10000.0,13
111,20176.3415,8.6017,11.2200,9.4918,5.7943,25.9220,10000.0,13
112,20176.7893,7.9410,8.5750,9.0207,5.6626,25.6383,10000.0,13
113,20176.6079,7.4181,8.4629,8.7179,5.9504,27.0235,10000.0,13
114,20176.3476,7.2625,8.6941,8.7421,6.3723,28.3156,10000.0,13
115,20176.2565,7.7181,8.8922,9.8809,6.5949,28.2632,10000.0,13
116,20177.0206,8.0203,8.8952,11.8434,7.1315,31.0491,10000.0,13
117,20178.0707,7.4333,9.1932,12.5110,7.2737,40.9229,10000.0,13
118,20178.4263,6.7794,9.4759,12.6918,7.2210,54.1836,10000.0,13
119,20178.8680,5.8915,9.8225,13.1387,7.0846,90.8817,10000.0,13
120,20178.9825,5.3813,10.2572,12.9199,6.7602,126.2868,10000.0,13
121,20178.7694,5.3155,10.6444,12.4284,6.2669,128.4819,10000.0,13
122,20178.9645,5.6368,11.6061,12.2084,6.2409,115.9637,10000.0,13
123,20179.3668,6.1246,12.6544,11.9262,6.5644,97.1346,10000.0,13
124,20180.0418,6.4734,12.8149,12.6130,6.3137,87.5032,10000.0,13
125,20181.2966,7.2357,12.6733,13.0145,6.1470,62.9980,10000.0,13
126,20181.5278,6.6017,12.5076,14.0498,6.2314,95.0379,10000.0,13
127,20181.1522,6.2872,12.2253,14.3346,6.1215,113.1000,10000.0,13
128,20180.5365,5.8539,12.6037,14.0978,6.3925,149.2678,10000.0,13
129,20180.2294,6.3772,12.8360,14.1237,6.5044,113.2570,10000.0,13
130,20179.9453,6.5612,13.5745,14.9099,6.7294,122.2100,10000.0,13
131,20179.7581,6.1416,14.3419,16.0052,6.4406,192.2544,10000.0,13
