segment_label,pf_rms_2d,pf_p95,best_robust_clear,best_robust_clear_rms_2d,best_blocked_clear,best_blocked_clear_rms_2d,best_blocked_clear_p95
tokyo_run2_seg808,107.482215,133.042358,PF+RobustClear(clear=0.001),106.296899,PF3D-BVH+BlockedClear(clear=0.000),65.113653,105.082532
tokyo_run3_seg774,98.051466,109.398766,PF+RobustClear(clear=0.000),96.232231,PF3D-BVH+BlockedClear(clear=0.000),53.316409,72.400417
