method,n_epochs,time_ms_per_epoch,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_threshold_m,ppc_n_epochs,ppc_fallback_epoch_weighted,rms_2d,p50,p95,max_2d,tdcp_used_epochs,tdcp_use_rate_pct,tdcp_velocity_rmse_mps,tdcp_postfit_rms_median,last_velocity_max_age_s,dd_pr_anchor_epochs,dd_pr_anchor_rate_pct,dd_anchor_blend_alpha,dd_anchor_high_blend_alpha,dd_anchor_high_requires_untrusted_height,dd_anchor_high_min_shift_m,dd_anchor_high_max_robust_rms_m,dd_anchor_high_blend_epochs,widelane_enabled,widelane_anchor_epochs,widelane_anchor_rate_pct,widelane_anchor_blend_alpha,widelane_max_shift_m,widelane_max_robust_rms_m,widelane_veto_rms_band_min_m,widelane_veto_rms_band_max_m,widelane_veto_min_kept_pairs,height_hold_alpha,height_hold_release_on_last_velocity,height_hold_release_on_dd_shift,height_hold_release_min_dd_shift_m,height_hold_reference_max_dd_rms_m,height_hold_reference_trusted,height_hold_reference_alt_m,rsp_correction_enabled,rsp_correction_epochs,rsp_correction_rate_pct,rsp_n_particles,rsp_spread_m,rsp_sigma_m,rsp_huber_k_m,rsp_stein_steps,rsp_stein_step_size,rsp_repulsion_scale,rsp_min_dd_shift_m,rsp_max_dd_shift_m,rsp_min_dd_rms_m,rsp_max_dd_rms_m
WLS,200,0.14227828942239285,0.0,0.0,467.3072500703322,0.0,0.5,200,False,71.75651274879675,70.21844762431549,88.69452643067672,102.97263315302348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDCP + DD-PR/WL anchors,200,,66.20727540686791,309.39139805032573,467.3072500703322,67.5,0.5,200,False,0.47785854144890083,0.2076714325857825,1.0810296845000735,1.705903470087427,109,54.77386934673367,0.47582761005129887,0.004013674028423502,15.0,200,100.0,0.3,1.0,True,3.0,0.7,0,True,77,38.5,1.0,5.0,0.8,0.15,0.35,4,1.0,True,False,0.4,0.7,True,39.34772379603237,True,18,9.0,64,1.0,1.0,1.0,1,0.1,0.25,0.85,1.4,0.45,0.7
