city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced
tokyo,run1,RBPF-velKF+DD+gate+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.3214673895210445,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,0,0,0,0,0,0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,11951,11861,99.24692494351937,39.573225193444216,4083.1431755073277,10317.943901584624,1.6456449634971324,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,1,443,443,297,2573,7803
tokyo,run2,RBPF-velKF+DD+gate+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,1.6015402391721065,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,0,0,0,0,0,0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9151,9106,99.50825046443012,69.94168165931293,5004.091406374573,7154.662695629173,1.9750962463016697,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,1,341,341,219,2362,3858
tokyo,run3,RBPF-velKF+DD+gate+hybrid,20000,15301,15292,99.94118031501209,59.709390445420524,9746.850991817115,16323.81593432371,1.7143420261570128,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,0,0,0,0,0,0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,15301,15292,99.94118031501209,60.48238451658612,9873.033121177421,16323.81593432371,2.1269944647613066,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,1,594,594,417,4722,11394
nagoya,run1,RBPF-velKF+DD+gate+hybrid,20000,7651,7541,98.562279440596,53.91901668122852,2405.3850916373776,4461.107118956035,1.5593891534319513,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,0,0,0,0,0,0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,7651,7541,98.562279440596,53.21437096144289,2373.9500912686017,4461.107118956035,2.0373749501381733,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,1,268,268,136,1809,3702
nagoya,run2,RBPF-velKF+DD+gate+hybrid,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.4526126811474596,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,0,0,0,0,0,0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9451,9431,99.78838218177971,21.230978116229497,1006.5993086231645,4741.181979994103,1.6987251612865277,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,1,349,349,202,2036,7680
nagoya,run3,RBPF-velKF+DD+gate+hybrid,20000,5201,5201,100.0,34.11734341843869,1135.4129909220906,3327.9642467955387,1.2654852897603508,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,0,0,0,0,0,0
nagoya,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,5201,5201,100.0,32.64242076420254,1086.3280923212235,3327.9642467955387,1.5280284830027935,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,1,197,197,141,1102,3600
