label,group,value,n_epochs,ppc_pass_epochs,ppc_epoch_pass_pct,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,median_dd_shift_m,median_dd_robust_rms_m
default_age8,tdcp_used,true,35,0,0.0,32.00633708153063,30.188030161003933,45.67028919758189,24.604029964670122,0.7076417230755769
default_age8,tdcp_used,false,165,0,0.0,22.190036654471154,19.911017992879643,44.09216588840282,16.10748849659802,0.7071067811865476
default_age8,last_velocity_used,true,107,0,0.0,14.92162298932145,13.635254176582748,32.33951918985899,11.537010954293752,0.7071078985095409
default_age8,last_velocity_used,false,93,0,0.0,34.24692673100987,31.880459781910112,45.56294768543678,25.590502086296926,0.7071067811865476
default_age8,dd_pr_anchor_used,true,88,0,0.0,18.011882127881552,15.976219236317098,33.51621863654353,14.105663332266229,0.6292706071005696
default_age8,dd_pr_anchor_used,false,112,0,0.0,28.540466237390508,30.129635812024553,45.56395544554626,20.008932613016718,0.745726445184862
default_age8,high_dd_blend,true,0,0,0.0,nan,nan,nan,nan,nan
default_age8,high_dd_blend,false,200,0,0.0,23.907889229206567,27.776598337668084,45.54012537197009,17.75848461933593,0.7071067811865476
default_age8,widelane_anchor_used,true,9,0,0.0,3.438888661444641,3.458494420021454,3.552994203566993,2.8064597751682516,0.7334712661380685
default_age8,widelane_anchor_used,false,191,0,0.0,24.872397109362883,29.616136568011896,45.54036699560503,18.410988148739325,0.7071067811865476
default_age8,rsp_correction_used,true,1,0,0.0,27.27519069152254,27.27519069152254,27.27519069152254,1.284247770142715,0.595607277137021
default_age8,rsp_correction_used,false,199,0,0.0,23.8909681163306,27.998578433291662,45.540152219040635,17.79673715293514,0.7071067811865476
default_age8,height_released,true,107,0,0.0,14.92162298932145,13.635254176582748,32.33951918985899,11.537010954293752,0.7071078985095409
default_age8,height_released,false,93,0,0.0,34.24692673100987,31.880459781910112,45.56294768543678,25.590502086296926,0.7071067811865476
dd1_age15,tdcp_used,true,35,0,0.0,29.87235363924452,30.301621822707734,31.850889379590672,23.7564169032757,0.7240638566274026
dd1_age15,tdcp_used,false,165,0,0.0,15.054151734584014,10.476322617683671,31.41481228708144,10.065962659538572,0.708468235558866
