backend,blocked_epoch_frac,catastrophic_rate_pct,city,gate_threshold,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_gate_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.100000,0.000000,nagoya,0.005000,0.000000,0.000000,96.309228,75.354239,0.003486,PF-Gated(th=0.005),100,0.066667,0.000000,75.103069,77.089616,92.144652,75.645860,79.022419,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.080000,0.000000,nagoya,0.010000,0.000000,0.000000,95.531339,74.921434,0.003486,PF-Gated(th=0.01),100,0.066667,0.000000,75.074592,76.850244,85.078392,75.168008,78.456528,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.060000,0.000000,nagoya,0.020000,0.000000,0.000000,95.461028,74.561754,0.003486,PF-Gated(th=0.02),100,0.066667,0.000000,75.074592,76.351721,82.289883,74.758660,78.002228,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.010000,0.000000,nagoya,0.050000,0.000000,0.000000,84.049956,73.949443,0.003486,PF-Gated(th=0.05),100,0.066667,0.000000,75.074592,76.288202,80.392926,74.065014,77.342142,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
WLS,nan,0.000000,nagoya,nan,0.000000,0.000000,70.428449,64.846767,nan,WLS,100,0.019481,0.000000,67.093975,67.448596,68.637017,65.230378,67.941824,run3,nagoya_run3_seg235,235,166238c5838382f5,0.010770
EKF,nan,0.000000,nagoya,nan,0.000000,0.000000,69.621328,65.429459,nan,EKF,100,0.019481,0.000000,67.024267,67.319047,68.597772,65.548889,66.077420,run3,nagoya_run3_seg235,235,166238c5838382f5,0.028873
GPU,nan,0.000000,nagoya,nan,0.000000,0.000000,66.650052,33.402995,nan,PF,100,0.019481,0.000000,32.942056,35.289150,60.777583,36.295520,38.966015,run3,nagoya_run3_seg235,235,166238c5838382f5,1.421208
GPU-3D,nan,0.000000,nagoya,nan,0.000000,0.000000,67.107246,28.934910,nan,PF+RobustClear,100,0.019481,0.000000,23.139811,39.435511,63.058374,35.017754,38.962212,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-3D-BVH,nan,0.000000,nagoya,nan,32.000000,6.199999,147.512511,106.232573,nan,PF3D-BVH+BlockedOnly,100,0.019481,58.000000,102.787615,109.247334,140.128790,107.401134,110.496043,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,1.000000,0.000000,nagoya,0.000000,32.000000,6.199999,147.512511,106.232573,0.038108,PF-Gated(th=0),100,0.019481,58.000000,102.787615,109.247334,140.128790,107.401134,110.496043,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.650000,0.000000,nagoya,0.001000,27.000000,5.199999,147.512511,85.362652,0.038108,PF-Gated(th=0.001),100,0.019481,36.000000,92.003892,102.408303,140.128790,92.445140,94.898767,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.540000,0.000000,nagoya,0.005000,25.000000,4.799999,147.512511,77.551565,0.038108,PF-Gated(th=0.005),100,0.019481,28.000000,90.237768,97.518978,140.128790,86.985149,89.330331,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.490000,0.000000,nagoya,0.010000,25.000000,4.799999,147.512511,74.793010,0.038108,PF-Gated(th=0.01),100,0.019481,27.000000,63.532225,95.861364,140.128790,84.857450,87.081874,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.470000,0.000000,nagoya,0.020000,25.000000,4.799999,147.512511,73.449906,0.038108,PF-Gated(th=0.02),100,0.019481,27.000000,62.200356,95.861364,140.128790,83.954950,86.138960,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-hybrid,0.260000,0.000000,nagoya,0.050000,9.000000,1.600000,147.512511,55.496059,0.038108,PF-Gated(th=0.05),100,0.019481,16.000000,46.534583,62.171605,122.439859,67.547872,69.923493,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
