epoch,error_2d,posterior_std_2d,posterior_std_x,posterior_std_y,posterior_std_z,kurtosis_2d,ess,n_sat
0,5190097.2465,32.7366,49.8168,49.4797,49.9579,42.8715,100000.0,14
50,5190105.1035,4.6077,6.6989,7.2913,9.6515,43.0494,100000.0,14
100,5190107.7144,5.6840,8.0943,8.8162,8.0037,41.4012,100000.0,13
150,5190096.3931,4.9873,7.3434,8.2299,8.7074,46.0148,100000.0,12
200,5190086.7626,5.7411,9.0946,7.4567,6.6058,40.9344,100000.0,12
250,5190069.7417,6.4764,10.9581,11.0486,11.9061,56.7823,100000.0,12
300,5190055.9058,5.2035,9.2799,7.0814,8.1418,48.7291,100000.0,13
350,5190042.5924,8.6115,11.9083,10.8456,8.4143,32.6284,100000.0,12
400,5190020.8541,7.2320,9.1670,11.9145,9.6450,40.3587,100000.0,13
450,5189982.9087,5.4704,10.6213,6.3414,7.0301,54.8544,100000.0,14
500,5189966.3830,9.4076,12.6656,12.3450,9.6980,40.3236,100000.0,12
550,5189951.8502,5.5802,8.4231,8.0658,9.0352,45.5499,100000.0,11
600,5189955.7530,5.6621,10.2920,9.0841,8.3684,63.9795,100000.0,14
650,5189982.5467,6.0816,6.5296,7.6301,7.3161,31.8497,100000.0,13
700,5189965.1981,6.9246,13.1699,8.7388,6.7437,49.3320,100000.0,14
750,5189958.8061,5.8495,8.1734,9.9072,7.1568,44.0758,100000.0,14
800,5189952.4158,8.5584,11.8131,12.4397,9.2845,41.6163,100000.0,14
850,5189946.4462,8.3718,14.7770,11.1051,11.7808,51.2118,100000.0,14
900,5189968.2986,8.1692,13.2017,8.5684,12.1616,36.2724,100000.0,14
950,5189980.7987,9.3173,11.7324,8.8471,6.2176,26.3802,100000.0,14
1000,5190012.6474,6.6314,10.5731,11.8767,13.9449,58.8693,100000.0,15
1050,5190038.9204,5.1087,7.1104,8.4537,8.3906,44.9788,100000.0,15
1100,5190067.4787,5.9800,8.5439,13.0676,22.0156,77.0044,100000.0,17
1150,5190102.3542,4.8887,6.6694,7.0264,6.9281,36.1222,100000.0,18
1200,5190108.6831,7.3996,11.9933,11.4528,7.4581,50.8958,100000.0,15
1250,5190139.6192,5.8865,8.6634,9.4490,9.5716,46.2431,100000.0,16
1300,5190162.8077,6.1405,9.7813,10.3232,12.0487,55.5038,100000.0,14
1350,5190201.9724,5.7091,7.5774,8.4543,11.7487,35.4060,100000.0,15
1400,5190245.8543,6.2857,8.8875,8.1676,12.7593,35.3296,100000.0,14
1450,5190264.1914,6.3363,8.8798,8.8489,9.3891,36.1844,100000.0,12
1500,5190281.5989,6.9026,9.6546,7.6400,9.2800,33.6280,100000.0,12
1550,5190301.3381,7.9487,8.4834,13.7946,8.2542,37.1598,100000.0,15
1600,5190327.6791,6.0192,10.3451,10.0855,10.1393,57.8848,100000.0,13
1650,5190324.7265,6.1728,7.4120,9.1646,7.0381,40.5888,100000.0,14
1700,5190324.1701,6.4367,7.2554,7.4796,6.4049,30.8177,100000.0,14
1750,5190336.6393,9.7376,14.1850,11.7890,9.4771,32.4141,100000.0,15
1800,5190302.7533,5.8944,11.4084,9.8792,10.6445,73.8519,100000.0,16
1850,5190318.0096,6.5445,13.0882,12.6068,15.0830,87.9181,100000.0,15
1900,5190331.6138,7.3007,7.0890,9.2426,8.4134,41.4583,100000.0,9
1950,5190344.4738,6.4678,6.2901,8.6906,8.0125,60.8115,100000.0,10
2000,5190343.7483,4.5948,6.5911,5.8425,7.1593,41.0387,100000.0,11
2050,5190354.1879,6.5328,9.9133,9.2779,11.7615,38.3369,100000.0,12
2100,5190346.3284,6.0919,9.3045,8.5659,9.9577,43.5423,100000.0,11
2150,5190324.9484,8.1473,10.7772,11.8273,7.6347,38.7678,100000.0,12
2200,5190332.8485,6.4593,7.8056,9.7272,8.5455,46.7722,100000.0,12
2250,5190339.2534,6.8260,13.2361,15.6141,14.1356,116.6252,100000.0,12
2300,5190332.0128,9.0347,9.8117,16.5118,21.9426,37.9335,100000.0,12
2350,5190334.2047,6.4892,7.9536,9.7434,10.8303,36.8445,100000.0,12
2400,5190330.5948,8.0902,13.3755,8.2623,9.2615,35.0498,100000.0,12
2450,5190294.3788,5.2015,7.6659,6.9993,8.4607,42.2701,100000.0,12
2500,5190309.9781,5.8790,10.8454,10.8688,8.4357,81.6503,100000.0,11
2550,5190303.4311,4.0489,5.6324,6.1022,6.3188,38.8391,100000.0,11
2600,5190291.0086,6.1004,7.3724,13.0534,16.9569,61.7485,100000.0,12
2650,5190290.7236,7.1101,16.7060,10.6015,12.1173,88.2408,100000.0,12
2700,5190312.9370,8.5170,14.7898,10.9462,9.6345,43.0542,100000.0,12
2750,5190319.7728,6.1528,6.8824,11.0850,7.5664,47.5929,100000.0,11
2800,5190314.1464,9.3221,15.7117,7.0763,7.7090,35.6948,100000.0,9
2850,5190309.3722,11.0831,21.2858,11.6489,9.3219,47.1184,100000.0,9
2900,5190257.9962,7.0621,12.3482,10.7546,11.7185,52.0118,100000.0,8
2950,5190235.2483,5.2988,7.6234,6.3270,6.8150,33.5915,100000.0,12
3000,5190187.7782,4.4947,6.3982,5.7319,7.5576,41.9498,100000.0,10
3050,5190173.7309,6.6821,6.8708,15.7124,9.2472,75.5586,100000.0,12
3100,5190146.2469,5.6263,8.1493,7.6135,6.8006,38.2996,100000.0,10
3150,5190152.3401,5.8321,8.6035,5.6563,5.9827,36.0311,100000.0,13
3200,5190135.4286,5.8888,9.6252,9.0130,9.2018,49.3868,100000.0,14
3250,5190138.0480,5.3397,7.3953,8.0634,8.4564,40.3892,100000.0,14
3300,5190116.1426,4.9010,6.7348,6.6730,8.7702,41.3243,100000.0,13
3350,5190116.8892,7.7739,11.6204,9.9726,10.1317,33.0281,100000.0,12
3400,5190104.7205,7.0779,9.3705,10.8823,8.5941,36.3751,100000.0,13
3450,5190104.0682,5.9681,8.5470,8.9556,8.6277,41.4133,100000.0,13
3500,5190080.6140,6.1246,9.0451,8.7614,7.8415,52.3908,100000.0,13
3550,5190092.2941,6.9631,10.0789,9.7658,9.1363,43.1692,100000.0,12
3600,5190106.2187,8.4916,12.8778,7.9028,10.5156,31.5859,100000.0,10
3650,5190111.6087,8.2950,18.7279,10.0979,8.3422,66.5046,100000.0,13
3700,5190099.5191,4.9043,6.8673,6.7775,8.8324,36.7571,100000.0,11
3750,5190092.5611,8.2207,11.6847,8.0599,8.6623,29.7280,100000.0,7
3800,5190093.7790,9.4875,14.5640,16.8727,27.8778,53.8167,100000.0,9
3850,5190097.7175,5.6563,10.3916,8.8730,17.0028,60.8772,100000.0,8
3900,5190087.7959,5.7895,9.1758,6.9926,6.0408,38.1207,100000.0,8
3950,5190076.0031,7.5827,9.7425,9.2162,8.4917,35.6653,100000.0,8
4000,5190081.7254,7.6642,9.2314,13.6508,12.2916,42.2572,100000.0,8
4050,5190095.0333,11.1923,14.8453,13.0904,15.7236,27.2585,100000.0,8
4100,5190099.9989,16.0701,24.2953,15.9362,21.0648,31.1106,100000.0,7
4150,5190106.6835,6.4681,12.6266,12.0169,9.1169,83.7267,100000.0,7
4200,5190099.8319,6.1602,10.2041,7.4958,9.5612,40.1775,100000.0,8
4250,5190107.2946,4.9709,6.3561,9.0564,6.9676,44.6051,100000.0,8
4300,5190097.8429,4.6889,6.2183,6.6303,5.8276,42.6353,100000.0,8
4350,5190106.3926,12.3041,11.5016,20.4478,10.6578,34.8126,100000.0,8
4400,5190102.5791,9.2149,23.7876,11.3256,10.1270,98.6795,100000.0,9
4450,5190099.5263,4.8801,6.8788,6.4323,8.0268,34.7377,100000.0,9
4500,5190100.4006,6.4088,9.1853,11.9752,9.0172,54.1759,100000.0,10
4550,5190081.4108,9.0861,15.4673,11.1534,8.5992,47.0207,100000.0,11
4600,5190072.6054,6.3890,10.6552,7.4994,8.7878,39.4470,100000.0,11
4650,5190060.9108,9.1898,15.7754,15.4503,10.3169,61.0286,100000.0,11
4700,5190077.2968,8.4387,11.8092,10.4779,6.9679,29.9241,100000.0,11
4750,5190059.7146,7.2035,8.3186,10.7100,9.7945,37.2389,100000.0,10
4800,5190049.7137,6.2738,10.8999,20.6026,9.4972,240.8312,100000.0,13
4850,5190085.3233,6.4842,7.8092,10.4289,10.0508,37.5758,100000.0,5
4900,5190086.4662,8.5408,15.3630,19.9256,11.6286,108.3608,100000.0,10
4950,5190105.4192,7.1366,8.6995,12.4223,8.2049,45.5633,100000.0,10
5000,5190115.5715,5.8337,8.6851,7.5259,10.8094,45.8686,100000.0,10
5050,5190111.2925,4.5922,6.6639,7.5278,6.4689,43.8998,100000.0,8
5100,5190136.9766,7.7234,11.4832,11.0936,10.8681,38.4541,100000.0,8
5150,5190164.4825,10.0975,15.6915,9.9162,9.5738,34.8343,100000.0,7
5200,5190195.8440,4.0820,5.6290,5.2937,5.4369,77.1930,100000.0,8
5250,5190188.3404,5.6310,9.0583,7.3278,8.3188,39.8581,100000.0,8
5300,5190159.1126,5.5195,8.7537,8.6423,7.2263,47.3007,100000.0,9
5350,5190150.7890,4.4664,6.5099,6.0842,7.0689,36.4920,100000.0,8
5400,5190172.6241,6.1743,8.2378,8.6502,6.7102,39.6116,100000.0,9
5450,5190188.6836,6.2397,13.2496,13.7808,9.2014,124.9227,100000.0,6
5500,5190210.9506,5.9936,9.6862,6.8482,7.2625,36.5541,100000.0,6
5550,5190226.1875,5.1138,8.6435,7.4853,12.8685,49.0705,100000.0,6
5600,5190257.2910,4.6040,6.1370,6.0752,5.6523,37.0617,100000.0,6
5650,5190276.5906,5.7092,6.3926,7.6919,10.0231,31.7905,100000.0,7
5700,5190283.8847,6.8033,8.7608,11.9235,8.3985,45.7538,100000.0,11
5750,5190290.4690,10.2837,9.3223,15.5340,8.5922,34.1429,100000.0,4
5800,5190295.6635,9.2562,16.0412,7.5101,17.6529,32.1800,100000.0,9
5850,5190327.1815,10.5516,14.7341,12.8669,8.0403,27.7887,100000.0,8
5900,5190341.4366,6.5708,8.8598,8.8434,9.0916,32.5672,100000.0,5
5950,5190336.0167,8.4507,12.0904,14.8368,16.1919,49.6682,100000.0,11
6000,5190324.1161,7.8124,11.1810,8.7784,8.3836,38.1296,100000.0,9
6050,5190356.5203,6.0285,8.4988,8.5491,8.5792,38.2684,100000.0,14
6100,5190377.2906,6.3457,9.6252,13.5529,13.2758,74.0989,100000.0,15
6150,5190399.7891,4.8527,5.9694,6.8611,6.2672,37.2393,100000.0,15
6200,5190403.5847,6.3888,7.9895,7.8652,6.3369,32.5799,100000.0,17
6250,5190423.3353,10.1136,7.7121,21.3407,7.8031,48.3574,100000.0,13
6300,5190456.1471,6.5237,10.3730,8.4583,7.0918,39.5611,100000.0,10
6350,5190484.6043,8.4879,14.7218,8.9116,10.5037,35.6146,100000.0,6
6400,5190513.4607,6.0346,7.8794,8.1349,7.9984,37.5372,100000.0,9
6450,5190529.9640,6.6193,7.6090,10.8367,7.8734,39.4442,100000.0,11
6500,5190545.4778,6.4884,11.7858,8.9897,10.1934,51.8905,100000.0,16
6550,5190557.6597,7.5910,9.7178,9.2882,13.1597,32.6586,100000.0,16
6600,5190564.4556,7.0524,9.6894,13.7491,11.1955,54.4237,100000.0,17
6650,5190570.6942,7.3971,9.8900,10.4308,7.3175,32.2097,100000.0,17
6700,5190562.1926,7.5906,10.2981,12.3265,11.1648,43.3591,100000.0,17
6750,5190572.6165,9.3927,20.2353,11.8372,24.0655,64.0968,100000.0,17
6800,5190579.4833,8.9392,12.5740,15.9346,31.2103,51.1896,100000.0,18
6850,5190572.5708,13.1873,16.1396,21.7903,41.7648,39.7567,100000.0,18
6900,5190572.7526,4.5397,6.0232,6.3936,6.9510,35.4635,100000.0,17
6950,5190587.0618,8.0669,14.7854,9.2635,11.5377,41.7229,100000.0,15
