elapsed_ms,forward_p50,forward_p95,forward_rms_2d,n_epochs,n_particles,position_update_sigma,predict_guide,run,sigma_pos,tag
10487.950950977392,1.685319801877916,12.830384345551032,6.324794728690053,12228,100000,1.65,spp,Odaiba,2.0,spp_pu_1p65
10456.189873977564,1.6903624683886673,12.864700063371581,6.321940940787049,12228,100000,1.7,spp,Odaiba,2.0,spp_pu_1p7
10381.604266993236,1.6944615766241626,12.77738661113498,6.3135087322569285,12228,100000,1.75,spp,Odaiba,2.0,spp_pu_1p75
10356.663797982037,1.6911626288355799,12.725721890031098,6.3023399878068105,12228,100000,1.8,spp,Odaiba,2.0,spp_pu_1p8
10329.561510006897,1.685292753424089,12.78771133383855,6.395955631137291,12228,100000,1.85,spp,Odaiba,2.0,spp_pu_1p85
10299.5155499666,1.6888751189581752,12.736615084410873,6.286216417882482,12228,100000,1.9,spp,Odaiba,2.0,spp_pu_1p9
10218.271157995332,1.6716037669147537,12.776496261273035,6.366763784603059,12228,100000,1.95,spp,Odaiba,2.0,spp_pu_1p95
10273.359226994216,1.6816565555767373,12.703288643671948,6.345572276012826,12228,100000,2.0,spp,Odaiba,2.0,spp_pu_2
10247.680604981724,1.707749222981066,12.788403888637776,6.288846439809838,12228,100000,2.05,spp,Odaiba,2.0,spp_pu_2p05
10324.279488995671,1.7046646671258374,12.811203646283094,6.376811906337229,12228,100000,2.1,spp,Odaiba,2.0,spp_pu_2p1
10326.52025896823,1.675021042261583,12.683458033229188,6.32116493709475,12228,100000,2.15,spp,Odaiba,2.0,spp_pu_2p15
10358.975121984258,1.7161774641417633,12.756973600196828,6.381711175423306,12228,100000,2.2,spp,Odaiba,2.0,spp_pu_2p2
15783.557665999979,3.291319315317994,32.190050513101205,13.947878521321392,20097,100000,1.65,spp,Shinjuku,2.0,spp_pu_1p65
15719.120672962163,3.294563715439537,32.00254086648138,13.877085535127591,20097,100000,1.7,spp,Shinjuku,2.0,spp_pu_1p7
15570.55741403019,3.3281922772796606,31.968793065861796,13.81383766038176,20097,100000,1.75,spp,Shinjuku,2.0,spp_pu_1p75
15429.005954996683,3.2698020415165847,31.881206835857316,13.804059137599992,20097,100000,1.8,spp,Shinjuku,2.0,spp_pu_1p8
15494.3458159687,3.3114875872237564,31.91403390087934,13.949830467825242,20097,100000,1.85,spp,Shinjuku,2.0,spp_pu_1p85
15559.174338006414,3.295850692261992,31.996039459508754,13.85105076026148,20097,100000,1.9,spp,Shinjuku,2.0,spp_pu_1p9
15834.569992031902,3.2829130452109903,31.90637339068204,13.809494059588118,20097,100000,1.95,spp,Shinjuku,2.0,spp_pu_1p95
15866.85380100971,3.282048164144157,32.0068218703177,13.89083716526841,20097,100000,2.0,spp,Shinjuku,2.0,spp_pu_2
15784.92757404456,3.2709453163811757,31.989311348181655,13.954937007678158,20097,100000,2.05,spp,Shinjuku,2.0,spp_pu_2p05
15772.465351037681,3.333053923465716,32.257130862570094,14.106578444574586,20097,100000,2.1,spp,Shinjuku,2.0,spp_pu_2p1
15797.378337010741,3.2811252919284186,31.76182747199255,13.832278534203528,20097,100000,2.15,spp,Shinjuku,2.0,spp_pu_2p15
15822.373366041575,3.2548303117159896,31.99884223593485,13.855991227960196,20097,100000,2.2,spp,Shinjuku,2.0,spp_pu_2p2
