method,family,clear_nlos_prob,blocked_nlos_prob,n_segments,mean_rms_2d,mean_p95,mean_outlier_rate_pct,mean_catastrophic_rate_pct,mean_time_ms_per_epoch,pf_rms_wins,pf_p95_wins,robust_clear_rms_wins,robust_clear_p95_wins,mean_delta_rms_vs_robust_clear,mean_delta_p95_vs_robust_clear
EKF,EKF,nan,0.000000,2,78.099943,104.087724,8.500000,0.000000,0.030875,2,1,nan,nan,nan,nan
PF,PF,0.000000,nan,2,102.766840,121.220562,56.500000,0.000000,1.381450,0,0,nan,nan,nan,nan
PF+RobustClear(clear=0.000),PF+RobustClear,0.000000,0.000000,6,104.558569,124.532031,57.333333,0.000000,1.287845,1,0,nan,nan,nan,nan
PF+RobustClear(clear=0.001),PF+RobustClear,0.000500,0.000000,4,101.937703,121.498726,54.750000,0.000000,1.354813,3,2,nan,nan,nan,nan
PF3D-BVH+BlockedClear(clear=0.000),PF3D-BVH+BlockedClear,0.000000,0.050000,6,89.389040,113.011910,40.500000,0.000000,351.077629,3,4,5.000000,5.000000,-15.169529,-11.520121
PF3D-BVH+BlockedClear(clear=0.001),PF3D-BVH+BlockedClear,0.000500,0.050000,4,104.665669,126.325135,59.500000,0.000000,351.843780,0,1,0.000000,1.000000,2.727966,4.826409
WLS,WLS,nan,0.000000,2,80.859860,134.636493,8.500000,0.000000,0.011287,2,1,nan,nan,nan,nan
