method,n_epochs,time_ms_per_epoch,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_threshold_m,ppc_n_epochs,ppc_fallback_epoch_weighted,rms_2d,p50,p95,max_2d,tdcp_used_epochs,tdcp_use_rate_pct,tdcp_velocity_rmse_mps,tdcp_postfit_rms_median
WLS,200,0.08419541409239173,0.0,0.0,467.3072500703322,0.0,0.5,200,False,71.75651274879675,70.21844762431549,88.69452643067672,102.97263315302348,,,,
TDCP reset-to-WLS fallback,200,,0.0,0.0,467.3072500703322,0.0,0.5,200,False,72.27924289212305,69.5695107729808,88.32765384227729,102.97263315302348,109,54.77386934673367,0.4774924138224995,0.004112446098049756
TDCP truth-anchor diagnostic,200,,0.0,0.0,467.3072500703322,0.5,0.5,200,False,137.71018622588156,125.66623497553056,192.59283160140222,192.64188391637248,109,54.77386934673367,0.4774924138224995,0.004112446098049756
