blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.001000,5.000000,0.136667,0.000000,38.666667,109.616582,91.496883,"PF-RichGate(b=0.001,p=0.75,d=5)",3,2,0.750000,2
0.001000,10.000000,0.136667,0.000000,38.666667,109.616582,91.496883,"PF-RichGate(b=0.001,p=0.75,d=10)",3,2,0.750000,2
0.001000,20.000000,0.130000,0.000000,38.666667,109.616582,91.519444,"PF-RichGate(b=0.001,p=0.75,d=20)",3,2,0.750000,2
0.001000,40.000000,0.130000,0.000000,38.666667,109.616582,91.519444,"PF-RichGate(b=0.001,p=0.75,d=40)",3,2,0.750000,2
0.001000,80.000000,0.113333,0.000000,38.666667,108.987553,91.236455,"PF-RichGate(b=0.001,p=0.75,d=80)",3,2,0.750000,2
0.002000,0.000000,0.263333,0.000000,38.333333,113.857799,89.930090,"PF-RichGate(b=0.002,p=0,d=0)",3,3,0.000000,2
0.002000,5.000000,0.263333,0.000000,38.333333,113.857799,89.930090,"PF-RichGate(b=0.002,p=0,d=5)",3,3,0.000000,2
0.002000,10.000000,0.260000,0.000000,38.333333,113.857799,89.939051,"PF-RichGate(b=0.002,p=0,d=10)",3,3,0.000000,2
0.002000,20.000000,0.250000,0.000000,38.333333,113.857799,89.961965,"PF-RichGate(b=0.002,p=0,d=20)",3,3,0.000000,2
0.002000,40.000000,0.246667,0.000000,38.333333,113.857799,89.984379,"PF-RichGate(b=0.002,p=0,d=40)",3,3,0.000000,2
0.002000,80.000000,0.176667,0.000000,38.333333,108.987553,89.030050,"PF-RichGate(b=0.002,p=0,d=80)",3,3,0.000000,2
0.002000,0.000000,0.186667,0.000000,38.666667,114.011426,91.589658,"PF-RichGate(b=0.002,p=0.25,d=0)",3,2,0.250000,2
0.002000,5.000000,0.186667,0.000000,38.666667,114.011426,91.589658,"PF-RichGate(b=0.002,p=0.25,d=5)",3,2,0.250000,2
0.002000,10.000000,0.183333,0.000000,38.666667,114.011426,91.598076,"PF-RichGate(b=0.002,p=0.25,d=10)",3,2,0.250000,2
0.002000,20.000000,0.173333,0.000000,38.666667,114.011426,91.620000,"PF-RichGate(b=0.002,p=0.25,d=20)",3,2,0.250000,2
0.002000,40.000000,0.170000,0.000000,38.666667,114.011426,91.641059,"PF-RichGate(b=0.002,p=0.25,d=40)",3,2,0.250000,2
0.002000,80.000000,0.126667,0.000000,38.666667,108.987553,91.043276,"PF-RichGate(b=0.002,p=0.25,d=80)",3,2,0.250000,2
0.002000,0.000000,0.173333,0.000000,38.666667,114.011426,91.596067,"PF-RichGate(b=0.002,p=0.5,d=0)",3,2,0.500000,2
0.002000,5.000000,0.173333,0.000000,38.666667,114.011426,91.596067,"PF-RichGate(b=0.002,p=0.5,d=5)",3,2,0.500000,2
0.002000,10.000000,0.170000,0.000000,38.666667,114.011426,91.604461,"PF-RichGate(b=0.002,p=0.5,d=10)",3,2,0.500000,2
0.002000,20.000000,0.160000,0.000000,38.666667,114.011426,91.626340,"PF-RichGate(b=0.002,p=0.5,d=20)",3,2,0.500000,2
0.002000,40.000000,0.156667,0.000000,38.666667,114.011426,91.647340,"PF-RichGate(b=0.002,p=0.5,d=40)",3,2,0.500000,2
0.002000,80.000000,0.123333,0.000000,38.666667,108.987553,91.137389,"PF-RichGate(b=0.002,p=0.5,d=80)",3,2,0.500000,2
0.002000,0.000000,0.130000,0.000000,38.666667,109.616582,91.663591,"PF-RichGate(b=0.002,p=0.75,d=0)",3,2,0.750000,2
0.002000,5.000000,0.130000,0.000000,38.666667,109.616582,91.663591,"PF-RichGate(b=0.002,p=0.75,d=5)",3,2,0.750000,2
0.002000,10.000000,0.130000,0.000000,38.666667,109.616582,91.663591,"PF-RichGate(b=0.002,p=0.75,d=10)",3,2,0.750000,2
0.002000,20.000000,0.123333,0.000000,38.666667,109.616582,91.686100,"PF-RichGate(b=0.002,p=0.75,d=20)",3,2,0.750000,2
0.002000,40.000000,0.123333,0.000000,38.666667,109.616582,91.686100,"PF-RichGate(b=0.002,p=0.75,d=40)",3,2,0.750000,2
0.002000,80.000000,0.106667,0.000000,38.666667,108.987553,91.402994,"PF-RichGate(b=0.002,p=0.75,d=80)",3,2,0.750000,2
0.005000,0.000000,0.196667,0.000000,38.333333,112.904795,90.321828,"PF-RichGate(b=0.005,p=0,d=0)",3,3,0.000000,2
0.005000,5.000000,0.196667,0.000000,38.333333,112.904795,90.321828,"PF-RichGate(b=0.005,p=0,d=5)",3,3,0.000000,2
0.005000,10.000000,0.193333,0.000000,38.333333,112.904795,90.330589,"PF-RichGate(b=0.005,p=0,d=10)",3,3,0.000000,2
0.005000,20.000000,0.183333,0.000000,38.333333,112.904795,90.353067,"PF-RichGate(b=0.005,p=0,d=20)",3,3,0.000000,2
