epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
0,555916.600000,7,-3810136.390000,3567844.145000,3653021.869000,84.103667,-3810200.535411,3567799.012412,3653075.089819,84.103667,-3810200.535411,3567799.012412,3653075.089819,84.431600,-3810200.742080,3567797.592921,3653072.184877,83.852531,-3810200.699601,3567797.982779,3653071.421695
1,555916.800000,7,-3810135.899000,3567843.647000,3653022.862000,78.425693,-3810178.603505,3567788.907354,3653063.731657,78.425453,-3810178.609217,3567788.912236,3653063.735546,78.597198,-3810194.527590,3567800.275180,3653071.424050,78.181747,-3810194.894643,3567801.018539,3653071.523336
2,555917.000000,7,-3810135.408000,3567843.151000,3653023.853000,78.439933,-3810177.977505,3567788.222677,3653064.495333,78.173075,-3810175.472456,3567786.646863,3653063.034654,76.573037,-3810192.262422,3567800.631526,3653070.866812,77.522103,-3810192.969007,3567799.810570,3653070.713149
3,555917.199999,7,-3810134.921000,3567842.664000,3653024.832000,78.790871,-3810176.957807,3567786.730855,3653064.781505,78.595209,-3810174.503610,3567785.123273,3653063.386530,75.222507,-3810191.006241,3567800.554766,3653069.838193,75.964736,-3810190.461971,3567798.931904,3653068.762468
4,555917.399999,7,-3810134.435000,3567842.181000,3653025.797000,78.620233,-3810176.511543,3567786.436895,3653065.668262,78.599871,-3810174.166191,3567784.673616,3653064.281748,74.617839,-3810189.158761,3567799.425650,3653069.224692,76.183902,-3810187.336275,3567795.873302,3653067.593978
5,555917.600000,7,-3810133.950000,3567841.709000,3653026.752000,78.546462,-3810176.918325,3567786.610270,3653066.877752,78.560962,-3810174.553884,3567784.787959,3653065.483815,75.052390,-3810186.668850,3567796.551503,3653068.248095,76.668768,-3810185.431871,3567793.306222,3653066.720182
6,555917.800000,7,-3810133.470000,3567841.239000,3653027.701000,77.995642,-3810176.268789,3567786.521701,3653067.391112,78.108245,-3810174.472658,3567785.032169,3653066.374241,74.837244,-3810185.306512,3567795.703096,3653068.824215,75.559322,-3810183.701163,3567792.596524,3653065.385547
7,555918.000000,7,-3810132.994000,3567840.774000,3653028.644000,77.719363,-3810175.374617,3567785.955656,3653067.836674,77.770122,-3810174.037723,3567784.889642,3653067.087718,74.843426,-3810183.215544,3567794.574818,3653070.337462,75.991388,-3810183.591278,3567791.744254,3653066.133749
8,555918.199999,7,-3810132.526000,3567840.317000,3653029.573000,77.692613,-3810174.182735,3567785.115505,3653068.641927,77.658943,-3810173.221134,3567784.385663,3653067.996458,74.053872,-3810182.791096,3567794.592292,3653070.024097,76.137349,-3810181.226063,3567789.348999,3653065.272454
9,555918.399999,7,-3810132.064000,3567839.866000,3653030.484000,77.661005,-3810173.131054,3567784.462265,3653069.659480,77.617544,-3810172.318416,3567783.837163,3653069.054607,74.313156,-3810181.506721,3567793.085831,3653070.211835,76.278099,-3810181.327868,3567788.905118,3653065.783664
10,555918.600000,7,-3810131.612000,3567839.420000,3653031.381000,77.492884,-3810171.884630,3567783.858250,3653070.609336,77.465186,-3810171.212001,3567783.318187,3653070.079763,74.667963,-3810182.634624,3567793.295652,3653071.639260,77.449271,-3810179.660103,3567786.595142,3653067.357813
11,555918.800000,7,-3810131.166000,3567838.982000,3653032.263000,77.236419,-3810170.286224,3567783.057289,3653071.237012,77.229907,-3810169.865353,3567782.707228,3653070.906490,75.284524,-3810182.278663,3567792.291238,3653072.850497,76.708259,-3810176.265136,3567785.352398,3653068.081480
12,555919.000000,7,-3810130.732000,3567838.551000,3653033.126000,77.381922,-3810169.849675,3567782.723028,3653072.669591,77.325862,-3810169.102818,3567782.167574,3653072.106689,75.446326,-3810181.286810,3567791.247434,3653073.440843,76.143776,-3810175.494082,3567784.836168,3653067.488545
13,555919.199999,7,-3810130.308000,3567838.129000,3653033.973000,77.214966,-3810168.792794,3567782.220206,3653073.545942,77.211662,-3810168.176430,3567781.726571,3653073.113955,75.760271,-3810180.118614,3567789.749691,3653073.571842,75.379847,-3810174.308093,3567784.800827,3653068.043646
14,555919.399999,7,-3810129.890000,3567837.714000,3653034.801000,77.344511,-3810168.331035,3567781.710137,3653074.540889,77.307011,-3810167.599262,3567781.202320,3653074.104176,76.182514,-3810178.789063,3567788.134352,3653073.930174,75.890499,-3810172.312382,3567782.791123,3653068.588182
15,555919.600000,6,-3810129.483000,3567837.309000,3653035.613000,77.067822,-3810167.293051,3567781.207171,3653075.068281,76.955906,-3810166.449885,3567780.725628,3653074.605104,76.183605,-3810178.954341,3567787.992106,3653074.612948,75.027816,-3810170.183762,3567782.019443,3653068.232753
16,555919.800000,6,-3810129.094000,3567836.922000,3653036.393000,76.775291,-3810167.450270,3567781.862713,3653076.736621,76.509324,-3810165.646431,3567780.761553,3653075.532718,76.660651,-3810177.545362,3567785.880133,3653073.919912,74.644544,-3810169.959172,3567782.183504,3653069.011032
17,555920.000000,6,-3810128.722000,3567836.549000,3653037.137000,76.372975,-3810167.923619,3567783.025546,3653078.817287,75.978821,-3810165.245875,3567781.345709,3653076.933395,76.482944,-3810176.648184,3567785.473332,3653074.772297,74.706700,-3810169.750406,3567781.776131,3653069.638870
18,555920.199999,6,-3810128.366000,3567836.193000,3653037.845000,75.854438,-3810168.238830,3567784.315569,3653080.952529,75.403749,-3810165.095015,3567782.305126,3653078.682654,77.125069,-3810176.303946,3567784.442645,3653075.720103,74.121515,-3810168.211527,3567781.450388,3653070.249332
19,555920.399999,5,-3810128.026000,3567835.849000,3653038.527000,65.665503,-3810239.465497,3567868.239542,3653159.640280,66.708296,-3810172.749312,3567805.371706,3653096.697832,77.064758,-3810177.245096,3567785.694781,3653078.441523,74.049432,-3810167.779962,3567781.737019,3653072.330424
