name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup,canyon_n_scored,canyon_all_rms_m,canyon_fix_rms_m,canyon_fix_pct,canyon_lt50cm_full_pct,stdout_tail
a1_scaledreset_qpos0.1,,--max-pos-jump-rate 2.3 --float-trust-policy scaled-reset --trust-lapse-qpos 0.1,246.1,0,7382.0,7382.0,1130.0,15.31,7382,11928,61.888,19.3273,0.3128,15.308,44.31,27.423,25.441,1130,320,0.2832,14,74.7254,,0.0,0.0,
a1_scaledreset_qpos1,,--max-pos-jump-rate 2.3 --float-trust-policy scaled-reset --trust-lapse-qpos 1,248.3,0,7445.0,7445.0,1130.0,15.18,7445,11928,62.416,19.9728,0.3128,15.178,43.371,27.071,24.15,1130,320,0.2832,18,125.6065,,0.0,0.0,
a1_scaledreset_qpos10,,--max-pos-jump-rate 2.3 --float-trust-policy scaled-reset --trust-lapse-qpos 10,248.8,0,7491.0,7491.0,1130.0,15.08,7491,11928,62.802,19.9517,0.3128,15.085,42.945,26.97,24.291,1130,320,0.2832,18,125.6065,,0.0,0.0,
a1_scaledreset_qpos100,,--max-pos-jump-rate 2.3 --float-trust-policy scaled-reset --trust-lapse-qpos 100,248.2,0,7493.0,7493.0,1130.0,15.08,7493,11928,62.819,19.5827,0.3128,15.081,42.319,26.585,23.811,1130,320,0.2832,18,125.6065,,0.0,0.0,
